gene,log2FoldChange,description
LOC117687720,2.66398953508893,uncharacterized protein LOC117687720
LOC117682674,2.61474516827493,uncharacterized protein LOC117682674
LOC109620541,2.56888471936914,uncharacterized protein LOC109620541
LOC117685768,2.52707962580512,uncharacterized protein LOC117685768 isoform X2
LOC117686180,2.4265649948913,uncharacterized protein LOC117686180
LOC117681292,2.42320173997832,uncharacterized protein LOC117681292
LOC105344934,2.42001650430483,uncharacterized protein LOC105344934
LOC117685572,2.36772732030321,uncharacterized protein LOC117685572
LOC105342641,2.31704687646395,uncharacterized protein LOC105342641
LOC105325816,2.28690394263768,uncharacterized protein LOC105325816
LOC105330893,2.12340758208676,uncharacterized protein LOC105330893 isoform X2
LOC105328647,2.09525785231858,uncharacterized protein LOC105328647
LOC117683725,2.07416929486427,uncharacterized protein LOC117683725
LOC105346227,1.93895314487066,uncharacterized protein LOC105346227
LOC105318584,1.9093323611017,uncharacterized protein LOC105318584
LOC105330461,1.85078391512063,uncharacterized protein LOC105330461
LOC109620710,1.80555976258888,uncharacterized protein LOC109620710
LOC109619320,1.79842760756732,uncharacterized protein LOC109619320
LOC117690809,1.76587200245675,uncharacterized protein LOC117690809 isoform X1
LOC105334345,1.70227089115004,uncharacterized protein LOC105334345
LOC117682293,1.68895311346604,uncharacterized protein LOC117682293
LOC105325985,1.61286787771108,uncharacterized protein LOC105325985
LOC105320549,1.60447247834105,uncharacterized protein LOC105320549 isoform X2
LOC117684365,1.56489805496789,uncharacterized protein LOC117684365 isoform X1
LOC105317071,1.5294461459518,uncharacterized protein LOC105317071
LOC105335211,1.5086793526814,uncharacterized protein LOC105335211
LOC105327645,-1.52847560125123,uncharacterized protein LOC105327645 isoform X1
LOC117690623,-1.53059687020962,uncharacterized protein LOC117690623 isoform X2
LOC105320919,-1.54967025081112,uncharacterized protein LOC105320919
LOC117680359,-1.58998172385283,uncharacterized protein LOC117680359
LOC109617687,-1.68259674073323,uncharacterized protein LOC109617687 isoform X3
LOC117683439,-1.77544622731715,uncharacterized G-patch domain protein DDB_G0278987-like
LOC105341786,-1.79261301774563,uncharacterized protein LOC105341786
LOC117687509,-1.80350294159906,uncharacterized protein LOC117687509
LOC109618614,-1.80957129340737,uncharacterized protein LOC109618614
LOC105340122,-1.8447034613176,uncharacterized protein LOC105340122 isoform X1
LOC105341293,-1.90984663210579,uncharacterized protein LOC105341293
LOC105329670,-1.99956930755258,uncharacterized protein LOC105329670
LOC105332036,-2.00690751642893,uncharacterized protein LOC105332036
LOC105340731,-2.05321862365709,uncharacterized protein LOC105340731 isoform X2
LOC105334658,-2.09904804263892,uncharacterized protein LOC105334658
LOC117685225,-2.13868054322433,uncharacterized protein LOC117685225
LOC117684651,-2.13992504057749,uncharacterized protein LOC117684651
LOC105338226,-2.16232565778511,uncharacterized protein LOC105338226
LOC105327537,-2.35054273413644,uncharacterized protein LOC105327537
LOC105321906,-2.3813800677665,uncharacterized protein LOC105321906 isoform X1
LOC105341260,-2.39467212636386,uncharacterized protein LOC105341260
LOC117691374,-2.44413239743342,uncharacterized protein LOC117691374
LOC105336535,-2.79414747083934,uncharacterized protein LOC105336535 isoform X1
LOC117684652,-2.8554085335682,uncharacterized protein LOC117684652
LOC117682713,-3.11341812960891,uncharacterized protein LOC117682713
LOC117682258,-3.48539176855997,uncharacterized protein LOC117682258
LOC105336537,-3.61666679420712,uncharacterized protein LOC105336537 isoform X3
