gene,log2FoldChange,description
LOC117680554,11.2384173083321,uncharacterized protein LOC117680554
LOC105322866,5.98799371628448,uncharacterized protein LOC105322866
LOC117692922,4.95413400476362,uncharacterized protein LOC117692922 isoform X1
LOC117683439,3.95573246718563,uncharacterized G-patch domain protein DDB_G0278987-like
LOC117683059,3.86780206044376,uncharacterized protein LOC117683059
LOC105327497,3.56948782229639,uncharacterized protein LOC105327497
LOC105325816,3.5559046296682,uncharacterized protein LOC105325816
LOC105344467,3.4950546319975,uncharacterized protein LOC105344467 isoform X3
LOC117680321,3.45700143131223,uncharacterized protein LOC117680321
LOC105327945,3.32351596126246,uncharacterized protein LOC105327945
LOC117681755,3.29801426915731,uncharacterized protein LOC117681755 isoform X3
LOC105347441,3.25192760245775,uncharacterized protein LOC105347441
LOC105341287,3.23377087049205,uncharacterized protein LOC105341287
LOC105346580,3.15869058420372,uncharacterized protein LOC105346580
LOC105321376,3.06782735675009,uncharacterized protein LOC105321376
LOC117682258,3.05226313391445,uncharacterized protein LOC117682258
LOC105318674,3.05012864314833,uncharacterized protein LOC105318674
LOC117687261,3.04719003065801,uncharacterized protein LOC117687261
LOC117690809,3.02996264589703,uncharacterized protein LOC117690809 isoform X1
LOC105322531,3.02504400793007,uncharacterized protein LOC105322531
LOC117688512,2.99291346050793,uncharacterized protein LOC117688512
LOC117681619,2.965616574232,uncharacterized protein LOC117681619
LOC105334430,2.95310848687222,uncharacterized protein LOC105334430
LOC117681801,2.94255857748527,uncharacterized protein LOC117681801
LOC105327498,2.91547645878928,uncharacterized protein LOC105327498
LOC117686722,2.90370984848574,uncharacterized protein LOC117686722
LOC105321060,2.84132833272332,uncharacterized protein LOC105321060
LOC117692998,2.83014903073656,uncharacterized protein LOC117692998
LOC117687626,2.81661042580071,uncharacterized protein LOC117687626
LOC117689339,2.80854832209744,uncharacterized protein LOC117689339
LOC105333169,2.8066203695419,uncharacterized protein LOC105333169
LOC117689258,2.79119679011102,uncharacterized protein LOC117689258
LOC109620497,2.79017038814656,uncharacterized protein LOC109620497
LOC117684841,2.75895264282121,uncharacterized protein LOC117684841
LOC105328254,2.72979429381608,uncharacterized protein LOC105328254 isoform X1
LOC105345161,2.72538741366424,uncharacterized protein LOC105345161
LOC105321383,2.71626232702539,uncharacterized protein LOC105321383
LOC117689120,2.69485255297261,uncharacterized protein LOC117689120
LOC105323935,2.67119505715462,uncharacterized protein LOC105323935
LOC117687062,2.65895214854103,uncharacterized protein LOC117687062 isoform X2
LOC117687542,2.65661365284052,uncharacterized protein LOC117687542
LOC109619024,2.65275441587389,uncharacterized protein LOC109619024
LOC105332554,2.63933107870477,uncharacterized protein LOC105332554
LOC105329328,2.63104559042993,uncharacterized protein LOC105329328
LOC117688354,2.62087301696856,uncharacterized protein LOC117688354
LOC117685250,2.61329904444726,uncharacterized protein LOC117685250
LOC117693006,2.60022883672298,uncharacterized protein LOC117693006
LOC105342351,2.57874730433444,uncharacterized protein LOC105342351
LOC105320270,2.56082892246091,uncharacterized protein LOC105320270
LOC105345744,2.53568448338548,uncharacterized protein LOC105345744 isoform X1
LOC105319836,2.52632198680386,uncharacterized protein LOC105319836
LOC105318297,2.47587121410806,uncharacterized protein LOC105318297 isoform X2
LOC105341173,2.46742640062597,uncharacterized protein LOC105341173 isoform X1
LOC117686204,2.46157786249866,uncharacterized protein LOC117686204 isoform X1
LOC117691037,2.45719266139106,uncharacterized protein LOC117691037
LOC117682309,2.45426731309308,uncharacterized protein LOC117682309
LOC117688509,2.44728732101017,uncharacterized protein LOC117688509
LOC117689123,2.4321019538217,uncharacterized protein LOC117689123
LOC109618811,2.39763693992836,uncharacterized protein LOC109618811
LOC105337774,2.38626698503252,uncharacterized protein LOC105337774
LOC105344865,2.36317914072178,uncharacterized protein PB18E9.04c isoform X2
LOC105329273,2.33621796324883,uncharacterized protein LOC105329273
LOC105343485,2.33599333559176,uncharacterized protein LOC105343485
LOC105326172,2.32565799069772,uncharacterized protein LOC105326172
LOC117686973,2.31670563373028,uncharacterized protein LOC117686973
LOC105319508,2.29869418604647,uncharacterized protein LOC105319508
LOC105332592,2.29733102287994,uncharacterized protein LOC105332592
LOC117685572,2.2966717310787,uncharacterized protein LOC117685572
LOC117683097,2.2773697605776,uncharacterized protein LOC117683097
LOC105342884,2.27509766346688,uncharacterized protein LOC105342884 isoform X4
LOC105325923,2.25204008790078,uncharacterized protein LOC105325923
LOC105320454,2.23640538212325,uncharacterized protein LOC105320454
LOC117691821,2.23510736389252,uncharacterized protein LOC117691821
LOC105326744,2.2324370161953,uncharacterized protein LOC105326744
LOC117688471,2.22306495158651,uncharacterized protein LOC117688471
LOC105334779,2.21695681339198,uncharacterized protein LOC105334779 isoform X1
LOC105341658,2.20400649591337,uncharacterized protein LOC105341658
LOC117681790,2.20032839911378,uncharacterized protein LOC117681790
LOC105328647,2.19559907460371,uncharacterized protein LOC105328647
LOC105336968,2.18773112706306,uncharacterized protein LOC105336968
LOC105346510,2.18032719324808,uncharacterized protein LOC105346510
LOC109617461,2.16148036371739,uncharacterized protein LOC109617461
LOC105332241,2.15772362334199,uncharacterized protein LOC105332241 isoform X1
LOC105333349,2.15733007672046,uncharacterized protein LOC105333349
LOC105337550,2.13826919225678,uncharacterized protein LOC105337550
LOC117688340,2.12695699220914,uncharacterized protein LOC117688340
LOC105335481,2.10058748379383,uncharacterized protein LOC105335481 isoform X1
LOC117688245,2.0926686986711,uncharacterized protein LOC117688245
LOC117692019,2.0877404892653,uncharacterized protein LOC117692019
LOC105347943,2.07714879854732,uncharacterized protein LOC105347943 isoform X1
LOC105343875,2.06631482168165,uncharacterized protein LOC105343875
LOC105326780,2.06251747788182,uncharacterized protein LOC105326780
LOC117682778,2.06226743462143,uncharacterized protein LOC117682778
LOC109618217,2.05673773917159,uncharacterized protein LOC109618217 isoform X1
LOC105339291,2.04437505843147,uncharacterized protein LOC105339291
LOC105338592,2.04108676899527,uncharacterized protein LOC105338592
LOC105318003,2.03680193093799,uncharacterized protein LOC105318003
LOC105334187,2.03608270274612,uncharacterized protein LOC105334187
LOC117680543,2.01668105927766,uncharacterized protein LOC117680543
LOC105346227,2.00833263086148,uncharacterized protein LOC105346227
LOC105342641,2.00456503350628,uncharacterized protein LOC105342641
LOC117687784,1.98968412509789,uncharacterized protein LOC117687784
LOC109617702,1.98598450783372,uncharacterized protein LOC109617702
LOC109620224,1.98231204870253,uncharacterized protein LOC109620224
LOC117688721,1.97591774013657,uncharacterized protein LOC117688721
LOC105320383,1.97271609168435,uncharacterized protein LOC105320383
LOC105330542,1.95900278750336,uncharacterized protein LOC105330542
LOC105329490,1.95876865437946,uncharacterized protein LOC105329490
LOC105318219,1.95833020327602,uncharacterized protein LOC105318219
LOC105348588,1.95579249231377,uncharacterized protein LOC105348588
LOC105343996,1.94771928608738,uncharacterized protein LOC105343996
LOC105334299,1.94596496245031,uncharacterized protein LOC105334299
LOC105322676,1.94392586198029,uncharacterized protein LOC105322676
LOC105346504,1.93083739651821,uncharacterized protein LOC105346504 isoform X1
LOC105343434,1.92151463143328,uncharacterized protein LOC105343434
LOC105329967,1.91952703600535,uncharacterized protein LOC105329967
LOC105335371,1.9126705339739,uncharacterized protein LOC105335371 isoform X1
LOC105331847,1.89559300992109,uncharacterized protein LOC105331847
LOC105324920,1.88783819686938,uncharacterized protein LOC105324920
LOC105336473,1.88370795520583,uncharacterized protein LOC105336473
LOC117681979,1.88050681881303,uncharacterized protein LOC117681979
LOC105322494,1.87291048776772,uncharacterized protein LOC105322494
LOC105319278,1.86988153079112,uncharacterized protein LOC105319278
LOC105335370,1.86614274865292,uncharacterized protein LOC105335370
LOC105328355,1.86245788755899,uncharacterized protein LOC105328355
LOC109621204,1.83566969639491,uncharacterized protein LOC109621204
LOC105329159,1.83260559961906,uncharacterized protein LOC105329159
LOC105333219,1.83034022931334,uncharacterized protein LOC105333219
LOC117687824,1.82474213174013,uncharacterized protein LOC117687824
LOC105325686,1.82253072220163,uncharacterized protein LOC105325686
LOC117687662,1.82003470484901,uncharacterized protein LOC117687662
LOC117687155,1.81720733081382,uncharacterized protein LOC117687155
LOC117683218,1.81279697360324,uncharacterized protein LOC117683218
LOC117682635,1.81032201159747,uncharacterized protein LOC117682635
LOC105347709,1.80978590515908,uncharacterized protein LOC105347709
LOC117687604,1.80204970219498,uncharacterized protein LOC117687604
LOC105341680,1.79586352375599,uncharacterized protein LOC105341680
LOC105335460,1.79279197017698,uncharacterized protein LOC105335460
LOC117689469,1.79162453834953,uncharacterized protein LOC117689469
LOC105331104,1.79110538903706,uncharacterized protein LOC105331104
LOC105340525,1.78593442517847,uncharacterized protein LOC105340525
LOC105339934,1.78096319525999,uncharacterized protein LOC105339934
LOC105318540,1.75858001246485,uncharacterized protein LOC105318540 isoform X1
LOC117682548,1.7580336370564,uncharacterized protein LOC117682548 isoform X1
LOC117691981,1.75800745366822,uncharacterized protein LOC117691981
LOC105336142,1.74972406933875,uncharacterized protein LOC105336142
LOC105323052,1.7495443916165,uncharacterized protein LOC105323052
LOC105328258,1.74807419828339,uncharacterized protein LOC105328258
LOC105326547,1.74351586328174,uncharacterized protein LOC105326547 isoform X3
LOC117689056,1.73578202694864,uncharacterized protein LOC117689056
LOC105328755,1.73483937280119,uncharacterized protein LOC105328755 isoform X2
LOC117686131,1.72852106299123,uncharacterized protein LOC117686131
LOC117684128,1.72641908682806,uncharacterized protein LOC117684128
LOC105333018,1.72378518616992,uncharacterized protein LOC105333018 isoform X2
LOC117685944,1.72328301293386,uncharacterized protein LOC117685944
LOC117692040,1.72256006843444,uncharacterized protein LOC117692040
LOC117681669,1.71218916975137,uncharacterized protein LOC117681669 isoform X2
LOC105339865,1.70577055958516,uncharacterized protein LOC105339865 isoform X13
LOC105326286,1.70505066201344,uncharacterized protein LOC105326286
LOC117688116,1.69863528373867,uncharacterized protein LOC117688116
LOC117687091,1.6913457487225,uncharacterized protein LOC117687091
LOC105317147,1.67721675132638,uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02 isoform X2
LOC117681070,1.66832527895264,uncharacterized protein LOC117681070
LOC109620046,1.66408958654149,uncharacterized protein LOC109620046
