gene,log2FoldChange,description
LOC105346258,1.66407704424464,uncharacterized protein LOC105346258
LOC117692140,1.66294000850914,uncharacterized protein LOC117692140
LOC105335328,1.6555847951618,uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02
LOC105325827,1.65218577942907,uncharacterized protein LOC105325827 isoform X1
LOC105331627,1.6480815325915,uncharacterized protein LOC105331627
LOC105330461,1.64512155505373,uncharacterized protein LOC105330461
LOC105339713,1.63976356158254,uncharacterized protein LOC105339713
LOC105325643,1.63072461260567,uncharacterized protein LOC105325643
LOC117688391,1.62566335316905,uncharacterized protein LOC117688391
LOC105330613,1.60699308595582,uncharacterized protein LOC105330613 isoform X2
LOC117688946,1.59730474140574,uncharacterized protein LOC117688946
LOC105330817,1.59469388402187,uncharacterized protein LOC105330817
LOC117682810,1.5944112450476,uncharacterized protein LOC117682810 isoform X1
LOC117691885,1.59272970719539,uncharacterized protein LOC117691885
LOC105342434,1.5883510854648,uncharacterized protein LOC105342434 isoform X1
LOC105343908,1.570424558803,uncharacterized protein LOC105343908
LOC105327537,1.57001874520851,uncharacterized protein LOC105327537
LOC105339763,1.56649542821912,uncharacterized protein LOC105339763 isoform X1
LOC105325624,1.56413756567819,uncharacterized protein LOC105325624
LOC117693101,1.54999757155703,uncharacterized protein LOC117693101
LOC109619616,1.54647870367223,uncharacterized protein LOC109619616
LOC105329556,1.54181887571064,uncharacterized protein LOC105329556
LOC105324754,1.53938536131198,uncharacterized protein LOC105324754 isoform X2
LOC117689769,1.53552590717344,uncharacterized protein LOC117689769
LOC117683436,1.53126581893389,uncharacterized protein YqhO-like
LOC105334618,1.53056582771028,uncharacterized protein LOC105334618
LOC105336753,1.52238527727192,uncharacterized protein LOC105336753
LOC105341659,1.51633177729562,uncharacterized protein LOC105341659
LOC117687165,1.50357452703122,uncharacterized protein LOC117687165
LOC105329384,1.50285990108145,uncharacterized protein LOC105329384
LOC117686041,-1.53829694723816,uncharacterized protein LOC117686041
LOC105342336,-1.5705158750343,uncharacterized protein LOC105342336
LOC117692303,-1.57930637655698,uncharacterized protein LOC117692303 isoform X1
LOC105332942,-1.62633061686051,uncharacterized protein LOC105332942
LOC117691059,-1.64038758220463,uncharacterized protein LOC117691059
LOC105335071,-1.65557266353144,uncharacterized protein LOC105335071
LOC105322191,-1.6739681376406,uncharacterized protein LOC105322191
LOC105341293,-1.70543218141905,uncharacterized protein LOC105341293
LOC105320221,-1.73993832193784,uncharacterized protein LOC105320221
LOC117691785,-1.75843176919702,uncharacterized protein LOC117691785
LOC105341115,-1.79349974407323,uncharacterized protein LOC105341115
LOC117687019,-1.82595756189791,uncharacterized protein LOC117687019 isoform X2
LOC105342886,-1.83080531452246,uncharacterized protein LOC105342886 isoform X1
LOC109617052,-1.84079929020104,uncharacterized protein LOC109617052
LOC117681641,-1.88802091381646,uncharacterized protein LOC117681641
LOC117681640,-1.89092031997661,uncharacterized protein LOC117681640
LOC105345421,-1.89700248041009,uncharacterized protein LOC105345421
LOC105320768,-1.89700248041009,uncharacterized protein LOC105320768
LOC117681642,-1.90923446741404,uncharacterized protein LOC117681642
LOC117682897,-1.95468887473973,uncharacterized protein LOC117682897
LOC105329321,-1.99574919105231,uncharacterized protein LOC105329321
LOC117685375,-2.02330758660041,uncharacterized protein LOC117685375 isoform X2
LOC117687307,-2.06143391224405,uncharacterized protein LOC117687307
LOC105342035,-2.1522372933947,uncharacterized protein LOC105342035
LOC117686971,-2.18972100227916,uncharacterized protein LOC117686971
LOC117690889,-2.34444064430257,uncharacterized protein LOC117690889 isoform X2
LOC105329133,-2.4302962021061,uncharacterized protein LOC105329133
LOC105338188,-2.44036697241837,uncharacterized protein LOC105338188
LOC117691374,-2.52368572268674,uncharacterized protein LOC117691374
LOC117690991,-2.55141314942476,uncharacterized protein LOC117690991
LOC117687810,-2.58733209999094,uncharacterized protein LOC117687810
LOC105322771,-2.81222767791395,uncharacterized protein DDB_G0290301 isoform X1
LOC117687807,-4.05530144846737,uncharacterized protein LOC117687807
