gene,log2FoldChange,description
LOC105322866,3.92234166331761,uncharacterized protein LOC105322866
LOC117683059,3.20825954919411,uncharacterized protein LOC117683059
LOC117682258,2.94581609912687,uncharacterized protein LOC117682258
LOC105344998,2.9051487774814,uncharacterized protein LOC105344998 isoform X2
LOC117692922,2.69443102620335,uncharacterized protein LOC117692922 isoform X1
LOC105345418,2.62673599383099,uncharacterized protein LOC105345418
LOC105346580,2.5774546099664,uncharacterized protein LOC105346580
LOC105334643,2.48090205274991,uncharacterized protein LOC105334643
LOC105320270,2.40632451857356,uncharacterized protein LOC105320270
LOC105339538,2.35614271942492,uncharacterized protein LOC105339538
LOC117692755,2.30846277551909,uncharacterized protein LOC117692755
LOC117683717,2.26588365746671,uncharacterized protein LOC117683717
LOC105332554,2.2103050409263,uncharacterized protein LOC105332554
LOC105346901,2.08430968634124,uncharacterized protein LOC105346901
LOC105329490,1.94980015976712,uncharacterized protein LOC105329490
LOC105321541,1.86246145554637,uncharacterized protein LOC105321541
LOC105321060,1.8090008012266,uncharacterized protein LOC105321060
LOC117681902,1.80463312344692,uncharacterized protein LOC117681902
LOC105328057,1.79458491876048,uncharacterized protein LOC105328057
LOC105327716,1.79194771218507,uncharacterized protein LOC105327716
LOC117688622,1.77424157777512,uncharacterized protein LOC117688622
LOC105338592,1.73766137241476,uncharacterized protein LOC105338592
LOC117686722,1.72734338380182,uncharacterized protein LOC117686722
LOC105328056,1.57620040637154,uncharacterized protein LOC105328056 isoform X2
LOC105323139,1.5623140348146,uncharacterized protein LOC105323139
LOC105344740,1.52297665763829,uncharacterized protein LOC105344740
LOC105338148,-1.51693772055776,uncharacterized protein LOC105338148 isoform X3
LOC117687128,-1.52160718649398,uncharacterized protein LOC117687128 isoform X1
LOC117688588,-1.52328144238867,uncharacterized protein LOC117688588
LOC105329232,-1.5804327666598,uncharacterized protein LOC105329232
LOC105338481,-1.67394201293975,uncharacterized protein LOC105338481
LOC117686527,-1.6968820862328,uncharacterized protein LOC117686527
LOC105330378,-1.71141113803381,uncharacterized protein LOC105330378 isoform X1
LOC109617341,-1.76020876074872,uncharacterized protein LOC109617341
LOC105339383,-1.84155693944215,uncharacterized protein LOC105339383
LOC105339099,-1.84423473076542,uncharacterized protein LOC105339099 isoform X2
LOC105343435,-1.92665585805712,uncharacterized protein LOC105343435
LOC109620821,-2.25337052096078,uncharacterized protein LOC109620821
LOC105334533,-2.41169711681791,uncharacterized protein LOC105334533 isoform X2
LOC105341677,-2.44281414018115,uncharacterized protein LOC105341677
LOC117690337,-2.8736398927888,uncharacterized protein LOC117690337 isoform X1
LOC105333611,-2.8960002203463,uncharacterized protein LOC105333611
