gene,log2FoldChange,description
LOC105321886,3.99381384482151,uncharacterized protein LOC105321886
LOC117683439,3.79814986497064,uncharacterized G-patch domain protein DDB_G0278987-like
LOC117681755,3.64472219719097,uncharacterized protein LOC117681755 isoform X3
LOC117681182,2.98260606840502,uncharacterized protein LOC117681182
LOC105321887,2.9061421176266,uncharacterized protein LOC105321887
LOC105336537,2.78554116065118,uncharacterized protein LOC105336537 isoform X3
LOC117682713,2.56225006437434,uncharacterized protein LOC117682713
LOC117682258,2.54209334872184,uncharacterized protein LOC117682258
LOC117685225,2.53115897841509,uncharacterized protein LOC117685225
LOC105334185,2.4716023929569,uncharacterized protein LOC105334185
LOC105338188,2.35123341652506,uncharacterized protein LOC105338188
LOC117692755,2.28954838470625,uncharacterized protein LOC117692755
LOC105321376,2.28887747647711,uncharacterized protein LOC105321376
LOC105322229,2.28348104608281,uncharacterized protein LOC105322229
LOC105336535,2.26234693489843,uncharacterized protein LOC105336535 isoform X1
LOC117682469,2.23051633774951,uncharacterized protein LOC117682469 isoform X1
LOC105327537,2.08133554334689,uncharacterized protein LOC105327537
LOC105325979,2.04770963464637,uncharacterized protein LOC105325979 isoform X1
LOC105344998,2.01174161814895,uncharacterized protein LOC105344998 isoform X2
LOC105339629,1.99173590976786,uncharacterized protein LOC105339629
LOC105330818,1.97895460863175,uncharacterized protein LOC105330818
LOC105330352,1.93362278025648,uncharacterized protein LOC105330352
LOC105330030,1.89796904059647,uncharacterized protein LOC105330030
LOC117685217,1.8958179079046,uncharacterized protein LOC117685217 isoform X2
LOC105320919,1.84412741675637,uncharacterized protein LOC105320919
LOC105341260,1.79238754319625,uncharacterized protein LOC105341260
LOC105332829,1.78490664532274,uncharacterized protein LOC105332829
LOC117693159,1.73012805075205,uncharacterized protein LOC117693159 isoform X2
LOC105341293,1.7240911839812,uncharacterized protein LOC105341293
LOC117687548,1.68369128657245,uncharacterized protein LOC117687548
LOC117685810,1.66344427939574,uncharacterized protein LOC117685810
LOC105331471,1.64859199839943,uncharacterized protein LOC105331471
LOC117682060,1.60005283578752,uncharacterized protein LOC117682060
LOC105318647,1.5764081116999,uncharacterized protein LOC105318647 isoform X1
LOC105341671,1.53413247868181,uncharacterized protein LOC105341671 isoform X2
LOC105322832,1.51665384909537,uncharacterized protein LOC105322832
LOC105328884,-1.51766447019749,uncharacterized protein LOC105328884
LOC117690221,-1.90319422580991,uncharacterized protein LOC117690221
LOC105330645,-1.95199135374588,uncharacterized protein LOC105330645 isoform X2
LOC117690337,-2.01542859560264,uncharacterized protein LOC117690337 isoform X1
LOC105333611,-2.06664436406782,uncharacterized protein LOC105333611
LOC117681070,-2.09851606330829,uncharacterized protein LOC117681070
LOC109618415,-2.25808743710522,uncharacterized protein LOC109618415
LOC117688208,-2.29999937536163,uncharacterized protein LOC117688208
LOC109620821,-2.37220784891236,uncharacterized protein LOC109620821
LOC105330893,-2.69774533838133,uncharacterized protein LOC105330893 isoform X2
LOC105339229,-2.86777128688878,uncharacterized protein LOC105339229
