gene,log2FoldChange,description
LOC105339624,3.89887839347797,uncharacterized protein LOC105339624
LOC117692755,3.30859612015696,uncharacterized protein LOC117692755
LOC105347073,3.28811915692838,uncharacterized protein LOC105347073
LOC105322807,3.10745023666697,uncharacterized protein LOC105322807
LOC105333327,2.7158936895661,uncharacterized protein LOC105333327
LOC105321541,2.67232097721908,uncharacterized protein LOC105321541
LOC105330352,2.59814366439803,uncharacterized protein LOC105330352
LOC105330030,2.5326516689591,uncharacterized protein LOC105330030
LOC105327678,2.37131608289018,uncharacterized protein LOC105327678
LOC105333443,2.31243234956147,uncharacterized protein LOC105333443
LOC105342525,2.27153130807454,uncharacterized protein LOC105342525
LOC105342035,2.22779025739014,uncharacterized protein LOC105342035
LOC105329133,2.2202461479696,uncharacterized protein LOC105329133
LOC105347604,2.21528397466258,uncharacterized protein LOC105347604
LOC105323139,2.18830695327053,uncharacterized protein LOC105323139
LOC105338188,2.11826420981967,uncharacterized protein LOC105338188
LOC117687807,2.09529655222342,uncharacterized protein LOC117687807
LOC105321376,2.01646807001371,uncharacterized protein LOC105321376
LOC105332206,2.01569340004414,uncharacterized protein LOC105332206
LOC117693157,1.99892976996774,uncharacterized protein LOC117693157
LOC105344998,1.99398519233058,uncharacterized protein LOC105344998 isoform X2
LOC105328578,1.96783512568673,uncharacterized protein LOC105328578
LOC117693159,1.95907062498874,uncharacterized protein LOC117693159 isoform X2
LOC105327994,1.95895101589392,uncharacterized protein LOC105327994
LOC105318474,1.95883011158153,uncharacterized protein LOC105318474
LOC105323849,1.93435334935511,uncharacterized protein LOC105323849
LOC117682713,1.91873816308447,uncharacterized protein LOC117682713
LOC105347606,1.90674268406607,uncharacterized protein LOC105347606
LOC117681741,1.90600474153265,uncharacterized protein LOC117681741
LOC105322229,1.89295113693785,uncharacterized protein LOC105322229
LOC105342336,1.89272313194212,uncharacterized protein LOC105342336
LOC105332044,1.88702838043616,uncharacterized protein LOC105332044 isoform X1
LOC117687051,1.8388465218855,uncharacterized protein LOC117687051 isoform X2
LOC105328140,1.72557441650215,uncharacterized protein LOC105328140
LOC105341671,1.71514420851415,uncharacterized protein LOC105341671 isoform X2
LOC117690142,1.66868518625555,uncharacterized protein LOC117690142
LOC105340010,1.64125607756524,uncharacterized protein LOC105340010
LOC109620197,1.62519874265354,uncharacterized protein LOC109620197
LOC105324676,1.61259911503535,uncharacterized protein LOC105324676 isoform X3
LOC105345528,1.50427839803953,uncharacterized protein LOC105345528
LOC105322558,1.50364603083741,uncharacterized protein LOC105322558
LOC105344468,-1.5607350866372,uncharacterized protein LOC105344468
LOC105322925,-1.59733239830205,uncharacterized protein LOC105322925
LOC117685944,-1.59818033523032,uncharacterized protein LOC117685944
LOC105329555,-1.60907697235982,uncharacterized protein LOC105329555 isoform X2
LOC105334618,-1.61919405666796,uncharacterized protein LOC105334618
LOC117687839,-1.66408209183646,uncharacterized protein LOC117687839
LOC109617959,-1.66679691607278,uncharacterized protein LOC109617959
LOC117692040,-1.67456464172081,uncharacterized protein LOC117692040
LOC117689258,-1.68989552707093,uncharacterized protein LOC117689258
LOC105328884,-1.69381885087084,uncharacterized protein LOC105328884
LOC105334533,-1.70434210700216,uncharacterized protein LOC105334533 isoform X2
LOC117692998,-1.71601292203298,uncharacterized protein LOC117692998
LOC109620821,-1.74676390482866,uncharacterized protein LOC109620821
LOC117690074,-1.75882510740183,uncharacterized protein LOC117690074 isoform X1
LOC105334430,-1.8315821327162,uncharacterized protein LOC105334430
LOC117684651,-1.93414549185158,uncharacterized protein LOC117684651
LOC117681070,-2.06643390755026,uncharacterized protein LOC117681070
LOC105336968,-2.10769730970245,uncharacterized protein LOC105336968
LOC109619834,-2.22868439603358,uncharacterized protein LOC109619834
LOC117683038,-2.25229413840855,uncharacterized protein LOC117683038
LOC117684652,-2.40348119971185,uncharacterized protein LOC117684652
