"count" "condition" "gene" "sample"
0.5 "control" "LOC105346578" "T62"
45.2191013731685 "control" "LOC105346578" "X45"
14.7482703546288 "control" "LOC105346578" "X46"
145.074871466466 "control" "LOC105346578" "X47"
45.0418784495432 "control" "LOC105346578" "X48"
719.957202456468 "desiccation" "LOC105346578" "R51"
90.5795587262296 "desiccation" "LOC105346578" "R52"
144.525304093478 "desiccation" "LOC105346578" "R53"
549.991205377882 "desiccation" "LOC105346578" "R54"
1204.27521822455 "desiccation" "LOC105346578" "R55"
62.6127848284718 "desiccation" "LOC105346578" "R56"
7424.54151574377 "desiccation" "LOC105346578" "R57"
634.866297280879 "desiccation" "LOC105346578" "R58"
6238.05563979072 "desiccation" "LOC105346578" "R59"
11185.0933097571 "desiccation" "LOC105346578" "R60"
249.748333912678 "desiccation" "LOC105346578" "R61"
2197.34511528875 "desiccation" "LOC105346578" "R62"
138.111886051411 "control" "LOC105321886" "T55"
158.224776144411 "control" "LOC105321886" "T56"
210.574991419334 "control" "LOC105321886" "T57"
162.406414660548 "control" "LOC105321886" "T58"
232.46891234169 "control" "LOC105321886" "T59"
83.8730325808531 "control" "LOC105321886" "T60"
163.874133406498 "control" "LOC105321886" "T61"
133.408487337428 "control" "LOC105321886" "T62"
162.249941136992 "control" "LOC105321886" "X45"
129.484342157692 "control" "LOC105321886" "X46"
259.953282847928 "control" "LOC105321886" "X47"
287.16696130347 "control" "LOC105321886" "X48"
1500.57251421266 "desiccation" "LOC105321886" "R51"
261.639730852807 "desiccation" "LOC105321886" "R52"
289.633505210216 "desiccation" "LOC105321886" "R53"
1034.21379246048 "desiccation" "LOC105321886" "R54"
2222.85424902995 "desiccation" "LOC105321886" "R55"
462.782037903708 "desiccation" "LOC105321886" "R56"
7985.84329812156 "desiccation" "LOC105321886" "R57"
1155.69544476433 "desiccation" "LOC105321886" "R58"
4162.39148531337 "desiccation" "LOC105321886" "R59"
13982.8688816159 "desiccation" "LOC105321886" "R60"
827.551289801158 "desiccation" "LOC105321886" "R61"
2228.96523003931 "desiccation" "LOC105321886" "R62"
36.2094134690371 "control" "LOC105334234" "T55"
31.2983290696188 "control" "LOC105334234" "T56"
15.5053565299524 "control" "LOC105334234" "T57"
106.71060801732 "control" "LOC105334234" "T58"
105.940414700768 "control" "LOC105334234" "T59"
54.2890532779698 "control" "LOC105334234" "T60"
41.3435333516244 "control" "LOC105334234" "T61"
6.48686879898327 "control" "LOC105334234" "T62"
17.6264643556815 "control" "LOC105334234" "X45"
8.74899862636402 "control" "LOC105334234" "X46"
109.908010839488 "control" "LOC105334234" "X47"
65.5996685031784 "control" "LOC105334234" "X48"
443.046874238276 "desiccation" "LOC105334234" "R51"
35.0759922383508 "desiccation" "LOC105334234" "R52"
80.6343797211835 "desiccation" "LOC105334234" "R53"
250.990372917044 "desiccation" "LOC105334234" "R54"
628.844207315015 "desiccation" "LOC105334234" "R55"
101.305995049487 "desiccation" "LOC105334234" "R56"
1833.81067450155 "desiccation" "LOC105334234" "R57"
304.166821283603 "desiccation" "LOC105334234" "R58"
2263.66053484363 "desiccation" "LOC105334234" "R59"
3074.907123167 "desiccation" "LOC105334234" "R60"
128.52300787333 "desiccation" "LOC105334234" "R61"
937.057684516521 "desiccation" "LOC105334234" "R62"
48.4028717267571 "control" "LOC105334580" "T55"
56.4969619447615 "control" "LOC105334580" "T56"
185.566063869413 "control" "LOC105334580" "T57"
249.188252918602 "control" "LOC105334580" "T58"
173.158679072508 "control" "LOC105334580" "T59"
200.415981349788 "control" "LOC105334580" "T60"
92.0197691767881 "control" "LOC105334580" "T61"
53.1844454310527 "control" "LOC105334580" "T62"
36.6558691953277 "control" "LOC105334580" "X45"
43.9947200299193 "control" "LOC105334580" "X46"
307.623916142276 "control" "LOC105334580" "X47"
50.7523756866641 "control" "LOC105334580" "X48"
392.931201339892 "desiccation" "LOC105334580" "R51"
300.765195754099 "desiccation" "LOC105334580" "R52"
327.534901024289 "desiccation" "LOC105334580" "R53"
859.576138102821 "desiccation" "LOC105334580" "R54"
1000.18146066058 "desiccation" "LOC105334580" "R55"
168.509991749145 "desiccation" "LOC105334580" "R56"
2351.36393560577 "desiccation" "LOC105334580" "R57"
953.851622902231 "desiccation" "LOC105334580" "R58"
