ID,trt,group,condition,ploidy
D54,D-control,A,control,diploid
D55,D-control,A,control,diploid
D56,D-control,A,control,diploid
D57,D-control,A,control,diploid
D58,D-control,A,control,diploid
D59,D-control,A,control,diploid
M41,D-heat,C,heat,diploid
M42,D-heat,C,heat,diploid
M43,D-heat,C,heat,diploid
M44,D-heat,C,heat,diploid
M45,D-control,A,control,diploid
M46,D-control,A,control,diploid
M47,D-heat,C,heat,diploid
M48,D-control,A,control,diploid
M49,D-control,A,control,diploid
M89,D-control,A,control,diploid
M90,D-control,A,control,diploid
N41,D-heat,C,heat,diploid
N42,D-heat,C,heat,diploid
N43,D-heat,C,heat,diploid
N44,D-heat,C,heat,diploid
N45,D-heat,C,heat,diploid
N46,D-heat,C,heat,diploid
N47,D-heat,C,heat,diploid
N48,D-desiccation,E,desiccation,diploid
N49,D-desiccation,E,desiccation,diploid
N50,D-desiccation,E,desiccation,diploid
N51,D-desiccation,E,desiccation,diploid
N52,D-desiccation,E,desiccation,diploid
N53,D-desiccation,E,desiccation,diploid
N54,D-desiccation,E,desiccation,diploid
N55,D-desiccation,E,desiccation,diploid
N56,D-desiccation,E,desiccation,diploid
N57,D-desiccation,E,desiccation,diploid
N58,D-desiccation,E,desiccation,diploid
N59,D-desiccation,E,desiccation,diploid
R41,T-heat,D,heat,triploid
R42,T-heat,D,heat,triploid
R43,T-heat,D,heat,triploid
R46,T-heat,D,heat,triploid
R47,T-heat,D,heat,triploid
R48,T-heat,D,heat,triploid
R50,T-heat,D,heat,triploid
R51,T-desiccation,F,desiccation,triploid
R52,T-desiccation,F,desiccation,triploid
R53,T-desiccation,F,desiccation,triploid
R54,T-desiccation,F,desiccation,triploid
R55,T-desiccation,F,desiccation,triploid
R56,T-desiccation,F,desiccation,triploid
R57,T-desiccation,F,desiccation,triploid
R58,T-desiccation,F,desiccation,triploid
R59,T-desiccation,F,desiccation,triploid
R60,T-desiccation,F,desiccation,triploid
R61,T-desiccation,F,desiccation,triploid
R62,T-desiccation,F,desiccation,triploid
R78,T-heat,D,heat,triploid
T55,T-control,B,control,triploid
T56,T-control,B,control,triploid
T57,T-control,B,control,triploid
T58,T-control,B,control,triploid
T59,T-control,B,control,triploid
T60,T-control,B,control,triploid
T61,T-control,B,control,triploid
T62,T-control,B,control,triploid
X41,T-heat,D,heat,triploid
X42,T-heat,D,heat,triploid
X43,T-heat,D,heat,triploid
X44,T-heat,D,heat,triploid
X45,T-control,B,control,triploid
X46,T-control,B,control,triploid
X47,T-control,B,control,triploid
X48,T-control,B,control,triploid
