"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature"
"LOC105346536" 138.089453160925 3.82947396624628 0.182203047616013 17.8069138178408 NA NA "fibroin heavy chain isoform X1" "genome"
"LOC105323395" 13.5205216630281 2.34308578866986 0.199299998180389 8.82130358615755 NA NA "dentin sialophosphoprotein-like" "genome"
"LOC105334167" 8.51414514174568 1.94085588150243 0.191450818020946 7.08200620670156 NA NA "N66 matrix protein-like" "genome"
"LOC105318146" 34.222031468924 1.86211793613907 0.191929087762312 6.6541135115521 NA NA "ganglioside GM2 activator" "genome"
"LOC117682713" 59.1267980144899 1.79179716572748 0.192711194552894 6.26220582840216 NA NA "uncharacterized protein LOC117682713" "genome"
"LOC117681464" 38.9801517204929 1.76216361763286 0.186671863979591 6.30605808790533 NA NA "electroneutral sodium bicarbonate exchanger 1-like isoform X1" "genome"
"LOC105334234" 338.790572989364 1.75712320674203 0.197977336031514 5.9204918615303 3.20980179775226e-09 7.8216450207627e-05 "heat shock protein 70 B2" "genome"
"LOC117680402" 7.65863162114651 1.67295811163418 0.199802914386974 5.44515636807502 NA NA "ataxin-2 homolog isoform X1" "genome"
"LOC105334185" 31.1314021474045 1.63959743273911 0.178822820728328 5.89744322589162 NA NA "uncharacterized protein LOC105334185" "genome"
"LOC105321886" 1454.49665445247 1.62996544343986 0.19896908885626 5.25189842023538 1.5053948228272e-07 0.00122278203475511 "uncharacterized protein LOC105321886" "genome"
"LOC105338188" 57.5689366454611 1.60198573224243 0.191704757218379 5.30495824411882 NA NA "uncharacterized protein LOC105338188" "genome"
"LOC105338672" 27.3635950993681 1.60144671483565 0.199530435088301 5.09419384759938 NA NA "electroneutral sodium bicarbonate exchanger 1 isoform X2" "genome"
"LOC105322229" 25.1851097062416 1.51454534188415 0.185637134559302 5.00732433783182 NA NA "uncharacterized protein LOC105322229" "genome"
"LOC105338263" 720.226387880292 -1.69181078796466 0.166002793471433 -6.66742266692719 NA NA "1-phosphatidylinositol 3-phosphate 5-kinase isoform X1" "genome"
"LOC105330893" 81.1680062802568 -2.097789505144 0.173468760728887 -8.72081808152379 NA NA "uncharacterized protein LOC105330893 isoform X2" "genome"
