"Df" "Sum Sq" "Mean Sq" "F value" "Pr(>F)"
"trt        " 3 3006.39557066902 1002.13185688967 2872.41179188292 0
"hour       " 1 3.9634429833966 3.9634429833966 11.3604215689726 0.000756240772827348
"trt:hour   " 3 89.2533886786627 29.7511295595542 85.275699780601 9.72492677922026e-54
"Residuals  " 4752 1657.88575210453 0.348881681840179 NA NA
