"trt" "mean" "sd" "n" "se" "ci" "parameter"
"T1" 17.4659259260278 1.96722905769756 360 0.103682075026518 0.203900540202381 "temp"
"T2" 29.6330092591389 1.72177482893505 360 0.0907455012896922 0.178459552716048 "temp"
"T3" 19.01199074075 1.31347051157355 360 0.0692259742673163 0.136139381330204 "temp"
"T4" 29.7328240740278 0.839006069960854 360 0.0442195025297146 0.0869618056060637 "temp"
"T1" 27.7245833334167 1.308890325264 360 0.0689845772532147 0.135664651425676 "sal"
"T2" 27.5599074074444 1.63502574399813 360 0.0861734230674243 0.169468131401134 "sal"
"T3" 30.0337962961667 0.746614002331556 360 0.0393500130056997 0.07738549702811 "sal"
"T4" 29.61833333325 0.541071131492183 360 0.0285169525279959 0.0560812659651812 "sal"
"T1" 8.06717833745556 0.0481779882446136 360 0.00253920293229661 0.00499358109341782 "pH"
"T2" 8.08604206328333 0.0714808977827411 360 0.00376737410311903 0.0074088950724989 "pH"
"T3" 8.05839626767222 0.0742141276995498 360 0.00391142796821949 0.00769219053031756 "pH"
"T4" 7.93108181703611 0.0296602588316968 360 0.00156323289830478 0.00307424434112603 "pH"
"T1" 1985.92722290833 54.6658044293928 360 2.88114086870337 5.66603416624835 "talk"
"T2" 1979.04953286667 68.2868502009716 360 3.59903301456329 7.07783650826788 "talk"
"T3" 2082.37150232778 31.1823338045745 360 1.64345329303532 3.2320052830885 "talk"
"T4" 2065.019691675 22.5978358506053 360 1.19101052464202 2.34223407757915 "talk"
"T1" 114.142922321056 9.27812850299029 360 0.489000308219628 0.961665041711516 "CO3"
"T2" 160.088381669444 17.6553252073588 360 0.930517341437305 1.82994976265881 "CO3"
"T3" 129.694147234639 20.490292231338 360 1.07993322289137 2.12379012933267 "CO3"
"T4" 129.200146690556 9.14705686794177 360 0.482092226496367 0.948079650072943 "CO3"
"T1" 1704.26040853056 51.438570290861 360 2.71105069502985 5.33153586182804 "HCO3"
"T2" 1587.80444731944 102.932508365378 360 5.42501952848217 10.6688105169873 "HCO3"
"T3" 1762.36811261111 45.7935777105462 360 2.41353346288742 4.74644027671516 "HCO3"
"T4" 1749.26573776944 20.1172586504838 360 1.06027262690423 2.08512572045146 "HCO3"
"T1" 430.6287336725 64.0127196783094 360 3.37376655675564 6.63482885796085 "pCO2"
"T2" 454.394820261667 100.298523099944 360 5.2861963157806 10.3958016284669 "pCO2"
"T3" 464.605268543611 97.0644859404909 360 5.11574759142237 10.0605982004436 "pCO2"
"T4" 701.330013321389 53.2763384218697 360 2.80790958011748 5.52201795806038 "pCO2"
"T1" 1.80805658823611 0.153537041087465 360 0.00809211258398743 0.0159138995514077 "Oca"
"T2" 2.71645516992778 0.335034097629177 360 0.0176578473721236 0.034725815596055 "Oca"
"T3" 2.05379822095 0.327921204028259 360 0.0172829649632347 0.0339885741233581 "Oca"
"T4" 2.16864591159722 0.153531415588126 360 0.00809181609413932 0.0159133164762698 "Oca"
"T1" 1.80805658823611 0.153537041087465 360 0.00809211258398743 0.0159138995514077 "Oar"
"T2" 2.71645516992778 0.335034097629177 360 0.0176578473721236 0.034725815596055 "Oar"
"T3" 2.05379822095 0.327921204028259 360 0.0172829649632347 0.0339885741233581 "Oar"
"T4" 2.16864591159722 0.153531415588126 360 0.00809181609413932 0.0159133164762698 "Oar"
