"Df" "Sum Sq" "Mean Sq" "F value" "Pr(>F)"
"trt        " 3 698.518950522959 232.83965017432 315.186169135275 1.23803754284658e-186
"hour       " 1 0.0841324583786503 0.0841324583786503 0.113886905586944 0.735776518584595
"trt:hour   " 3 549.238479942762 183.079493314254 247.827739398103 2.04681904454768e-149
"Residuals  " 4752 3510.47769851059 0.738736889417211 NA NA
