"count" "condition" "gene" "sample"
56.0983516479444 "control" "LOC105320270" "T55"
50.9480541751821 "control" "LOC105320270" "T56"
34.1099359936708 "control" "LOC105320270" "T57"
58.9255429579328 "control" "LOC105320270" "T58"
62.7993989875597 "control" "LOC105320270" "T59"
54.5472791612838 "control" "LOC105320270" "T60"
45.5808731331908 "control" "LOC105320270" "T61"
71.9242376613845 "control" "LOC105320270" "T62"
52.6512004923724 "control" "LOC105320270" "X45"
63.7720287888289 "control" "LOC105320270" "X46"
62.6665305536139 "control" "LOC105320270" "X47"
42.0429206657639 "control" "LOC105320270" "X48"
49.7712947233298 "heat" "LOC105320270" "R41"
39.9049782677154 "heat" "LOC105320270" "R42"
38.3952910030296 "heat" "LOC105320270" "R43"
69.3059851632682 "heat" "LOC105320270" "R46"
65.1238773368208 "heat" "LOC105320270" "R47"
69.9494047239261 "heat" "LOC105320270" "R48"
34.4028190194974 "heat" "LOC105320270" "R50"
45.0991012625536 "heat" "LOC105320270" "R78"
56.9509385571271 "heat" "LOC105320270" "X41"
54.4898022152211 "heat" "LOC105320270" "X42"
61.0769022263338 "heat" "LOC105320270" "X43"
3522.2166236392 "heat" "LOC105320270" "X44"
36.7231684979031 "control" "LOC117680333" "T55"
36.5343244108444 "control" "LOC117680333" "T56"
61.1618356958936 "control" "LOC117680333" "T57"
42.7652863951003 "control" "LOC117680333" "T58"
35.5434119305023 "control" "LOC117680333" "T59"
39.105199400917 "control" "LOC117680333" "T60"
45.5808731331908 "control" "LOC117680333" "T61"
118.40667804419 "control" "LOC117680333" "T62"
31.2319574330052 "control" "LOC117680333" "X45"
53.5903230067185 "control" "LOC117680333" "X46"
40.94569457705 "control" "LOC117680333" "X47"
62.2529901788382 "control" "LOC117680333" "X48"
45.292086112118 "heat" "LOC117680333" "R41"
72.0511447492727 "heat" "LOC117680333" "R42"
61.9745831826925 "heat" "LOC117680333" "R43"
69.3059851632682 "heat" "LOC117680333" "R46"
55.8918948601321 "heat" "LOC117680333" "R47"
30.2640305959683 "heat" "LOC117680333" "R48"
48.1758392461683 "heat" "LOC117680333" "R50"
73.8407442984215 "heat" "LOC117680333" "R78"
56.010089581175 "heat" "LOC117680333" "X41"
169.831652402284 "heat" "LOC117680333" "X42"
44.1510030748582 "heat" "LOC117680333" "X43"
2997.12776972899 "heat" "LOC117680333" "X44"
7.23919413914477 "control" "LOC117683059" "T55"
5.90514866162666 "control" "LOC117683059" "T56"
6.23828175501697 "control" "LOC117683059" "T57"
21.6326431975502 "control" "LOC117683059" "T58"
5.69161658229664 "control" "LOC117683059" "T59"
11.6526131602649 "control" "LOC117683059" "T60"
10.6795519978173 "control" "LOC117683059" "T61"
44.7150042665714 "control" "LOC117683059" "T62"
7.01890006154655 "control" "LOC117683059" "X45"
9.95444108338822 "control" "LOC117683059" "X46"
7.98994344019444 "control" "LOC117683059" "X47"
7.23668983769144 "control" "LOC117683059" "X48"
3.4861390741412 "heat" "LOC117683059" "R41"
12.9436773476996 "heat" "LOC117683059" "R42"
16.500233979057 "heat" "LOC117683059" "R43"
9.85226982801703 "heat" "LOC117683059" "R46"
6.65465498445913 "heat" "LOC117683059" "R47"
14.0291048163492 "heat" "LOC117683059" "R48"
21.6892618871859 "heat" "LOC117683059" "R50"
16.3574582266857 "heat" "LOC117683059" "R78"
8.96764078356907 "heat" "LOC117683059" "X41"
37.3112287831053 "heat" "LOC117683059" "X42"
24.5525935310443 "heat" "LOC117683059" "X43"
1286.06236646984 "heat" "LOC117683059" "X44"
890.916025634503 "control" "LOC105332313" "T55"
881.539231845145 "control" "LOC105332313" "T56"
1227.6725410372 "control" "LOC105332313" "T57"
1210.03304889508 "control" "LOC105332313" "T58"
1429.49246427715 "control" "LOC105332313" "T59"
656.788389815589 "control" "LOC105332313" "T60"
881.031247811194 "control" "LOC105332313" "T61"
2629.59217677382 "control" "LOC105332313" "T62"
1037.0051097859 "control" "LOC105332313" "X45"
845.581579915163 "control" "LOC105332313" "X46"
968.200692473122 "control" "LOC105332313" "X47"
1255.76987308984 "control" "LOC105332313" "X48"
1719.7695719368 "heat" "LOC105332313" "R41"
2052.66978925812 "heat" "LOC105332313" "R42"
2024.95065713963 "heat" "LOC105332313" "R43"
1428.05718731946 "heat" "LOC105332313" "R46"
1854.07692615294 "heat" "LOC105332313" "R47"
1183.84570127001 "heat" "LOC105332313" "R48"
2311.18900879762 "heat" "LOC105332313" "R50"
