Plate,Well,Sample Name,Concentration,Amount,Volume,notes
Plate 1,G10,SG82,10ng/ul,500ng,50ul,
Plate 1,G11,SG83,10ng/ul,500ng,50ul,
Plate 1,G12,SG84,10ng/ul,500ng,50ul,
Plate 1,H1,SG85,10ng/ul,500ng,50ul,
Plate 1,H2,SG86,10ng/ul,500ng,50ul,
Plate 1,H3,SG87,10ng/ul,500ng,50ul,
Plate 1,H4,SG88,10ng/ul,500ng,50ul,
Plate 1,H5,SG89,10ng/ul,500ng,50ul,
Plate 1,H6,SG90,10ng/ul,500ng,50ul,
Plate 1,H7,SG91,10ng/ul,500ng,50ul,
Plate 1,H8,SG92,NO SAMPLE,NO SAMPLE,NO SAMPLE,no sample
Plate 1,H9,SG93,10ng/ul,500ng,50ul,
Plate 1,H10,SG94,10ng/ul,500ng,50ul,
Plate 1,H11,SG95,10ng/ul,500ng,50ul,
Plate 1,H12,SG96,10ng/ul,500ng,50ul,
Plate 2,A1,SG97,10ng/ul,500ng,50ul,
Plate 2,A2,SG98,10ng/ul,500ng,50ul,
Plate 2,A3,SG99,10ng/ul,500ng,50ul,
Plate 2,A4,SG100,10ng/ul,500ng,50ul,
Plate 2,A5,SG101,10ng/ul,500ng,50ul,
Plate 2,A6,SG102,10ng/ul,500ng,50ul,
Plate 2,A7,SG103,10ng/ul,500ng,50ul,
Plate 2,A8,SG104,10ng/ul,500ng,50ul,
Plate 2,A9,SG105,10ng/ul,500ng,50ul,
Plate 2,A10,SG106,10ng/ul,500ng,50ul,
Plate 2,A11,SG107,10ng/ul,500ng,50ul,
Plate 2,A12,SG108,10ng/ul,500ng,50ul,
Plate 2,B1,SG109,10ng/ul,500ng,50ul,
Plate 2,B2,SG110,10ng/ul,500ng,50ul,
Plate 2,B3,SG111,10ng/ul,500ng,50ul,
Plate 2,B4,SG112,10ng/ul,500ng,50ul,
Plate 2,B5,SG113,10ng/ul,500ng,50ul,
Plate 2,B6,SG114,10ng/ul,500ng,50ul,
Plate 2,B7,SG115,10ng/ul,500ng,50ul,
Plate 2,B8,SG116,10ng/ul,500ng,50ul,
Plate 2,B9,SG117,10ng/ul,500ng,50ul,
Plate 2,B10,SG118,10ng/ul,500ng,50ul,
Plate 2,B11,SG119,10ng/ul,500ng,50ul,
Plate 2,B12,SG120,10ng/ul,500ng,50ul,
Plate 2,C1,SG121,10ng/ul,500ng,50ul,
Plate 2,C2,SG122,10ng/ul,500ng,50ul,
Plate 2,C3,SG123,10ng/ul,500ng,50ul,
Plate 2,C4,SG124,10ng/ul,500ng,50ul,
Plate 2,C5,SG125,10ng/ul,500ng,50ul,
Plate 2,C6,SG126,10ng/ul,500ng,50ul,
Plate 2,C7,SG127,10ng/ul,500ng,50ul,
Plate 2,C8,SG128,10ng/ul,500ng,50ul,
Plate 2,C9,SG129,10ng/ul,500ng,50ul,
Plate 2,C10,SG130,10ng/ul,500ng,50ul,
Plate 2,C11,SG131,10ng/ul,500ng,50ul,
Plate 2,C12,SG132,10ng/ul,500ng,50ul,
Plate 2,D1,SG133,10ng/ul,500ng,50ul,
Plate 2,D2,SG134,10ng/ul,500ng,50ul,
Plate 2,D3,SG135,10ng/ul,500ng,50ul,
Plate 2,D4,SG136,10ng/ul,500ng,50ul,
Plate 2,D5,SG137,10ng/ul,500ng,50ul,
Plate 2,D6,SG138,10ng/ul,500ng,50ul,
Plate 2,D7,SG139,10ng/ul,500ng,50ul,
Plate 2,D8,SG140,10ng/ul,500ng,50ul,
Plate 2,D9,SG141,10ng/ul,500ng,50ul,
Plate 2,D10,SG142,10ng/ul,500ng,50ul,
