gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOID,GOterm,GOSlim,GOcat
LOC117682976,0.000551658246231617,-3.04408328260876,MAM and LDL-receptor class A domain-containing protein 1-like,XM_034451662.1,117682976,NC_047566.1,16119474,16123512,GO:0005576,extracellular region,non-structural extracellular,C
LOC117682976,0.000551658246231617,-3.04408328260876,MAM and LDL-receptor class A domain-containing protein 1-like,XM_034451662.1,117682976,NC_047566.1,16119474,16123512,GO:0016020,membrane,other membranes,C
LOC105346570,0.00473838268620696,-2.17713150903108,O-acyltransferase like protein,XM_011455198.3,105346570,NC_047564.1,29295333,29306687,GO:0016021,integral to membrane,other membranes,C
LOC105346570,0.00473838268620696,-2.17713150903108,O-acyltransferase like protein,XM_011455200.3,105346570,NC_047564.1,29295605,29306687,GO:0016021,integral to membrane,other membranes,C
LOC105320228,0.00128599700064413,-1.96014234350893,prostaglandin E2 receptor EP4 subtype,XM_034456000.1,105320228,NC_047568.1,9518393,9522236,GO:0005622,intracellular,other cellular component,C
LOC105320228,0.00128599700064413,-1.96014234350893,prostaglandin E2 receptor EP4 subtype,XM_034456000.1,105320228,NC_047568.1,9518393,9522236,GO:0005886,plasma membrane,other membranes,C
LOC105320228,0.00128599700064413,-1.96014234350893,prostaglandin E2 receptor EP4 subtype,XM_034456000.1,105320228,NC_047568.1,9518393,9522236,GO:0005886,plasma membrane,plasma membrane,C
LOC105320228,0.00128599700064413,-1.96014234350893,prostaglandin E2 receptor EP4 subtype,XM_034456000.1,105320228,NC_047568.1,9518393,9522236,GO:0016021,integral to membrane,other membranes,C
LOC105329127,0.0113346299471615,-1.8486959293325,complement C1q tumor necrosis factor-related protein 3-like,XM_034461819.1,105329127,NW_022994944.1,64624,75672,GO:0005581,collagen,extracellular matrix,C
LOC105329127,0.0113346299471615,-1.8486959293325,complement C1q tumor necrosis factor-related protein 3-like,XM_034461819.1,105329127,NW_022994944.1,64624,75672,GO:0005615,extracellular space,non-structural extracellular,C
LOC105329127,0.0113346299471615,-1.8486959293325,complement C1q tumor necrosis factor-related protein 3-like,XM_034461819.1,105329127,NW_022994944.1,64624,75672,GO:0005623,cell,other cellular component,C
LOC105329127,0.0113346299471615,-1.8486959293325,complement C1q tumor necrosis factor-related protein 3-like,XM_034461819.1,105329127,NW_022994944.1,64624,75672,GO:0016020,membrane,other membranes,C
LOC105329127,0.0113346299471615,-1.8486959293325,complement C1q tumor necrosis factor-related protein 3-like,XM_034461819.1,105329127,NW_022994944.1,64624,75672,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC105331456,0.00952535401930622,-1.775637897298,organic cation transporter protein,XM_011433667.3,105331456,NC_047563.1,69106338,69114147,GO:0005887,integral to plasma membrane,other membranes,C
LOC105331456,0.00952535401930622,-1.775637897298,organic cation transporter protein,XM_011433667.3,105331456,NC_047563.1,69106338,69114147,GO:0005887,integral to plasma membrane,plasma membrane,C
LOC105331456,0.00952535401930622,-1.775637897298,organic cation transporter protein,XM_011433667.3,105331456,NC_047563.1,69106338,69114147,GO:0016021,integral to membrane,other membranes,C
LOC105328884,1.04948011740699e-06,-1.74402261485283,uncharacterized protein LOC105328884,XM_034471696.1,105328884,NC_047562.1,24255935,24275250,GO:0005576,extracellular region,non-structural extracellular,C
