ID,temp,umol_L
D46,10,0.790821962
D46,20,10.35075968
D46,30,18.14766068
D47,10,16.94293574
D47,20,12.93452792
D47,30,12.22453747
D48,10,3.84772877
D48,20,15.54373473
D48,30,15.14914166
D49,10,1.044428133
D49,20,11.04081141
D49,30,17.09810896
D50,10,1.691713062
D50,20,13.40746533
D50,30,12.96960837
D51,10,2.399917976
D51,20,14.05419754
D51,30,17.33342217
D52,10,4.937070252
D52,20,15.16803794
D52,30,12.88673859
D53,10,3.171001213
D53,20,11.63798902
D53,30,14.31279553
D54,10,14.71360993
D54,20,11.96804785
D54,30,23.75647943
D55,10,2.035391636
D55,20,13.3110956
D55,30,16.91231728
D56,10,3.248133085
D56,20,17.11142555
D56,30,20.6170567
D57,10,2.743397855
D57,20,13.05198713
D57,30,14.37573163
D58,10,2.0538568
D58,20,13.54227785
D58,30,11.60018327
D59,10,3.436638585
D59,20,16.33488707
D59,30,22.04210036
D60,10,2.796047134
D60,20,13.44664364
D60,30,13.99944342
T46,10,-0.191755764
T46,20,7.837789565
T46,30,13.76778219
T47,10,1.335671732
T47,20,9.373294482
T47,30,21.12905562
T48,10,2.033906614
T48,20,12.12886353
T48,30,14.31245233
T49,10,0.913879343
T49,20,8.848003816
T49,30,19.11985256
T50,10,2.725298062
T50,20,11.41238657
T50,30,14.01070375
T51,10,1.587049867
T51,20,9.036989683
T51,30,17.01582115
T52,10,4.090495009
T52,20,10.39194648
T52,30,12.10779227
T53,10,1.762599671
T53,20,8.924227696
T53,30,15.3988106
T54,10,2.952432957
T54,20,10.90066261
T54,30,11.86538659
T55,10,3.625277779
T55,20,10.52702793
T55,30,12.04789613
T56,10,1.746812613
T56,20,9.675806622
T56,30,13.57866263
T57,10,2.082177861
T57,20,13.21815854
T57,30,17.02948336
T58,10,1.707066366
T58,20,13.5500393
T58,30,21.50681506
T59,10,1.966648645
T59,20,12.36030048
T59,30,18.99871221
T60,10,1.434017794
T60,20,9.236752132
T60,30,11.52684437
