,x,start,stop,
1,D46_10,30,60,
2,D47_10,,,
3,D48_10,,,
4,D49_10,20,60,
5,D50_10,,,
6,D51_10,,,
7,D52_10,,,
8,D53_10,,,
9,D54_10,,,
10,D55_10,,,
11,D56_10,,,
12,D57_10,,,
13,D58_10,,,
14,D59_10,,,
15,D60_10,,,
16,T46_10,,,remove
17,T47_10,,,
18,T48_10,,,
19,T49_10,,,
20,T50_10,,,
21,T51_10,,,
22,T52_10,,,
23,T53_10,,,
24,T54_10,,,
25,T55_10,,,
26,T56_10,,,
27,T57_10,,,
28,T58_10,,,
29,T59_10,,,
30,T60_10,,,
31,D46_20,,,
32,D47_20,,,
33,D48_20,,,
34,D49_20,,,
35,D50_20,,,
36,D51_20,,,
37,D52_20,,,
38,D53_20,,,
39,D54_20,,,
40,D55_20,,,
41,D56_20,,,
42,D57_20,,,
43,D58_20,,,
44,D59_20,,,
45,D60_20,,,
46,T46_20,,,
47,T47_20,,,
48,T48_20,,,
49,T49_20,,,
50,T50_20,,,
51,T51_20,,,
52,T52_20,,,
53,T53_20,,,
54,T54_20,,,
55,T55_20,,,
56,T56_20,,,
57,T57_20,,,
58,T58_20,,,
59,T59_20,,,
60,T60_20,,,
61,D46_30,,,
62,D47_30,,,
63,D48_30,,,
64,D49_30,,,
65,D50_30,,,
66,D51_30,,,
67,D52_30,,,
68,D53_30,,,
69,D54_30,,,
70,D55_30,,,
71,D56_30,,,
72,D57_30,,,
73,D58_30,,,
74,D59_30,,,
75,D60_30,,,
76,T46_30,,,
77,T47_30,,,
78,T48_30,,,
79,T49_30,,,
80,T50_30,,,
81,T51_30,,,
82,T52_30,,,
83,T53_30,,,
84,T54_30,,,
85,T55_30,,,
86,T56_30,,,
87,T57_30,,,
88,T58_30,,,
89,T59_30,,,
90,T60_30,,,
