"","x"
"1","D14_30"
"2","D15_30"
"3","D16_30"
"4","D17_30"
"5","D18_30"
"6","D19_30"
"7","D20_30"
"8","D21_30"
"9","D22_30"
"10","D23_30"
"11","D24_30"
"12","D25_30"
"13","D26_30"
"14","D27_30"
"15","D28_30"
"16","D29_30"
"17","D30_30"
"18","D31_30"
"19","D32_30"
"20","D33_30"
"21","D34_30"
"22","D35_30"
"23","D36_30"
"24","D37_30"
"25","D38_30"
"26","D39_30"
"27","D42_30"
"28","D43_30"
"29","D44_30"
"30","D45_30"
"31","D64_30"
"32","D68_30"
"33","D72_30"
"34","T13_30"
"35","T14_30"
"36","T15_30"
"37","T16_30"
"38","T17_30"
"39","T18_30"
"40","T19_30"
"41","T20_30"
"42","T21_30"
"43","T22_30"
"44","T23_30"
"45","T24_30"
"46","T25_30"
"47","T26_30"
"48","T27_30"
"49","T28_30"
"50","T29_30"
"51","T30_30"
"52","T31_30"
"53","T32_30"
"54","T33_30"
"55","T34_30"
"56","T35_30"
"57","T36_30"
"58","T37_30"
"59","T38_30"
"60","T40_30"
"61","T45_30"
"62","T47_30"
"63","T59_30"
"64","T61_30"
"65","T63_30"
"66","T64_30"
"67","T65_30"
"68","D40_10"
"69","D41_10"
"70","D46_10"
"71","D47_10"
"72","D48_10"
"73","D49_10"
"74","D50_10"
"75","D51_10"
"76","D52_10"
"77","D53_10"
"78","D54_10"
"79","D55_10"
"80","D56_10"
"81","D57_10"
"82","D58_10"
"83","D59_10"
"84","D60_10"
"85","D61_10"
"86","D62_10"
"87","D63_10"
"88","D65_10"
"89","D66_10"
"90","D67_10"
"91","D69_10"
"92","D70_10"
"93","D71_10"
"94","D73_10"
"95","D74_10"
"96","D75_10"
"97","D76_10"
"98","D77_10"
"99","D78_10"
"100","T39_10"
"101","T41_10"
"102","T42_10"
"103","T43_10"
"104","T44_10"
"105","T46_10"
"106","T48_10"
"107","T49_10"
"108","T52_10"
"109","T53_10"
"110","T54_10"
"111","T55_10"
"112","T56_10"
"113","T57_10"
"114","T58_10"
"115","T60_10"
"116","T62_10"
"117","T66_10"
"118","T67_10"
"119","T68_10"
"120","T69_10"
"121","T70_10"
"122","T71_10"
"123","T72_10"
"124","T73_10"
"125","T74_10"
"126","T75_10"
"127","T76_10"
"128","T77_10"
"129","T78_10"
