Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,3,C05,M,00:03:33.34,0.134,C1
1,3,C06,M,00:03:34.23,0.133,C1
1,3,C07,M,00:03:35.12,0.160,C2
1,3,C08,M,00:03:36.01,0.144,C2
1,3,C09,M,00:03:36.90,0.136,C2
1,3,C10,M,00:03:37.79,0.206,D2
1,3,C11,M,00:03:38.67,0.205,D2
1,3,C12,M,00:03:39.56,0.205,D2
1,3,D01,M,00:03:42.90,0.172,D3
1,3,D02,M,00:03:43.79,0.171,D3
1,3,D03,M,00:03:44.67,0.173,D3
1,3,D04,M,00:03:45.56,0.197,A3
1,3,D05,M,00:03:46.45,0.199,A3
1,3,D06,M,00:03:47.34,0.202,A3
1,4,A01,M,00:04:25.89,0.076,GSH 0
1,4,A02,M,00:04:26.78,0.208,GSH 8
1,4,A03,M,00:04:27.67,0.359,GSH 16
1,4,A04,M,00:04:28.56,0.574,GSH 24
1,4,A05,M,00:04:29.45,0.802,GSH 32
1,4,A06,M,00:04:30.34,1.055,GSH 40
1,4,A07,M,00:04:31.23,0.213,PC 2
1,4,A08,M,00:04:32.12,0.100,PC 10
1,4,A09,M,00:04:33.01,0.200,PC 20
1,4,A10,M,00:04:33.90,0.274,A1
1,4,A11,M,00:04:34.78,0.264,A1
1,4,A12,M,00:04:35.67,0.278,A1
1,4,B01,M,00:04:39.01,0.268,A2
1,4,B02,M,00:04:39.90,0.285,A2
1,4,B03,M,00:04:40.78,0.286,A2
1,4,B04,M,00:04:41.67,0.228,B1
1,4,B05,M,00:04:42.56,0.214,B1
1,4,B06,M,00:04:43.45,0.217,B1
1,4,B07,M,00:04:44.34,0.270,B2
1,4,B08,M,00:04:45.23,0.227,B2
1,4,B09,M,00:04:46.12,0.223,B2
1,4,B10,M,00:04:47.01,0.199,B3
1,4,B11,M,00:04:47.90,0.237,B3
1,4,B12,M,00:04:48.78,0.169,B3
1,4,C01,M,00:04:52.12,0.176,B4
1,4,C02,M,00:04:53.01,0.270,B4
1,4,C03,M,00:04:53.90,0.174,B4
1,4,C04,M,00:04:54.78,0.155,C1
1,4,C05,M,00:04:55.67,0.133,C1
1,4,C06,M,00:04:56.56,0.131,C1
1,4,C07,M,00:04:57.45,0.157,C2
1,4,C08,M,00:04:58.34,0.141,C2
1,4,C09,M,00:04:59.23,0.135,C2
1,4,C10,M,00:05:00.12,0.208,D2
1,4,C11,M,00:05:01.01,0.208,D2
1,4,C12,M,00:05:01.90,0.209,D2
1,4,D01,M,00:05:05.23,0.177,D3
1,4,D02,M,00:05:06.12,0.174,D3
1,4,D03,M,00:05:07.01,0.177,D3
1,4,D04,M,00:05:07.90,0.200,A3
1,4,D05,M,00:05:08.78,0.200,A3
1,4,D06,M,00:05:09.67,0.202,A3
1,5,A01,M,00:05:48.39,0.076,GSH 0
1,5,A02,M,00:05:49.28,0.208,GSH 8
1,5,A03,M,00:05:50.17,0.358,GSH 16
1,5,A04,M,00:05:51.06,0.572,GSH 24
1,5,A05,M,00:05:51.95,0.800,GSH 32
1,5,A06,M,00:05:52.84,1.051,GSH 40
1,5,A07,M,00:05:53.73,0.217,PC 2
1,5,A08,M,00:05:54.62,0.102,PC 10
1,5,A09,M,00:05:55.51,0.205,PC 20
1,5,A10,M,00:05:56.39,0.275,A1
1,5,A11,M,00:05:57.28,0.266,A1
1,5,A12,M,00:05:58.17,0.280,A1
1,5,B01,M,00:06:01.51,0.268,A2
1,5,B02,M,00:06:02.39,0.285,A2
1,5,B03,M,00:06:03.28,0.288,A2
1,5,B04,M,00:06:04.17,0.228,B1
1,5,B05,M,00:06:05.06,0.215,B1
1,5,B06,M,00:06:05.95,0.218,B1
1,5,B07,M,00:06:06.84,0.269,B2
1,5,B08,M,00:06:07.73,0.227,B2
1,5,B09,M,00:06:08.62,0.223,B2
1,5,B10,M,00:06:09.51,0.200,B3
1,5,B11,M,00:06:10.39,0.236,B3
1,5,B12,M,00:06:11.28,0.170,B3
1,5,C01,M,00:06:14.62,0.177,B4
1,5,C02,M,00:06:15.51,0.269,B4
1,5,C03,M,00:06:16.39,0.174,B4
1,5,C04,M,00:06:17.28,0.154,C1
1,5,C05,M,00:06:18.17,0.134,C1
1,5,C06,M,00:06:19.06,0.132,C1
1,5,C07,M,00:06:19.95,0.152,C2
