"","protein","volume","weights","concentration"
"A1",810.419332815145,300,28.9,0.0963333333333333
"A2",719.773207725003,300,25,0.0833333333333333
"A3",875.665826519084,300,17.5,0.0583333333333333
"B1",639.287117287781,300,20.5,0.0683333333333333
"B2",736.628091163192,300,22.5,0.075
"B3",753.6515541413,300,18.3,0.061
"B4",762.650470836288,300,21.1,0.0703333333333333
"C1",667.448144669773,350,12.1,0.0345714285714286
"D1",930.335333325795,350,18.6,0.0531428571428571
"D3",769.399999150617,350,10.1,0.0288571428571429
