Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A),label
1,1,A01,M,00:00:20.53,0.955,1000
1,1,A02,M,00:00:21.43,0.971,1000
1,1,A03,M,00:00:22.32,0.924,1000
1,1,A04,M,00:00:23.21,0.901,750
1,1,A05,M,00:00:24.10,0.886,750
1,1,A06,M,00:00:24.99,0.877,750
1,1,A07,M,00:00:25.88,0.789,500
1,1,A08,M,00:00:26.77,0.813,500
1,1,A09,M,00:00:27.65,0.820,500
1,1,A10,M,00:00:28.54,0.697,250
1,1,A11,M,00:00:29.43,0.711,250
1,1,A12,M,00:00:30.32,0.644,250
1,1,B01,M,00:00:33.66,0.608,125
1,1,B02,M,00:00:34.54,0.600,125
1,1,B03,M,00:00:35.43,0.658,125
1,1,B04,M,00:00:36.32,0.521,0
1,1,B05,M,00:00:37.21,0.534,0
1,1,D05,M,00:00:38.19,0.813,C1
1,1,D06,M,00:00:39.10,0.806,C1
1,1,D07,M,00:00:39.99,0.796,C1
1,1,D08,M,00:00:40.88,0.896,C2
1,1,D09,M,00:00:41.77,0.802,C2
1,1,D10,M,00:00:42.65,0.885,C2
1,2,A01,M,00:00:51.64,0.956,1000
1,2,A02,M,00:00:52.54,0.971,1000
1,2,A03,M,00:00:53.43,0.924,1000
1,2,A04,M,00:00:54.32,0.900,750
1,2,A05,M,00:00:55.21,0.885,750
1,2,A06,M,00:00:56.10,0.876,750
1,2,A07,M,00:00:56.99,0.788,500
1,2,A08,M,00:00:57.88,0.813,500
1,2,A09,M,00:00:58.77,0.820,500
1,2,A10,M,00:00:59.65,0.697,250
1,2,A11,M,00:01:00.54,0.710,250
1,2,A12,M,00:01:01.43,0.644,250
1,2,B01,M,00:01:04.77,0.607,125
1,2,B02,M,00:01:05.65,0.600,125
1,2,B03,M,00:01:06.54,0.657,125
1,2,B04,M,00:01:07.43,0.521,0
1,2,B05,M,00:01:08.32,0.533,0
1,2,D05,M,00:01:09.30,0.813,C1
1,2,D06,M,00:01:10.21,0.803,C1
1,2,D07,M,00:01:11.10,0.796,C1
1,2,D08,M,00:01:11.99,0.894,C2
1,2,D09,M,00:01:12.88,0.801,C2
1,2,D10,M,00:01:13.76,0.885,C2
1,3,A01,M,00:01:22.76,0.956,1000
1,3,A02,M,00:01:23.65,0.971,1000
1,3,A03,M,00:01:24.54,0.923,1000
1,3,A04,M,00:01:25.43,0.901,750
1,3,A05,M,00:01:26.32,0.884,750
1,3,A06,M,00:01:27.21,0.875,750
1,3,A07,M,00:01:28.10,0.788,500
1,3,A08,M,00:01:28.99,0.812,500
1,3,A09,M,00:01:29.88,0.820,500
1,3,A10,M,00:01:30.76,0.697,250
1,3,A11,M,00:01:31.65,0.710,250
1,3,A12,M,00:01:32.54,0.644,250
1,3,B01,M,00:01:35.88,0.608,125
1,3,B02,M,00:01:36.76,0.600,125
1,3,B03,M,00:01:37.65,0.657,125
1,3,B04,M,00:01:38.54,0.521,0
1,3,B05,M,00:01:39.43,0.534,0
1,3,D05,M,00:01:40.41,0.812,C1
1,3,D06,M,00:01:41.32,0.802,C1
1,3,D07,M,00:01:42.21,0.796,C1
1,3,D08,M,00:01:43.10,0.893,C2
1,3,D09,M,00:01:43.99,0.800,C2
1,3,D10,M,00:01:44.88,0.885,C2
