"response" "groups"
"baseline.D" 0.40322820522966 "a"
"heat.T" 0.289863072856381 "a"
"desiccation.T" 0.180978802848699 "a"
"control.D" 0.0582130017229446 "a"
"control.T" -0.109185577108707 "a"
"desiccation.D" -0.19030232344982 "a"
"heat.D" -0.206631352957323 "a"
"baseline.T" -0.268004574965747 "a"
