"response" "groups"
"baseline.D" 0.310663041280769 "a"
"heat.T" 0.216916832858807 "a"
"desiccation.T" 0.195259115180647 "a"
"control.T" 0.116082803756089 "ab"
"control.D" -0.0607835116346645 "ab"
"desiccation.D" -0.226712183345376 "ab"
"baseline.T" -0.267834903188503 "ab"
"heat.D" -0.292724155847492 "ab"
