"Df" "Sum Sq" "Mean Sq" "F value" "Pr(>F)"
"timepoint           " 4 336.757153704394 84.1892884260986 151.098748055399 1.99821059965275e-102
"ploidy              " 1 17.9429875360538 17.9429875360538 32.2031817082195 1.78818186374481e-08
"trt                 " 2 34.1592692826818 17.0796346413409 30.6536788681328 1.1368131402658e-13
"timepoint:ploidy    " 4 11.0592954486629 2.76482386216573 4.96216837054806 0.000576292665455668
"timepoint:trt       " 5 49.2601807969221 9.85203615938441 17.6819445479246 7.3267673677106e-17
"ploidy:trt          " 2 32.2407765950055 16.1203882975027 28.9320712344266 5.80535617322414e-13
"timepoint:ploidy:trt" 5 14.0686553236571 2.81373106473142 5.0499445855122 0.000139917800363526
"Residuals           " 1067 594.51168131262 0.557180582298613 NA NA
