"Df" "Sum Sq" "Mean Sq" "F value" "Pr(>F)"
"group_list       " 3 0.408053067164977 0.136017689054992 0.139477519254322 0.936366734290113
"ploidy           " 1 2.40502493224783 2.40502493224783 2.46620063629443 0.116844214919445
"group_list:ploidy" 3 19.1199218928372 6.37330729761241 6.5354226901844 0.000235901839928747
"Residuals        " 602 587.06700010775 0.975194352338455 NA NA
