"response" "groups"
"baseline.D" 0.39050714815425 "a"
"heat.T" 0.281347967418433 "a"
"desiccation.T" 0.191233747857327 "a"
"control.D" 0.0554896235907619 "ab"
"control.T" -0.100030619552796 "ab"
"desiccation.D" -0.197446798261767 "ab"
"heat.D" -0.220512669136609 "ab"
"baseline.T" -0.259731578454162 "ab"
