"trt_list" "mean" "sd" "n" "se" "ci" "parameter"
"D-baseline" 90.0416666666667 7.7934150948464 24 1.59082419467315 3.29087057714937 "shell_length"
"D-control" 87.7818181818182 9.35476311801436 110 0.891941666428114 1.7677993856019 "shell_length"
"D-desiccation" 86.248 9.38741092479538 125 0.839635558422666 1.66187396598038 "shell_length"
"D-heat" 85.9333333333333 8.44877613514633 45 1.25946918432434 2.53829335509842 "shell_length"
"T-baseline" 76.75 10.1306680323959 24 2.06791395274127 4.27780593602997 "shell_length"
"T-control" 78.5625 9.95465507477068 112 0.940626489831082 1.86391418307332 "shell_length"
"T-desiccation" 81.944 9.01996352184885 125 0.806770063576897 1.59682394550978 "shell_length"
"T-heat" 83.4888888888889 8.47622938849962 45 1.26356167370444 2.54654122549382 "shell_length"
"D-baseline" 55.5833333333333 4.81769082938458 24 0.983407022539842 2.03433242131658 "shell_width"
"D-control" 54.4818181818182 7.13658595192461 110 0.680446772009576 1.34862338061911 "shell_width"
"D-desiccation" 52.56 6.47127648573593 125 0.578808564932059 1.14562428389061 "shell_width"
"D-heat" 52.9111111111111 6.43082852792356 45 0.958651316005466 1.93203477747526 "shell_width"
"T-baseline" 58.2916666666667 8.28030227691607 24 1.69020962453751 3.49646500300304 "shell_width"
"T-control" 56.5357142857143 7.53242668317799 112 0.711747420447002 1.41037502779159 "shell_width"
"T-desiccation" 58.608 8.75462642669393 125 0.783037592308148 1.54985073700964 "shell_width"
"T-heat" 58.7777777777778 5.29102537273726 45 0.788739493607779 1.58960000010031 "shell_width"
"D-baseline" 32.25 3.62659260367683 24 0.740275115329978 1.5313757511312 "shell_height"
"D-control" 30.7272727272727 4.53307739387741 110 0.432211970921702 0.856630075041743 "shell_height"
"D-desiccation" 29.952 3.9713814936042 125 0.355211159371346 0.703062384939857 "shell_height"
"D-heat" 29.6222222222222 3.55021695168625 45 0.529235095922836 1.06660325158052 "shell_height"
"T-baseline" 29.7916666666667 4.06447137229823 24 0.829656744690033 1.71627573893853 "shell_height"
"T-control" 31.5714285714286 4.95150224854786 112 0.467872984494099 0.927121552606927 "shell_height"
"T-desiccation" 31.88 4.7444364701569 125 0.424355298487999 0.839918004673208 "shell_height"
"T-heat" 31.8 3.36154726279432 45 0.501109879279097 1.00992060193252 "shell_height"
"D-baseline" 3.87416666666667 1.3637286376334 24 0.278369942485224 0.575852100033972 "dry_weight"
"D-control" NA NA 110 NA NA "dry_weight"
"D-desiccation" NA NA 125 NA NA "dry_weight"
"D-heat" NA NA 45 NA NA "dry_weight"
"T-baseline" 3.34125 1.03625711305053 24 0.211525097441949 0.437573002617919 "dry_weight"
"T-control" NA NA 112 NA NA "dry_weight"
"T-desiccation" NA NA 125 NA NA "dry_weight"
"T-heat" NA NA 45 NA NA "dry_weight"
"D-baseline" 84976.2083333333 17129.8263677567 24 3496.61116528974 7233.29129775283 "shell_volume"
"D-control" 78372.5909090909 24138.7262280692 110 2301.53724105054 4561.57198817997 "shell_volume"
"D-desiccation" 72054.544 19850.8628460814 125 1775.51514943452 3514.24183200641 "shell_volume"
"D-heat" 70973.1111111111 16607.2748479014 45 2475.66636539533 4989.37771795879 "shell_volume"
"T-baseline" 71563.5833333333 23244.5671294656 24 4744.77739658841 9815.3198711969 "shell_volume"
"T-control" 75457.9642857143 25555.2048255221 112 2414.73988113033 4784.96827543086 "shell_volume"
"T-desiccation" 82795.2 29232.3174762498 125 2614.61796066998 5175.06134207199 "shell_volume"
"T-heat" 83050.5333333333 21421.8815059403 45 3193.3855502152 6435.84569060097 "shell_volume"
"D-baseline" 3.85864833333333 0.685193054710268 24 0.13986444661159 0.289331651910113 "calc_dry_weight"
"D-control" 3.59450363636364 0.96554904912277 110 0.0920614896420216 0.182462879527199 "calc_dry_weight"
"D-desiccation" 3.34178176 0.794034513843257 125 0.0710206059773808 0.140569673280257 "calc_dry_weight"
"D-heat" 3.29852444444444 0.664290993916055 45 0.0990266546158132 0.199575108718352 "calc_dry_weight"
"T-baseline" 3.32214333333333 0.929782685178623 24 0.189791095863537 0.392612794847876 "calc_dry_weight"
"T-control" 3.47791857142857 1.02220819302088 112 0.0965895952452133 0.191398731017235 "calc_dry_weight"
"T-desiccation" 3.771408 1.16929269904999 125 0.104584718426799 0.20700245368288 "calc_dry_weight"
"T-heat" 3.78162133333333 0.856875260237611 45 0.127735422008608 0.257433827624039 "calc_dry_weight"
