"Df" "Sum Sq" "Mean Sq" "F value" "Pr(>F)"
"ploidy          " 1 2.35283812496207 2.35283812496207 7.35407711059578 0.00849348942086522
"timepoint       " 2 45.643454149395 22.8217270746975 71.3320389208682 2.52610234503011e-17
"ploidy:timepoint" 2 2.56795827649316 1.28397913824658 4.01323044321798 0.0225850710197932
"Residuals       " 67 21.4357494491498 0.319936558942534 NA NA
