ploidy,trt,group_list,trt_list,trt_colors,trt_line,number,time
D,control,D_control,D_control_-10,deepskyblue3,solid,1,-10
D,control,D_control,D_control_10,deepskyblue3,solid,2,10
T,control,T_control,T_control_-10,darkorange,solid,3,-10
T,control,T_control,T_control_10,darkorange,solid,4,10
D,heat_only,D_heat_only,D_heat_only_-10,royalblue1,dotted,5,-10
D,heat_only,D_heat_only,D_heat_only_1,royalblue1,dotted,6,1
D,heat_only,D_heat_only,D_heat_only_2,royalblue1,dotted,7,2
D,heat_only,D_heat_only,D_heat_only_6,royalblue1,dotted,8,6
D,heat_only,D_heat_only,D_heat_only_10,royalblue1,dotted,9,10
D,desiccation,D_desiccation,D_desiccation_-10,royalblue4,twodash,10,-10
D,desiccation,D_desiccation,D_desiccation_1,royalblue4,twodash,11,1
D,desiccation,D_desiccation,D_desiccation_2,royalblue4,twodash,12,2
D,desiccation,D_desiccation,D_desiccation_6,royalblue4,twodash,13,6
D,desiccation,D_desiccation,D_desiccation_10,royalblue4,twodash,14,10
T,heat_only,T_heat_only,T_heat_only_-10,orangered1,dotted,15,-10
T,heat_only,T_heat_only,T_heat_only_1,orangered1,dotted,16,1
T,heat_only,T_heat_only,T_heat_only_2,orangered1,dotted,17,2
T,heat_only,T_heat_only,T_heat_only_6,orangered1,dotted,18,6
T,heat_only,T_heat_only,T_heat_only_10,orangered1,dotted,19,10
T,desiccation,T_desiccation,T_desiccation_-10,#c62200,twodash,20,-10
T,desiccation,T_desiccation,T_desiccation_1,#c62200,twodash,21,1
T,desiccation,T_desiccation,T_desiccation_2,#c62200,twodash,22,2
T,desiccation,T_desiccation,T_desiccation_6,#c62200,twodash,23,6
T,desiccation,T_desiccation,T_desiccation_10,#c62200,twodash,24,10
