ID,L_cm,W_cm,H_cm,V_cm
T29,10,7,4.1,150
T41,9.6,5.7,4,115
T50,7.4,6,2.5,58
T63,8,5.9,3.1,77
T68,7.7,5.7,3.2,74
T76,7.1,5.2,3.4,66
X61,8.1,6.2,3.5,92
X85,7.2,5.7,3.7,80
N72,7.4,5.6,2.9,63
T54,7.6,5.9,3,70
X63,8.6,5.9,2.6,69
R44,6.6,5.7,3.4,67
R45,8.5,6.3,3.3,93
X34,8.8,5,3.5,81
T52,8.5,6.1,3.4,92
R20,8.6,6.1,3.5,96
R49,7.5,5.6,3.6,79
X06,7.7,5.8,2.7,63
X16,6.7,5.1,3.2,57
X32,7.1,5.9,3,66
R66,9,6,3.3,93
M17,8.6,4.3,2.9,56
N13,9.6,5.6,2.4,68
N15,8.3,4.7,2.6,53
N18,7.2,4.9,2.4,44
N62,8.8,4.1,2.8,53
T18,7.4,5.7,2.8,62
T37,8.4,6.3,3.7,103
T70,7,6.3,3,69
X70,6.1,4.5,2.6,37
R04,8.1,5.2,3.2,71
R07,8.9,6.1,3.9,111
R11,10.1,7,4.1,152
R14,8.1,6,2.5,64
R15,10.6,6.8,3.6,136
R22,8.3,6.6,4,115
R24,8.3,6.2,3.4,92
R32,7.6,5.7,3.2,73
R75,8.1,5,3.3,70
R81,8.7,6.3,4.1,118
X19,7.5,4.7,2.7,50
X20,8,6.1,3.7,95
X25,8.3,5,2.7,59
X29,7.5,6.6,3.4,88
X39,8,3.8,2.2,35
N25,7.6,5.6,2.6,58
N61,9.1,4.6,2.8,61
R77,7.5,3.4,3,40
X01,7.9,3.7,2.5,38
X03,6.4,5.1,2.4,41
X04,8.5,5.7,2.6,66
X09,8.2,5.9,3,76
X14,7,5,2.8,51
X17,6.9,4.5,2.6,42
D01,9.7,6.1,4,124
D02,8,5.9,3.6,89
D03,9.4,6.5,3.8,122
D04,8.4,5.5,3.4,82
D05,8,5.7,3.3,79
D06,8.1,6.5,3.4,94
D07,9.6,6,3.1,93
D08,10,5.8,3.3,100
D09,8.5,5.1,3,68
D10,9.1,5.7,3.7,100
D11,9.4,5.5,2.7,73
D12,10.2,5.9,3.4,107
D54,8.3,6,2.9,76
D55,9.6,3.9,2.8,55
D56,8.2,5,3,64
D57,8.7,5.5,2.7,68
D58,8.1,6.5,2.3,63
D59,7.9,6,3.2,79
M45,10.3,5.2,2.4,67
M46,9.2,4.6,2.9,64
M48,8.4,5,3.6,79
M49,8.1,5.4,3,69
M89,8.2,4.7,2.9,59
M90,8.7,5.7,3.3,86
M41,7.4,5.9,3,69
M42,7.8,5.2,3.1,66
M43,9,4.9,2.6,60
M44,8.9,4.6,2.9,62
M47,8.2,5,2.7,58
N41,9.5,5.3,2.7,71
N42,8.5,6.1,3.3,90
N43,9.3,4.8,2.7,63
N44,9.1,5,3.2,76
N45,9.2,4.9,3,71
N46,9.3,5.5,3,80
N47,9.9,5.6,3.2,93
N49,8.2,5.2,2.9,65
N50,9,5.5,3.1,80
N51,9.1,5.5,3.2,84
N52,7.2,5.9,3.2,71
N53,8,5.6,2.8,66
N54,10.3,5.6,3.7,112
N55,8.3,5.4,3.5,82
N56,9.8,5.4,3.4,94
N57,9.4,6.1,4.2,126
N58,8.8,5.4,3,75
N59,9.4,5.2,2.8,72
N60,8.5,4.4,2.2,43
N63,8.8,5,2.4,55
N64,8.5,5.3,3,71
N65,9,5.9,2.6,72
N66,9,5.3,3.1,77
N67,8.9,5.7,3.6,96
N68,8.2,5.9,3.7,94
N69,8.2,5,2.8,60
N70,7.5,4.1,3.2,52
N71,8.6,4.1,3,55
N73,6.6,4.9,2.6,44
N74,7.6,4.5,2.6,47
N75,7.6,4.1,2.6,42
T55,7.9,5.1,2.6,55
T56,8.3,6.5,3.2,90
T57,7.9,5.8,3,72
T58,6.3,6.1,2.6,52
T59,8.9,7.4,3.5,121
T60,8.3,4.6,3,60
T61,8,5.2,3.5,76
T62,8.4,5.7,3.5,88
X45,8.3,5.2,3,68
X46,8.1,5.1,3.1,67
X47,8.8,6.3,2.9,84
X48,6.6,5.1,3,53
R41,8.9,5.9,3.1,85
R42,9,7.1,4.1,137
R43,7.9,5.1,2.6,55
R46,7.3,5.3,2.5,51
R47,8.7,5.6,3.2,82
R48,9.6,7.4,3.6,134
R50,7.3,4.7,2.6,47
R51,8.1,5.5,2.9,68
R52,8,5.7,3,72
R53,7.2,4.2,2.8,44
R54,8.7,6.6,3.1,93
R55,7.7,5.6,2.4,54
R56,7.4,5.1,3.2,63
R57,9.3,8,3.8,148
R58,9.9,6.5,3.6,121
R59,8,7.6,2.7,86
R60,7.3,5.3,2.9,59
R61,8,6.2,2.6,68
R62,9.1,7.6,3.5,127
R63,8.7,6.3,2.9,83
R64,9.5,6.1,3.7,112
R65,8.9,6.5,3.6,109
R67,7.4,4.6,2.9,52
R68,9.9,7.4,3.8,146
R69,9,7.3,3.5,120
R70,10.2,6.6,4.3,152
R71,10.1,7,3.6,133
R72,7.3,5.1,3.2,62
R73,7.7,5.5,3.4,75
R74,8.4,4.5,2.8,55
R76,8.2,4.4,2.7,51
R78,7.8,5.5,3.3,74
X41,9.5,7.5,3.9,145
X42,9.3,7.1,4.5,156
X43,8.6,4.9,2.9,64
X44,6.7,5,3,53
D13,8.5,5.3,3,71
D14,10.2,7,4.4,164
D15,8.2,4.9,2.9,61
D16,9,6,4,113
