timepoint,ID,death,ploidy,trt,group_list,trt_list,umol_L_h,SMR_length,SMR_weight,L_cm,V_cm,W_g
-10,D13,no,D,control,D_control,D_control_-10,76.75173088,0.202,0.353,8.5,71,4.87
10,D13,no,D,control,D_control,D_control_10,1.315583586,0.003,0.006,8.5,71,4.87
-10,D14,no,D,control,D_control,D_control_-10,65.3817203,0.144,0.15,10.2,164,9.73
10,D14,no,D,control,D_control,D_control_10,3.171072097,0.007,0.007,10.2,164,9.73
-10,D15,no,D,control,D_control,D_control_-10,80.8447493,0.221,0.661,8.2,61,2.74
10,D15,no,D,control,D_control,D_control_10,2.13585933,0.006,0.017,8.2,61,2.74
-10,D16,no,D,control,D_control,D_control_-10,30.69232851,0.076,0.148,9,113,4.64
10,D16,no,D,control,D_control,D_control_10,2.560518976,0.006,0.012,9,113,4.64
-10,D17,no,D,control,D_control,D_control_-10,54.13231694,0.152,0.307,8,78,3.95
10,D17,no,D,control,D_control,D_control_10,3.275082487,0.009,0.019,8,78,3.95
-10,D18,no,D,control,D_control,D_control_-10,76.29135903,0.19,0.351,9,93,4.86
10,D18,no,D,control,D_control,D_control_10,103.9605918,0.259,0.479,9,93,4.86
-10,D19,no,D,control,D_control,D_control_-10,10.49599668,0.027,0.08,8.8,59,2.95
10,D19,no,D,control,D_control,D_control_10,19.75433735,0.05,0.15,8.8,59,2.95
-10,D20,no,D,control,D_control,D_control_-10,27.77407247,0.061,0.186,10.2,73,3.35
10,D20,no,D,control,D_control,D_control_10,1.718244969,0.004,0.011,10.2,73,3.35
-10,D21,no,D,control,D_control,D_control_-10,36.59642117,0.105,0.256,7.8,68,3.2
10,D21,no,D,control,D_control,D_control_10,3.292983277,0.009,0.023,7.8,68,3.2
-10,D22,no,D,control,D_control,D_control_-10,83.85032099,0.209,0.594,9,75,3.16
10,D22,no,D,control,D_control,D_control_10,2.998539321,0.007,0.021,9,75,3.16
-10,D23,no,D,control,D_control,D_control_-10,25.23599614,0.074,0.184,7.6,65,3.07
10,D23,no,D,control,D_control,D_control_10,8.203048239,0.024,0.06,7.6,65,3.07
-10,D24,no,D,control,D_control,D_control_-10,11.64047277,0.026,0.048,10,90,5.41
10,D24,no,D,control,D_control,D_control_10,1.28663704,0.003,0.005,10,90,5.41
-10,D25,no,D,control,D_control,D_control_-10,5.475097805,0.012,0.021,10.1,158,5.87
10,D25,no,D,control,D_control,D_control_10,2.032126447,0.005,0.008,10.1,158,5.87
-10,D26,no,D,control,D_control,D_control_-10,24.28324601,0.062,0.181,8.8,86,3
10,D26,no,D,control,D_control,D_control_10,5.428072015,0.014,0.041,8.8,86,3
-10,D27,no,D,control,D_control,D_control_-10,51.62907721,0.126,0.399,9.2,72,2.9
10,D27,no,D,control,D_control,D_control_10,1.745370894,0.004,0.013,9.2,72,2.9
-10,D28,no,D,control,D_control,D_control_-10,38.11375704,0.096,0.293,8.9,78,2.91
10,D28,no,D,control,D_control,D_control_10,11.5693114,0.029,0.089,8.9,78,2.91
-10,D29,no,D,control,D_control,D_control_-10,3.511605132,0.01,0.021,7.9,77,3.68
10,D29,no,D,control,D_control,D_control_10,22.01738228,0.062,0.134,7.9,77,3.68
-10,D30,no,D,control,D_control,D_control_-10,34.14721635,0.088,0.202,8.7,78,3.79
10,D30,no,D,control,D_control,D_control_10,14.55236483,0.037,0.086,8.7,78,3.79
-10,D31,no,D,control,D_control,D_control_-10,40.50776005,0.091,0.187,10,93,4.86
10,D31,no,D,control,D_control,D_control_10,45.40790143,0.102,0.209,10,93,4.86
-10,D32,no,D,control,D_control,D_control_-10,34.70502961,0.108,0.209,7.2,58,3.71
10,D32,no,D,control,D_control,D_control_10,47.06355513,0.146,0.284,7.2,58,3.71
-10,D33,no,D,control,D_control,D_control_-10,60.180073,0.146,0.174,9.2,123,7.76
10,D33,no,D,control,D_control,D_control_10,71.29229397,0.174,0.206,9.2,123,7.76
-10,D34,no,D,control,D_control,D_control_-10,18.9769607,0.04,0.058,10.6,146,7.37
10,D34,no,D,control,D_control,D_control_10,23.21860408,0.049,0.071,10.6,146,7.37
-10,D35,no,D,control,D_control,D_control_-10,23.86603005,0.066,0.12,8.1,69,4.46
10,D35,no,D,control,D_control,D_control_10,47.59503759,0.132,0.239,8.1,69,4.46
-10,D36,no,D,control,D_control,D_control_-10,50.72258752,0.118,0.24,9.6,98,4.73
10,D36,no,D,control,D_control,D_control_10,73.91675185,0.172,0.35,9.6,98,4.73
-10,D37,no,D,control,D_control,D_control_-10,11.41980612,0.03,0.077,8.4,59,3.31
10,D37,no,D,control,D_control,D_control_10,40.55251697,0.108,0.274,8.4,59,3.31
-10,D38,no,D,control,D_control,D_control_-10,79.54182638,0.198,0.458,9,99,3.89
10,D38,no,D,control,D_control,D_control_10,14.86084957,0.037,0.086,9,99,3.89
-10,D39,no,D,control,D_control,D_control_-10,70.12891075,0.242,0.479,6.5,62,3.28
10,D39,no,D,control,D_control,D_control_10,29.57774866,0.102,0.202,6.5,62,3.28
-10,D40,no,D,control,D_control,D_control_-10,31.90661969,0.072,0.143,9.9,103,5
10,D40,no,D,control,D_control,D_control_10,11.25257021,0.025,0.05,9.9,103,5
-10,D41,no,D,control,D_control,D_control_-10,12.52836064,0.033,0.081,8.6,66,3.48
10,D41,no,D,control,D_control,D_control_10,28.72362135,0.075,0.185,8.6,66,3.48
-10,D42,no,D,control,D_control,D_control_-10,3.93515089,0.01,0.031,8.6,52,2.81
10,D42,no,D,control,D_control,D_control_10,5.51379933,0.014,0.044,8.6,52,2.81
-10,D43,no,D,control,D_control,D_control_-10,11.43796397,0.037,0.111,7,38,2.31
-10,D44,no,D,control,D_control,D_control_-10,8.76678272,0.021,0.037,9.5,119,5.31
