Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A)
1,1,A01,M,00:00:19.54,0.138
1,1,A02,M,00:00:20.44,0.303
1,1,A03,M,00:00:21.32,0.506
1,1,A04,M,00:00:22.21,0.697
1,1,A05,M,00:00:23.10,0.896
1,1,A06,M,00:00:23.99,1.100
1,1,A07,M,00:00:24.88,0.126
1,1,A08,M,00:00:25.77,0.126
1,1,A09,M,00:00:26.66,0.126
1,1,A10,M,00:00:27.55,0.088
1,1,A11,M,00:00:28.44,0.098
1,1,A12,M,00:00:29.33,0.085
1,1,B01,M,00:00:32.66,0.157
1,1,B02,M,00:00:33.55,0.159
1,1,B03,M,00:00:34.44,0.168
1,1,B04,M,00:00:35.32,0.142
1,1,B05,M,00:00:36.21,0.143
1,1,B06,M,00:00:37.10,0.124
1,1,B07,M,00:00:37.99,0.150
1,1,B08,M,00:00:38.88,0.154
1,1,B09,M,00:00:39.77,0.149
1,1,B10,M,00:00:40.66,0.147
1,1,B11,M,00:00:41.55,0.144
1,1,B12,M,00:00:42.44,0.146
1,1,C01,M,00:00:45.77,0.147
1,1,C02,M,00:00:46.66,0.142
1,1,C03,M,00:00:47.55,0.145
1,1,C04,M,00:00:48.44,0.139
1,1,C05,M,00:00:49.32,0.137
1,1,C06,M,00:00:50.21,0.138
1,1,C07,M,00:00:51.10,0.231
1,1,C08,M,00:00:51.99,0.231
1,1,C09,M,00:00:52.88,0.238
1,1,C10,M,00:00:53.77,0.164
1,1,C11,M,00:00:54.66,0.163
1,1,C12,M,00:00:55.55,0.162
1,1,D01,M,00:00:58.88,0.141
1,1,D02,M,00:00:59.77,0.133
1,1,D03,M,00:01:00.66,0.132
1,1,D04,M,00:01:01.55,0.142
1,1,D05,M,00:01:02.44,0.144
1,1,D06,M,00:01:03.32,0.146
1,1,D07,M,00:01:04.21,0.141
1,1,D08,M,00:01:05.10,0.143
1,1,D09,M,00:01:05.99,0.139
1,1,D10,M,00:01:06.88,0.138
1,1,D11,M,00:01:07.77,0.180
1,1,D12,M,00:01:08.66,0.180
1,1,E01,M,00:01:11.99,0.183
1,1,E02,M,00:01:12.88,0.148
1,1,E03,M,00:01:13.77,0.150
1,1,E04,M,00:01:14.66,0.150
1,2,A01,M,00:04:23.25,0.130
