Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A)
1,1,A01,M,00:00:19.36,0.308
1,1,A02,M,00:00:20.26,0.304
1,1,A03,M,00:00:21.15,0.300
1,1,A04,M,00:00:22.04,0.381
1,1,A05,M,00:00:22.93,0.363
1,1,A06,M,00:00:23.82,0.396
1,1,A07,M,00:00:24.71,0.286
1,1,A08,M,00:00:25.60,0.294
1,1,A09,M,00:00:26.49,0.316
1,1,A10,M,00:00:27.37,0.267
1,1,A11,M,00:00:28.26,0.299
1,1,A12,M,00:00:29.15,0.296
1,1,B01,M,00:00:32.49,0.253
1,1,B02,M,00:00:33.37,0.247
1,1,B03,M,00:00:34.26,0.249
1,1,B04,M,00:00:35.15,0.338
1,1,B05,M,00:00:36.04,0.338
1,1,B06,M,00:00:36.93,0.344
1,1,B07,M,00:00:37.82,0.425
1,1,B08,M,00:00:38.71,0.426
1,1,B09,M,00:00:39.60,0.427
1,1,B10,M,00:00:40.49,0.320
1,1,B11,M,00:00:41.37,0.316
1,1,B12,M,00:00:42.26,0.318
1,1,C01,M,00:00:45.60,0.541
1,1,C02,M,00:00:46.49,0.551
1,1,C03,M,00:00:47.37,0.558
1,1,C04,M,00:00:48.26,0.400
1,1,C05,M,00:00:49.15,0.385
1,1,C06,M,00:00:50.04,0.384
1,1,C07,M,00:00:50.93,0.300
1,1,C08,M,00:00:51.82,0.299
1,1,C09,M,00:00:52.71,0.299
1,1,C10,M,00:00:53.60,0.370
1,1,C11,M,00:00:54.49,0.372
1,1,C12,M,00:00:55.37,0.340
1,1,D01,M,00:00:58.71,0.307
1,1,D02,M,00:00:59.60,0.342
1,1,D03,M,00:01:00.49,0.335
1,1,D04,M,00:01:01.37,0.277
1,1,D05,M,00:01:02.26,0.318
1,1,D06,M,00:01:03.15,0.313
1,1,D07,M,00:01:04.04,0.260
1,1,D08,M,00:01:04.93,0.262
1,1,D09,M,00:01:05.82,0.264
1,1,D10,M,00:01:06.71,0.366
1,1,D11,M,00:01:07.60,0.353
1,1,D12,M,00:01:08.49,0.363
1,1,E01,M,00:01:11.82,0.290
1,1,E02,M,00:01:12.71,0.294
1,1,E03,M,00:01:13.60,0.285
1,1,E04,M,00:01:14.48,0.276
1,1,E05,M,00:01:15.37,0.255
1,1,E06,M,00:01:16.26,0.248
1,1,E07,M,00:01:17.15,0.327
1,1,E08,M,00:01:18.04,0.332
1,1,E09,M,00:01:18.93,0.328
1,1,E10,M,00:01:19.82,0.333
1,1,E11,M,00:01:20.71,0.330
1,1,E12,M,00:01:21.60,0.336
1,1,F01,M,00:01:24.93,0.094
1,2,A01,M,00:04:34.30,0.316
1,2,A02,M,00:04:35.20,0.311
