Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A)
1,1,A01,M,00:00:19.61,0.163
1,1,A02,M,00:00:20.51,0.396
1,1,A03,M,00:00:21.40,0.583
1,1,A04,M,00:00:22.29,0.782
1,1,A05,M,00:00:23.18,1.013
1,1,A06,M,00:00:24.07,1.262
1,1,A07,M,00:00:24.96,0.144
1,1,A08,M,00:00:25.85,0.154
1,1,A09,M,00:00:26.74,0.146
1,1,A10,M,00:00:27.63,0.110
1,1,A11,M,00:00:28.51,0.088
1,1,A12,M,00:00:29.40,0.089
1,1,B01,M,00:00:32.74,0.259
1,1,B02,M,00:00:33.62,0.262
1,1,B03,M,00:00:34.51,0.263
1,1,B04,M,00:00:35.40,0.345
1,1,B05,M,00:00:36.29,0.221
1,1,B06,M,00:00:37.18,0.222
1,1,B07,M,00:00:38.07,0.289
1,1,B08,M,00:00:38.96,0.248
1,1,B09,M,00:00:39.85,0.253
1,1,B10,M,00:00:40.74,0.199
1,1,B11,M,00:00:41.63,0.220
1,1,B12,M,00:00:42.51,0.200
1,1,C01,M,00:00:45.85,0.315
1,1,C02,M,00:00:46.74,0.361
1,1,C03,M,00:00:47.62,0.355
1,1,C04,M,00:00:48.51,0.259
1,1,C05,M,00:00:49.40,0.296
1,1,C06,M,00:00:50.29,0.285
1,1,C07,M,00:00:51.18,0.356
1,1,C08,M,00:00:52.07,0.308
1,1,C09,M,00:00:52.96,0.309
1,1,C10,M,00:00:53.85,0.193
1,1,C11,M,00:00:54.74,0.190
1,1,C12,M,00:00:55.62,0.190
1,1,D01,M,00:00:58.96,0.204
1,1,D02,M,00:00:59.85,0.186
1,1,D03,M,00:01:00.74,0.203
1,1,D04,M,00:01:01.62,0.235
1,1,D05,M,00:01:02.51,0.189
1,1,D06,M,00:01:03.40,0.189
1,1,D07,M,00:01:04.29,0.221
1,1,D08,M,00:01:05.18,0.214
1,1,D09,M,00:01:06.07,0.214
1,1,D10,M,00:01:06.96,0.250
1,1,D11,M,00:01:07.85,0.194
1,1,D12,M,00:01:08.74,0.194
1,1,E01,M,00:01:12.07,0.283
1,1,E02,M,00:01:12.96,0.302
1,1,E03,M,00:01:13.85,0.295
1,1,E04,M,00:01:14.73,0.262
1,1,E05,M,00:01:15.62,0.289
1,1,E06,M,00:01:16.51,0.318
1,1,E07,M,00:01:17.40,0.202
1,1,E08,M,00:01:18.29,0.233
1,1,E09,M,00:01:19.18,0.232
1,1,E10,M,00:01:20.07,0.248
1,1,E11,M,00:01:20.96,0.240
1,1,E12,M,00:01:21.85,0.235
1,1,F01,M,00:01:25.18,0.188
1,1,F02,M,00:01:26.07,0.178
1,1,F03,M,00:01:26.96,0.179
1,1,F04,M,00:01:27.85,0.199
1,1,F05,M,00:01:28.73,0.182
1,1,F06,M,00:01:29.62,0.185
1,1,F07,M,00:01:30.51,0.446
1,1,F08,M,00:01:31.40,0.267
1,1,F09,M,00:01:32.29,0.281
1,1,F10,M,00:01:33.18,0.230
1,1,F11,M,00:01:34.07,0.241
1,1,F12,M,00:01:34.96,0.243
1,1,G01,M,00:01:38.29,0.221
1,1,G02,M,00:01:39.18,0.218
1,1,G03,M,00:01:40.07,0.225
1,2,A01,M,00:04:48.67,0.155
1,2,A02,M,00:04:49.56,0.392
1,2,A03,M,00:04:50.45,0.588
1,2,A04,M,00:04:51.34,0.812
1,2,A05,M,00:04:52.23,1.052
1,2,A06,M,00:04:53.12,1.300
1,2,A07,M,00:04:54.01,0.138
1,2,A08,M,00:04:54.90,0.148
1,2,A09,M,00:04:55.79,0.142
1,2,A10,M,00:04:56.68,0.109
1,2,A11,M,00:04:57.57,0.087
1,2,A12,M,00:04:58.45,0.088
1,2,B01,M,00:05:01.79,0.277
1,2,B02,M,00:05:02.68,0.276
1,2,B03,M,00:05:03.56,0.276
1,2,B04,M,00:05:04.45,0.342
1,2,B05,M,00:05:05.34,0.236
1,2,B06,M,00:05:06.23,0.234
1,2,B07,M,00:05:07.12,0.341
1,2,B08,M,00:05:08.01,0.259
1,2,B09,M,00:05:08.90,0.262
1,2,B10,M,00:05:09.79,0.215
1,2,B11,M,00:05:10.68,0.285
1,2,B12,M,00:05:11.56,0.216
1,2,C01,M,00:05:14.90,0.323
1,2,C02,M,00:05:15.79,0.392
1,2,C03,M,00:05:16.68,0.373
1,2,C04,M,00:05:17.56,0.264
1,2,C05,M,00:05:18.45,0.299
1,2,C06,M,00:05:19.34,0.293
1,2,C07,M,00:05:20.23,0.362
1,2,C08,M,00:05:21.12,0.324
1,2,C09,M,00:05:22.01,0.325
1,2,C10,M,00:05:22.90,0.201
1,2,C11,M,00:05:23.79,0.198
1,2,C12,M,00:05:24.68,0.198
1,2,D01,M,00:05:28.01,0.222
1,2,D02,M,00:05:28.90,0.199
1,2,D03,M,00:05:29.79,0.220
1,2,D04,M,00:05:30.68,0.253
1,2,D05,M,00:05:31.56,0.198
1,2,D06,M,00:05:32.45,0.197
1,2,D07,M,00:05:33.34,0.238
1,2,D08,M,00:05:34.23,0.225
1,2,D09,M,00:05:35.12,0.223
1,2,D10,M,00:05:36.01,0.272
1,2,D11,M,00:05:36.90,0.209
1,2,D12,M,00:05:37.79,0.210
1,2,E01,M,00:05:41.12,0.301
1,2,E02,M,00:05:42.01,0.325
1,2,E03,M,00:05:42.90,0.314
1,2,E04,M,00:05:43.79,0.280
1,2,E05,M,00:05:44.67,0.307
1,2,E06,M,00:05:45.56,0.339
1,2,E07,M,00:05:46.45,0.203
1,2,E08,M,00:05:47.34,0.233
1,2,E09,M,00:05:48.23,0.234
1,2,E10,M,00:05:49.12,0.274
1,2,E11,M,00:05:50.01,0.267
1,2,E12,M,00:05:50.90,0.262
1,2,F01,M,00:05:54.23,0.200
1,2,F02,M,00:05:55.12,0.189
1,2,F03,M,00:05:56.01,0.190
1,2,F04,M,00:05:56.90,0.203
1,2,F05,M,00:05:57.79,0.187
1,2,F06,M,00:05:58.67,0.190
1,2,F07,M,00:05:59.56,0.426
1,2,F08,M,00:06:00.45,0.291
1,2,F09,M,00:06:01.34,0.305
1,2,F10,M,00:06:02.23,0.250
1,2,F11,M,00:06:03.12,0.261
1,2,F12,M,00:06:04.01,0.263
1,2,G01,M,00:06:07.34,0.241
1,2,G02,M,00:06:08.23,0.236
1,2,G03,M,00:06:09.12,0.244
1,3,A01,M,00:09:17.66,0.154
1,3,A02,M,00:09:18.56,0.387
1,3,A03,M,00:09:19.45,0.581
1,3,A04,M,00:09:20.34,0.808
1,3,A05,M,00:09:21.23,1.045
1,3,A06,M,00:09:22.12,1.290
1,3,A07,M,00:09:23.00,0.138
1,3,A08,M,00:09:23.89,0.145
1,3,A09,M,00:09:24.78,0.142
1,3,A10,M,00:09:25.67,0.108
1,3,A11,M,00:09:26.56,0.087
1,3,A12,M,00:09:27.45,0.088
1,3,B01,M,00:09:30.78,0.287
1,3,B02,M,00:09:31.67,0.288
1,3,B03,M,00:09:32.56,0.290
1,3,B04,M,00:09:33.45,0.403
1,3,B05,M,00:09:34.34,0.254
1,3,B06,M,00:09:35.23,0.253
1,3,B07,M,00:09:36.12,0.337
1,3,B08,M,00:09:37.00,0.276
1,3,B09,M,00:09:37.89,0.276
1,3,B10,M,00:09:38.78,0.233
1,3,B11,M,00:09:39.67,0.329
1,3,B12,M,00:09:40.56,0.234
1,3,C01,M,00:09:43.89,0.329
1,3,C02,M,00:09:44.78,0.394
1,3,C03,M,00:09:45.67,0.387
1,3,C04,M,00:09:46.56,0.269
1,3,C05,M,00:09:47.45,0.304
1,3,C06,M,00:09:48.34,0.299
1,3,C07,M,00:09:49.23,0.374
1,3,C08,M,00:09:50.12,0.339
1,3,C09,M,00:09:51.00,0.339
1,3,C10,M,00:09:51.89,0.213
1,3,C11,M,00:09:52.78,0.210
1,3,C12,M,00:09:53.67,0.210
1,3,D01,M,00:09:57.01,0.238
1,3,D02,M,00:09:57.89,0.213
1,3,D03,M,00:09:58.78,0.237
1,3,D04,M,00:09:59.67,0.267
1,3,D05,M,00:10:00.56,0.210
1,3,D06,M,00:10:01.45,0.208
1,3,D07,M,00:10:02.34,0.248
1,3,D08,M,00:10:03.23,0.237
1,3,D09,M,00:10:04.12,0.234
1,3,D10,M,00:10:05.00,0.287
1,3,D11,M,00:10:05.89,0.224
1,3,D12,M,00:10:06.78,0.225
1,3,E01,M,00:10:10.12,0.318
1,3,E02,M,00:10:11.00,0.340
1,3,E03,M,00:10:11.89,0.327
1,3,E04,M,00:10:12.78,0.296
1,3,E05,M,00:10:13.67,0.323
1,3,E06,M,00:10:14.56,0.354
1,3,E07,M,00:10:15.45,0.204
1,3,E08,M,00:10:16.34,0.234
1,3,E09,M,00:10:17.23,0.235
1,3,E10,M,00:10:18.11,0.296
1,3,E11,M,00:10:19.00,0.288
1,3,E12,M,00:10:19.89,0.285
1,3,F01,M,00:10:23.23,0.214
1,3,F02,M,00:10:24.11,0.204
1,3,F03,M,00:10:25.00,0.205
1,3,F04,M,00:10:25.89,0.209
1,3,F05,M,00:10:26.78,0.193
1,3,F06,M,00:10:27.67,0.197
1,3,F07,M,00:10:28.56,0.574
1,3,F08,M,00:10:29.45,0.312
1,3,F09,M,00:10:30.34,0.326
1,3,F10,M,00:10:31.23,0.267
1,3,F11,M,00:10:32.12,0.278
1,3,F12,M,00:10:33.00,0.280
1,3,G01,M,00:10:36.34,0.259
1,3,G02,M,00:10:37.23,0.253
1,3,G03,M,00:10:38.11,0.261
1,4,A01,M,00:13:46.71,0.154
1,4,A02,M,00:13:47.61,0.382
1,4,A03,M,00:13:48.50,0.574
1,4,A04,M,00:13:49.39,0.796
1,4,A05,M,00:13:50.28,1.028
1,4,A06,M,00:13:51.17,1.271
1,4,A07,M,00:13:52.06,0.139
1,4,A08,M,00:13:52.94,0.144
1,4,A09,M,00:13:53.83,0.145
1,4,A10,M,00:13:54.72,0.108
1,4,A11,M,00:13:55.61,0.087
1,4,A12,M,00:13:56.50,0.088
1,4,B01,M,00:13:59.83,0.301
1,4,B02,M,00:14:00.72,0.304
1,4,B03,M,00:14:01.61,0.301
1,4,B04,M,00:14:02.50,0.393
1,4,B05,M,00:14:03.39,0.269
1,4,B06,M,00:14:04.28,0.268
1,4,B07,M,00:14:05.17,0.371
1,4,B08,M,00:14:06.06,0.291
1,4,B09,M,00:14:06.94,0.285
1,4,B10,M,00:14:07.83,0.250
1,4,B11,M,00:14:08.72,0.304
1,4,B12,M,00:14:09.61,0.251
1,4,C01,M,00:14:12.95,0.337
1,4,C02,M,00:14:13.83,0.409
1,4,C03,M,00:14:14.72,0.394
1,4,C04,M,00:14:15.61,0.274
1,4,C05,M,00:14:16.50,0.308
1,4,C06,M,00:14:17.39,0.302
1,4,C07,M,00:14:18.28,0.386
1,4,C08,M,00:14:19.17,0.350
1,4,C09,M,00:14:20.06,0.349
1,4,C10,M,00:14:20.94,0.225
1,4,C11,M,00:14:21.83,0.222
1,4,C12,M,00:14:22.72,0.222
1,4,D01,M,00:14:26.06,0.252
1,4,D02,M,00:14:26.94,0.225
1,4,D03,M,00:14:27.83,0.251
1,4,D04,M,00:14:28.72,0.265
1,4,D05,M,00:14:29.61,0.219
1,4,D06,M,00:14:30.50,0.218
1,4,D07,M,00:14:31.39,0.259
1,4,D08,M,00:14:32.28,0.247
1,4,D09,M,00:14:33.17,0.244
1,4,D10,M,00:14:34.06,0.308
1,4,D11,M,00:14:34.94,0.236
1,4,D12,M,00:14:35.83,0.238
1,4,E01,M,00:14:39.17,0.331
1,4,E02,M,00:14:40.05,0.352
1,4,E03,M,00:14:40.94,0.338
1,4,E04,M,00:14:41.83,0.310
1,4,E05,M,00:14:42.72,0.337
1,4,E06,M,00:14:43.61,0.367
1,4,E07,M,00:14:44.50,0.204
