Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A)
1,1,A01,M,00:00:19.00,0.945
1,1,A02,M,00:00:19.90,0.987
1,1,A03,M,00:00:20.78,0.798
1,1,A04,M,00:00:21.67,0.924
1,1,A05,M,00:00:22.56,0.940
1,1,A06,M,00:00:23.45,1.042
1,1,A07,M,00:00:24.34,0.925
1,1,A08,M,00:00:25.23,0.882
1,1,A09,M,00:00:26.12,0.789
1,1,A10,M,00:00:27.01,0.926
1,1,A11,M,00:00:27.90,0.966
1,1,A12,M,00:00:28.78,0.882
1,1,B01,M,00:00:32.12,1.104
1,1,B02,M,00:00:33.01,0.973
1,1,B03,M,00:00:33.90,1.145
1,1,B04,M,00:00:34.78,0.834
1,1,B05,M,00:00:35.67,0.879
1,1,B06,M,00:00:36.56,0.948
1,1,B07,M,00:00:37.45,0.771
1,1,B08,M,00:00:38.34,0.817
1,1,B09,M,00:00:39.23,0.856
1,1,B10,M,00:00:40.12,0.888
1,1,B11,M,00:00:41.01,1.052
1,1,B12,M,00:00:41.90,1.130
1,1,C01,M,00:00:45.23,1.018
1,1,C02,M,00:00:46.12,1.015
1,1,C03,M,00:00:47.01,1.133
1,1,C04,M,00:00:47.90,0.835
1,1,C05,M,00:00:48.78,0.774
1,1,C06,M,00:00:49.67,0.802
1,1,C07,M,00:00:50.56,0.828
1,1,C08,M,00:00:51.45,0.976
1,1,C09,M,00:00:52.34,0.998
1,1,C10,M,00:00:53.23,0.895
1,1,C11,M,00:00:54.12,1.012
1,1,C12,M,00:00:55.01,1.048
1,1,D01,M,00:00:58.34,0.937
1,1,D02,M,00:00:59.23,0.913
1,1,D03,M,00:01:00.12,0.928
1,1,D04,M,00:01:01.01,0.774
1,1,D05,M,00:01:01.89,0.808
1,1,D06,M,00:01:02.78,0.852
1,1,D07,M,00:01:03.67,0.730
1,1,D08,M,00:01:04.56,0.779
1,1,D09,M,00:01:05.45,0.750
1,1,D10,M,00:01:06.34,0.878
1,1,D11,M,00:01:07.23,1.000
1,1,D12,M,00:01:08.12,1.030
1,1,E01,M,00:01:11.45,0.781
1,1,E02,M,00:01:12.34,0.838
1,1,E03,M,00:01:13.23,0.834
1,1,E04,M,00:01:14.12,0.754
1,1,E05,M,00:01:15.01,0.782
1,1,E06,M,00:01:15.89,0.742
1,1,E07,M,00:01:16.78,1.101
1,1,E08,M,00:01:17.67,1.058
1,1,E09,M,00:01:18.56,1.146
1,1,E10,M,00:01:19.45,1.040
1,1,E11,M,00:01:20.34,1.035
1,1,E12,M,00:01:21.23,1.168
1,1,G01,M,00:01:24.65,0.035
1,1,G02,M,00:01:25.56,0.037
1,1,G03,M,00:01:26.45,0.037
1,2,A01,M,00:01:45.11,1.028
1,2,A02,M,00:01:46.01,1.022
1,2,A03,M,00:01:46.89,0.960
1,2,A04,M,00:01:47.78,1.026
1,2,A05,M,00:01:48.67,1.012
1,2,A06,M,00:01:49.56,1.071
1,2,A07,M,00:01:50.45,0.983
1,2,A08,M,00:01:51.34,0.934
1,2,A09,M,00:01:52.23,0.849
1,2,A10,M,00:01:53.12,0.975
1,2,A11,M,00:01:54.01,0.956
1,2,A12,M,00:01:54.89,0.893
1,2,B01,M,00:01:58.23,1.160
