ID,ploidy,follow,ploidy:follow,tank,day,trt,ploidy:trt,,shell_length,shell_width,shell_height,mortality,sample_date,dry_weight,shell_volume,calc_dry_weight,histology,tube_number
D01,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,97,61,40,,6/23/21,,123925,5.4166,yes,D54
D02,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,80,59,36,,6/23/21,,88970,4.0184,yes,D55
D03,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,94,65,38,,6/23/21,,121569,5.32236,yes,D56
D04,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,84,55,34,,6/23/21,,82247,3.74948,yes,D57
D05,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,80,57,33,,6/23/21,,78791,3.61124,yes,D58
D06,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,81,65,34,,6/23/21,,93729,4.20876,yes,D59
D07,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,96,60,31,,6/23/21,,93494,4.19936,yes,M41
D08,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,100,58,33,,6/23/21,,100217,4.46828,yes,M42
D09,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,85,51,30,,6/23/21,,68094,3.18336,yes,M43
D10,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,91,57,37,,6/23/21,,100489,4.47916,yes,M44
D11,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,94,55,27,,6/23/21,,73089,3.38316,yes,M45
D12,D,no,D-no,tank_5,-10,baseline,D-baseline,baseline_D_-10,102,59,34,,6/23/21,,107135,4.745,yes,M46
D13,D,yes,D-yes,tank_6,,control,D-control,control_D_,85,53,30,,,4.87,70764,3.29016,,M47
D14,D,yes,D-yes,tank_6,,control,D-control,control_D_,102,70,44,,,9.73,164494,7.03936,,M48
D15,D,yes,D-yes,tank_6,,control,D-control,control_D_,82,49,29,,,2.74,61011,2.90004,,M49
D16,D,yes,D-yes,tank_6,,control,D-control,control_D_,90,60,40,,,4.64,113097,4.98348,,M89
D17,D,yes,D-yes,tank_6,,control,D-control,control_D_,80,62,30,,,3.95,77911,3.57604,,M90
D18,D,yes,D-yes,tank_6,,control,D-control,control_D_,90,62,32,,,4.86,93494,4.19936,,N41
D19,D,yes,D-yes,tank_6,,control,D-control,control_D_,88,49,26,,,2.95,58702,2.80768,,N42
D20,D,yes,D-yes,tank_6,,control,D-control,control_D_,102,55,25,,,3.35,73435,3.397,,N43
D21,D,yes,D-yes,tank_6,,control,D-control,control_D_,78,57,29,,,3.2,67510,3.16,,N44
D22,D,yes,D-yes,tank_6,,control,D-control,control_D_,90,53,30,,,3.16,74927,3.45668,,N45
D23,D,yes,D-yes,tank_6,,control,D-control,control_D_,76,53,31,,,3.07,65381,3.07484,,N46
D24,D,yes,D-yes,tank_6,,control,D-control,control_D_,100,54,32,,,5.41,90478,4.07872,,N47
D25,D,yes,D-yes,tank_6,,control,D-control,control_D_,101,71,42,,,5.87,157699,6.76756,,N48
D26,D,yes,D-yes,tank_6,,control,D-control,control_D_,88,58,32,,,3,85518,3.88032,,N49
D27,D,yes,D-yes,tank_6,,control,D-control,control_D_,92,48,31,,,2.9,71679,3.32676,,N50
D28,D,yes,D-yes,tank_6,,control,D-control,control_D_,89,54,31,,,2.91,78009,3.57996,,N51
D29,D,yes,D-yes,tank_6,,control,D-control,control_D_,79,60,31,,,3.68,76938,3.53712,,N52
D30,D,yes,D-yes,tank_6,,control,D-control,control_D_,87,55,31,,,3.79,77668,3.56632,,N53
D31,D,yes,D-yes,tank_6,,control,D-control,control_D_,100,59,30,,,4.86,92677,4.16668,,N54
D32,D,yes,D-yes,tank_6,,control,D-control,control_D_,72,51,30,,,3.71,57680,2.7668,,N55
D33,D,yes,D-yes,tank_6,,control,D-control,control_D_,92,71,36,,,7.76,123125,5.3846,,N56
D34,D,yes,D-yes,tank_6,,control,D-control,control_D_,106,64,41,,,7.37,145636,6.28504,,N57
D35,D,yes,D-yes,tank_6,,control,D-control,control_D_,81,49,33,,,4.46,68579,3.20276,,N58
D36,D,yes,D-yes,tank_6,,control,D-control,control_D_,96,50,39,,,4.73,98018,4.38032,,N59
D37,D,yes,D-yes,tank_6,,control,D-control,control_D_,84,48,28,,,3.31,59112,2.82408,,R41
D38,D,yes,D-yes,tank_6,,control,D-control,control_D_,90,60,35,,,3.89,98960,4.418,,R42
D39,D,yes,D-yes,tank_6,,control,D-control,control_D_,65,55,33,,,3.28,61772,2.93048,,R43
D40,D,yes,D-yes,tank_6,,control,D-control,control_D_,99,64,31,,,5,102843,4.57332,,R46
D41,D,yes,D-yes,tank_6,,control,D-control,control_D_,86,56,26,,,3.48,65563,3.08212,,R47
D42,D,yes,D-yes,tank_6,,control,D-control,control_D_,86,48,24,,,2.81,51874,2.53456,,R48
D43,D,yes,D-yes,tank_6,,control,D-control,control_D_,70,45,23,,,2.31,37935,1.977,,R50
D44,D,yes,D-yes,tank_6,,control,D-control,control_D_,95,60,40,,,5.31,119381,5.23484,,R51
D45,D,yes,D-yes,tank_6,,control,D-control,control_D_,95,71,29,,,3.44,102419,4.55636,,R52
D46,D,yes,D-yes,tank_6,,control,D-control,control_D_,71,46,23,,,2.41,39332,2.03288,,R53
D47,D,yes,D-yes,tank_6,,control,D-control,control_D_,75,43,27,,,2.87,45592,2.28328,,R54
D48,D,yes,D-yes,tank_6,,control,D-control,control_D_,81,57,32,14,,,77359,3.55396,,R55
D49,D,yes,D-yes,tank_6,,control,D-control,control_D_,95,50,27,,,3.52,67152,3.14568,,R56
D50,D,yes,D-yes,tank_6,,control,D-control,control_D_,80,49,27,,,3.25,55418,2.67632,,R57
D51,D,yes,D-yes,tank_6,,control,D-control,control_D_,70,57,27,,,4.19,56407,2.71588,,R58
D52,D,yes,D-yes,tank_6,,control,D-control,control_D_,80,32,26,,,1.9,34851,1.85364,,R59
D53,D,yes,D-yes,tank_6,,control,D-control,control_D_,76,51,29,,,2.95,58855,2.8138,,R60
T01,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,90,72,34,,6/23/21,,115359,5.07396,yes,R61
T02,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,91,61,32,,6/23/21,,93008,4.17992,yes,R62
T03,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,81,56,36,,6/23/21,,85502,3.87968,yes,R78
T04,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,80,60,29,,6/23/21,,72885,3.375,yes,T55
T05,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,76,72,28,,6/23/21,,80224,3.66856,yes,T56
T06,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,79,64,31,,6/23/21,,82067,3.74228,yes,T57
D60,D,no,D-no,tank_5,,control,D-control,control_D_,86,62,30,,,,83755,3.8098,,T58
D61,D,no,D-no,tank_5,,control,D-control,control_D_,111,48,28,,,,78113,3.58412,,T59
D62,D,no,D-no,tank_5,,control,D-control,control_D_,95,56,35,,,,97494,4.35936,,T60
D63,D,no,D-no,tank_5,,control,D-control,control_D_,99,63,29,,,,94705,4.2478,,T61
D64,D,no,D-no,tank_5,,control,D-control,control_D_,81,47,26,,,,51827,2.53268,,T62
D65,D,no,D-no,tank_5,,control,D-control,control_D_,95,62,39,,,,120276,5.27064,,X41
D66,D,no,D-no,tank_5,,control,D-control,control_D_,83,63,33,,,,90351,4.07364,,X42
D67,D,no,D-no,tank_5,,control,D-control,control_D_,84,51,25,,,,56077,2.70268,,X43
D68,D,no,D-no,tank_5,,control,D-control,control_D_,93,40,27,,,,52590,2.5632,,X44
D69,D,no,D-no,tank_5,,control,D-control,control_D_,96,59,31,,,,91936,4.13704,,X45
D70,D,no,D-no,tank_5,,control,D-control,control_D_,94,58,31,,,,88494,3.99936,,X46
D71,D,no,D-no,tank_5,,control,D-control,control_D_,100,61,33,,,,105400,4.6756,,X47
D72,D,no,D-no,tank_5,,control,D-control,control_D_,85,53,28,,,,66047,3.10148,,X48
D73,D,no,D-no,tank_5,,control,D-control,control_D_,95,52,34,,,,87944,3.97736,,
D74,D,no,D-no,tank_5,,control,D-control,control_D_,89,51,30,,,,71298,3.31152,,
D75,D,no,D-no,tank_5,,control,D-control,control_D_,93,45,28,,,,61355,2.9138,,
D76,D,no,D-no,tank_5,,control,D-control,control_D_,92,50,31,,,,74665,3.4462,,
D77,D,no,D-no,tank_5,,control,D-control,control_D_,91,60,34,,,,97201,4.34764,,
D78,D,no,D-no,tank_5,,control,D-control,control_D_,102,69,36,,,,132663,5.76612,,
