Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A)
1,1,A01,M,00:00:18.66,0.192
1,1,A02,M,00:00:19.56,0.194
1,1,A03,M,00:00:20.45,0.192
1,1,A04,M,00:00:21.34,0.189
1,1,A05,M,00:00:22.23,0.192
1,1,A06,M,00:00:23.12,0.191
1,1,A07,M,00:00:24.01,0.180
1,1,A08,M,00:00:24.90,0.173
1,1,A09,M,00:00:25.79,0.162
1,1,A10,M,00:00:26.67,0.364
1,1,A11,M,00:00:27.56,0.376
1,1,A12,M,00:00:28.45,0.410
1,1,B01,M,00:00:31.79,0.127
1,1,B02,M,00:00:32.67,0.127
1,1,B03,M,00:00:33.56,0.128
1,1,B04,M,00:00:34.45,0.209
1,1,B05,M,00:00:35.34,0.211
1,1,B06,M,00:00:36.23,0.213
1,1,B07,M,00:00:37.12,0.219
1,1,B08,M,00:00:38.01,0.221
1,1,B09,M,00:00:38.90,0.228
1,1,B10,M,00:00:39.79,0.153
1,1,B11,M,00:00:40.67,0.145
1,1,B12,M,00:00:41.56,0.145
1,1,C01,M,00:00:44.90,0.289
1,1,C02,M,00:00:45.79,0.290
1,1,C03,M,00:00:46.67,0.287
1,1,C04,M,00:00:47.56,0.131
1,1,C05,M,00:00:48.45,0.134
1,1,C06,M,00:00:49.34,0.135
1,1,C07,M,00:00:50.23,0.373
1,1,C08,M,00:00:51.12,0.369
1,1,C09,M,00:00:52.01,0.371
1,1,C10,M,00:00:52.90,0.172
1,1,C11,M,00:00:53.79,0.161
1,1,C12,M,00:00:54.67,0.161
1,1,D01,M,00:00:58.01,0.240
1,1,D02,M,00:00:58.90,0.240
1,1,D03,M,00:00:59.79,0.240
1,1,D04,M,00:01:00.67,0.173
1,1,D05,M,00:01:01.56,0.170
1,1,D06,M,00:01:02.45,0.154
1,1,D07,M,00:01:03.34,0.148
1,1,D08,M,00:01:04.23,0.148
1,1,D09,M,00:01:05.12,0.148
1,1,D10,M,00:01:06.01,0.239
1,1,D11,M,00:01:06.90,0.231
1,1,D12,M,00:01:07.79,0.233
1,1,E01,M,00:01:11.12,0.214
1,1,E02,M,00:01:12.01,0.211
1,1,E03,M,00:01:12.90,0.188
1,1,E04,M,00:01:13.78,0.256
1,1,E05,M,00:01:14.67,0.245
1,1,E06,M,00:01:15.56,0.245
1,1,E07,M,00:01:16.45,0.296
1,1,E08,M,00:01:17.34,0.308
1,1,E09,M,00:01:18.23,0.316
1,1,E10,M,00:01:19.12,0.487
1,1,E11,M,00:01:20.01,0.490
1,1,E12,M,00:01:20.90,0.503
1,1,F01,M,00:01:24.23,0.272
1,1,F02,M,00:01:25.12,0.272
1,1,F03,M,00:01:26.01,0.250
1,1,F04,M,00:01:26.90,0.189
1,1,F05,M,00:01:27.78,0.183
1,1,F06,M,00:01:28.67,0.184
1,1,F07,M,00:01:29.56,0.197
1,1,F08,M,00:01:30.45,0.180
1,1,F09,M,00:01:31.34,0.183
1,1,F10,M,00:01:32.23,0.216
1,1,F11,M,00:01:33.12,0.213
1,1,F12,M,00:01:34.01,0.207
1,1,G01,M,00:01:37.34,0.045
1,2,A01,M,00:04:46.83,0.196
1,2,A02,M,00:04:47.73,0.196
1,2,A03,M,00:04:48.61,0.195
1,2,A04,M,00:04:49.50,0.195
1,2,A05,M,00:04:50.39,0.197
1,2,A06,M,00:04:51.28,0.195
1,2,A07,M,00:04:52.17,0.181
1,2,A08,M,00:04:53.06,0.174
1,2,A09,M,00:04:53.95,0.165
1,2,A10,M,00:04:54.84,0.366
1,2,A11,M,00:04:55.73,0.372
1,2,A12,M,00:04:56.61,0.419
1,2,B01,M,00:04:59.95,0.126
1,2,B02,M,00:05:00.84,0.127
1,2,B03,M,00:05:01.73,0.127
1,2,B04,M,00:05:02.61,0.209
1,2,B05,M,00:05:03.50,0.210
1,2,B06,M,00:05:04.39,0.214
1,2,B07,M,00:05:05.28,0.221
1,2,B08,M,00:05:06.17,0.222
1,2,B09,M,00:05:07.06,0.229
1,2,B10,M,00:05:07.95,0.153
