Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A)
1,1,A01,M,00:00:19.86,0.108
1,1,A02,M,00:00:20.76,0.098
1,1,A03,M,00:00:21.65,0.098
1,1,A04,M,00:00:22.54,0.180
1,1,A05,M,00:00:23.43,0.185
1,1,A06,M,00:00:24.32,0.211
1,1,A07,M,00:00:25.21,0.461
1,1,A08,M,00:00:26.10,0.502
1,1,A09,M,00:00:26.99,0.498
1,1,A10,M,00:00:27.87,0.714
1,1,A11,M,00:00:28.76,0.732
1,1,A12,M,00:00:29.65,0.725
1,1,B01,M,00:00:32.99,0.807
1,1,B02,M,00:00:33.87,0.892
1,1,B03,M,00:00:34.76,0.874
1,1,B04,M,00:00:35.65,1.064
1,1,B05,M,00:00:36.54,1.050
1,1,B06,M,00:00:37.43,0.109
1,1,B07,M,00:00:38.32,0.109
1,1,B08,M,00:00:39.21,0.104
1,1,B09,M,00:00:40.10,0.101
1,1,B10,M,00:00:40.98,0.083
1,1,B11,M,00:00:41.87,0.087
1,1,B12,M,00:00:42.76,0.087
1,1,C01,M,00:00:46.10,0.135
1,1,C02,M,00:00:46.98,0.136
1,1,C03,M,00:00:47.87,0.139
1,1,C04,M,00:00:48.76,0.171
1,1,C05,M,00:00:49.65,0.149
1,1,C06,M,00:00:50.54,0.149
1,1,C07,M,00:00:51.43,0.118
1,1,C08,M,00:00:52.32,0.166
1,1,C09,M,00:00:53.21,0.113
1,1,C10,M,00:00:54.10,0.250
1,1,C11,M,00:00:54.99,0.133
1,1,C12,M,00:00:55.87,0.130
1,1,D01,M,00:00:59.21,0.131
1,1,D02,M,00:01:00.10,0.130
1,1,D03,M,00:01:00.98,0.131
1,1,D04,M,00:01:01.87,0.337
1,1,D05,M,00:01:02.76,0.241
1,1,D06,M,00:01:03.65,0.214
1,1,D07,M,00:01:04.54,0.300
1,1,D08,M,00:01:05.43,0.185
1,1,D09,M,00:01:06.32,0.182
1,1,D10,M,00:01:07.21,0.276
1,1,D11,M,00:01:08.10,0.160
1,1,D12,M,00:01:08.98,0.082
1,1,E01,M,00:01:12.32,0.135
1,1,E02,M,00:01:13.21,0.120
1,1,E03,M,00:01:14.10,0.115
1,1,E04,M,00:01:14.98,0.353
1,1,E05,M,00:01:15.87,0.237
1,1,E06,M,00:01:16.76,0.225
1,1,E07,M,00:01:17.65,0.541
1,1,E08,M,00:01:18.54,0.345
1,1,E09,M,00:01:19.43,0.352
1,1,E10,M,00:01:20.32,0.119
1,1,E11,M,00:01:21.21,0.170
1,1,E12,M,00:01:22.10,0.113
1,1,F01,M,00:01:25.43,0.360
1,1,F02,M,00:01:26.32,0.266
1,1,F03,M,00:01:27.21,0.279
1,1,F04,M,00:01:28.10,0.160
1,1,F05,M,00:01:28.98,0.118
1,1,F06,M,00:01:29.87,0.120
1,1,F07,M,00:01:30.76,0.175
1,1,F08,M,00:01:31.65,0.130
1,1,F09,M,00:01:32.54,0.132
1,1,F10,M,00:01:33.43,0.334
1,1,F11,M,00:01:34.32,0.148
1,1,F12,M,00:01:35.21,0.147
1,1,G01,M,00:01:38.54,0.229
1,1,G02,M,00:01:39.43,0.464
1,1,G03,M,00:01:40.32,0.231
1,1,G04,M,00:01:41.21,0.234
1,1,G05,M,00:01:42.09,0.144
1,1,G06,M,00:01:42.98,0.046
1,2,A01,M,00:04:52.91,0.105
1,2,A02,M,00:04:53.81,0.095
1,2,A03,M,00:04:54.70,0.095
1,2,A04,M,00:04:55.59,0.166
1,2,A05,M,00:04:56.48,0.169
1,2,A06,M,00:04:57.37,0.191
1,2,A07,M,00:04:58.26,0.419
1,2,A08,M,00:04:59.15,0.456
1,2,A09,M,00:05:00.04,0.453
1,2,A10,M,00:05:00.93,0.675
1,2,A11,M,00:05:01.81,0.685
1,2,A12,M,00:05:02.70,0.680
1,2,B01,M,00:05:06.04,0.767
1,2,B02,M,00:05:06.93,0.840
1,2,B03,M,00:05:07.81,0.822
