Samples to Redo,Weights (mg),redo 7.12.22
D55,14.1,14.1
D56,10.2,10.2
D58,5,5
D59,15.3,15.3
M41,24.2,24.2
M46,27.6,27.6
M47,16.3,11
M89,17.6,17.6
N41,14.4,14.4
N44,10,16.1
N45,8.7,8.7
N46,7.5,7.5
N47,11.5,11.5
N49,12.4,12.4
N57,4.3,9.3
R42,12.2,12.2
R46,3.1,3.1
R48,11.5,11.5
R50,13.3,13.3
R51,14.3,14.3
R57,25.2,25.2
R59,8.5,8.5
R60,13.1,13.1
R61,14.5,14.5
R62,missing,NA
T56,18.8,18.8
T58,16.5,16.5
T59,22.3,22.3
T60,mantle,NA
T61,21,9.4
T62,12.3,12.3
X42,13.8,13.8
X43,18,22
X44,6.7,6.7
X47,12.1,12.1
X48,25.3,25.3
