Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A),Label,NEW A,ug/ml,,,,,,,
1,1,A01,M,00:00:18.88,1.214,2000,0.783,1857.989025,,,,,,,
1,1,A02,M,00:00:19.78,1.136,1500,0.705,1599.187878,,,,,,,
1,1,A03,M,00:00:20.66,1.040,1000,0.609,1277.683533,,,,,,,
1,1,A04,M,00:00:21.55,0.997,750,0.566,1134.887279,,,,,,,
1,1,A05,M,00:00:22.44,0.806,500,0.375,497.6555952,,,,,,,
1,1,A06,M,00:00:23.33,0.680,250,0.250,80.69227557,,,,,,,
1,1,A07,M,00:00:24.22,0.660,125,0.230,14.06788451,,,,,,,
1,1,A08,M,00:00:25.11,0.640,0,0.209,-55.61015782,,,,,,,
1,1,A09,M,00:00:26.00,1.139,R41,0.708,1608.313809,,,,,,,
1,1,A10,M,00:00:26.89,1.151,R41,0.720,1648.975766,,,,,,,
1,1,A11,M,00:00:27.78,1.185,R41,0.754,1762.983265,,,,,,,
1,1,A12,M,00:00:28.66,1.025,R43,0.595,1230.845316,,,,,,,
1,1,B01,M,00:00:32.00,0.950,R43,0.519,980.1722297,,,,,,,
1,1,B02,M,00:00:32.89,0.982,R43,0.551,1086.159166,,,,,,,
1,1,B03,M,00:00:33.77,0.922,M44,0.491,885.5511664,,,,,,,
1,1,B04,M,00:00:34.66,0.921,M44,0.490,882.9318253,,,,,,,
1,1,B05,M,00:00:35.55,0.917,M44,0.486,868.5036314,,,,,,,
1,1,B06,M,00:00:36.44,0.464,BLANK,,,,,,,,,
1,1,B07,M,00:00:37.33,0.461,BLANK,,,,,,,,,
1,1,B08,M,00:00:38.22,0.458,BLANK,,,,,,,,,
1,1,B09,M,00:00:39.11,0.469,BLANK,,,,,,,,,
1,1,B10,M,00:00:40.00,0.457,BLANK,,,,,,,,,
1,1,B11,M,00:00:40.89,0.466,BLANK,,,,,,,,,
1,1,B12,M,00:00:41.78,0.242,BLANK,,,,,,,,,
,,,,,0.431,AVERAGE,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Y,0.0003X+0.2253
,,,,,,,,,,,,,,X,3333.33Y-751
