Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,2,F03,M,00:06:00.64,0.154,
1,2,F04,M,00:06:01.53,0.461,
1,2,F05,M,00:06:02.42,0.459,
1,2,F06,M,00:06:03.31,0.435,
1,2,F07,M,00:06:04.20,0.183,
1,2,F08,M,00:06:05.09,0.156,
1,2,F09,M,00:06:05.97,0.166,
1,2,F10,M,00:06:06.86,0.728,
1,2,F11,M,00:06:07.75,0.875,
1,2,F12,M,00:06:08.64,0.670,
1,2,G01,M,00:06:11.98,0.223,
1,2,G02,M,00:06:12.86,0.207,
1,2,G03,M,00:06:13.75,0.206,
1,2,G04,M,00:06:14.64,0.082,
1,2,G05,M,00:06:15.53,0.083,
1,2,G06,M,00:06:16.42,0.084,
1,2,G07,M,00:06:17.31,0.129,
1,2,G08,M,00:06:18.20,0.106,
1,2,G09,M,00:06:19.09,0.199,
1,3,A01,M,00:09:28.24,0.074,
1,3,A02,M,00:09:29.14,0.076,
1,3,A03,M,00:09:30.03,0.100,
1,3,A04,M,00:09:30.92,0.149,
1,3,A05,M,00:09:31.80,0.232,
1,3,A06,M,00:09:32.69,0.331,
1,3,A07,M,00:09:33.58,0.153,
1,3,A08,M,00:09:34.47,0.151,
1,3,A09,M,00:09:35.36,0.150,
1,3,A10,M,00:09:36.25,0.168,
1,3,A11,M,00:09:37.14,0.172,
1,3,A12,M,00:09:38.03,0.166,
1,3,B01,M,00:09:41.36,0.167,
1,3,B02,M,00:09:42.25,0.180,
1,3,B03,M,00:09:43.14,0.167,
1,3,B04,M,00:09:44.03,0.155,
1,3,B05,M,00:09:44.91,0.171,
1,3,B06,M,00:09:45.80,0.154,
1,3,B07,M,00:09:46.69,0.159,
1,3,B08,M,00:09:47.58,0.193,
1,3,B09,M,00:09:48.47,0.096,
1,3,B10,M,00:09:49.36,0.226,
1,3,B11,M,00:09:50.25,0.204,
1,3,B12,M,00:09:51.14,0.205,
1,3,C01,M,00:09:54.47,0.221,
1,3,C02,M,00:09:55.36,0.218,
1,3,C03,M,00:09:56.25,0.219,
1,3,C04,M,00:09:57.14,0.425,
1,3,C05,M,00:09:58.03,0.405,
1,3,C06,M,00:09:58.91,0.431,
1,3,C07,M,00:09:59.80,0.158,
1,3,C08,M,00:10:00.69,0.144,
1,3,C09,M,00:10:01.58,0.157,
1,3,C10,M,00:10:02.47,0.228,
1,3,C11,M,00:10:03.36,0.232,
1,3,C12,M,00:10:04.25,0.236,
1,3,D01,M,00:10:07.58,0.302,
1,3,D02,M,00:10:08.47,0.323,
1,3,D03,M,00:10:09.36,0.298,
1,3,D04,M,00:10:10.25,0.208,
1,3,D05,M,00:10:11.14,0.171,
1,3,D06,M,00:10:12.03,0.183,
1,3,D07,M,00:10:12.91,0.140,
1,3,D08,M,00:10:13.80,0.154,
1,3,D09,M,00:10:14.69,0.143,
1,3,D10,M,00:10:15.58,0.181,
1,3,D11,M,00:10:16.47,0.188,
1,3,D12,M,00:10:17.36,0.178,
1,3,E01,M,00:10:20.69,0.378,
1,3,E02,M,00:10:21.58,0.343,
1,3,E03,M,00:10:22.47,0.342,
1,3,E04,M,00:10:23.36,0.123,
