Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,8,E10,M,00:33:23.28,0.257,
1,8,E11,M,00:33:24.17,0.253,
1,8,E12,M,00:33:25.06,0.242,
1,8,F01,M,00:33:28.39,0.176,
1,8,F02,M,00:33:29.28,0.164,
1,8,F03,M,00:33:30.17,0.164,
1,8,F04,M,00:33:31.06,0.455,
1,8,F05,M,00:33:31.95,0.455,
1,8,F06,M,00:33:32.84,0.426,
1,8,F07,M,00:33:33.72,0.190,
1,8,F08,M,00:33:34.61,0.162,
1,8,F09,M,00:33:35.50,0.173,
1,8,F10,M,00:33:36.39,0.724,
1,8,F11,M,00:33:37.28,0.916,
1,8,F12,M,00:33:38.17,0.673,
1,8,G01,M,00:33:41.50,0.238,
1,8,G02,M,00:33:42.39,0.221,
1,8,G03,M,00:33:43.28,0.220,
1,8,G04,M,00:33:44.17,0.090,
1,8,G05,M,00:33:45.06,0.092,
1,8,G06,M,00:33:45.95,0.092,
1,8,G07,M,00:33:46.84,0.111,
1,8,G08,M,00:33:47.72,0.095,
1,8,G09,M,00:33:48.61,0.167,
1,9,A01,M,00:36:57.77,0.075,
1,9,A02,M,00:36:58.67,0.076,
1,9,A03,M,00:36:59.55,0.080,
1,9,A04,M,00:37:00.44,0.094,
1,9,A05,M,00:37:01.33,0.143,
1,9,A06,M,00:37:02.22,0.211,
1,9,A07,M,00:37:03.11,0.165,
1,9,A08,M,00:37:04.00,0.176,
1,9,A09,M,00:37:04.89,0.161,
1,9,A10,M,00:37:05.78,0.171,
1,9,A11,M,00:37:06.67,0.183,
1,9,A12,M,00:37:07.55,0.178,
1,9,B01,M,00:37:10.89,0.176,
1,9,B02,M,00:37:11.78,0.193,
1,9,B03,M,00:37:12.67,0.177,
1,9,B04,M,00:37:13.55,0.170,
1,9,B05,M,00:37:14.44,0.182,
1,9,B06,M,00:37:15.33,0.170,
1,9,B07,M,00:37:16.22,0.162,
1,9,B08,M,00:37:17.11,0.177,
1,9,B09,M,00:37:18.00,0.091,
1,9,B10,M,00:37:18.89,0.236,
1,9,B11,M,00:37:19.78,0.209,
1,9,B12,M,00:37:20.67,0.211,
1,9,C01,M,00:37:24.00,0.232,
1,9,C02,M,00:37:24.89,0.227,
1,9,C03,M,00:37:25.78,0.228,
1,9,C04,M,00:37:26.67,0.421,
1,9,C05,M,00:37:27.55,0.402,
1,9,C06,M,00:37:28.44,0.429,
1,9,C07,M,00:37:29.33,0.172,
1,9,C08,M,00:37:30.22,0.156,
1,9,C09,M,00:37:31.11,0.174,
1,9,C10,M,00:37:32.00,0.231,
1,9,C11,M,00:37:32.89,0.235,
1,9,C12,M,00:37:33.78,0.236,
1,9,D01,M,00:37:37.11,0.300,
1,9,D02,M,00:37:38.00,0.329,
1,9,D03,M,00:37:38.89,0.296,
1,9,D04,M,00:37:39.78,0.221,
1,9,D05,M,00:37:40.67,0.182,
1,9,D06,M,00:37:41.55,0.190,
1,9,D07,M,00:37:42.44,0.149,
1,9,D08,M,00:37:43.33,0.166,
1,9,D09,M,00:37:44.22,0.154,
1,9,D10,M,00:37:45.11,0.188,
1,9,D11,M,00:37:46.00,0.199,
1,9,D12,M,00:37:46.89,0.185,
1,9,E01,M,00:37:50.22,0.381,
1,9,E02,M,00:37:51.11,0.344,
1,9,E03,M,00:37:52.00,0.344,
1,9,E04,M,00:37:52.89,0.132,
1,9,E05,M,00:37:53.78,0.152,
1,9,E06,M,00:37:54.66,0.145,
1,9,E07,M,00:37:55.55,0.225,
1,9,E08,M,00:37:56.44,0.212,
1,9,E09,M,00:37:57.33,0.216,
1,9,E10,M,00:37:58.22,0.259,
1,9,E11,M,00:37:59.11,0.254,
1,9,E12,M,00:38:00.00,0.244,
1,9,F01,M,00:38:03.33,0.192,
1,9,F02,M,00:38:04.22,0.165,
1,9,F03,M,00:38:05.11,0.167,
1,9,F04,M,00:38:06.00,0.455,
1,9,F05,M,00:38:06.89,0.453,
1,9,F06,M,00:38:07.78,0.424,
1,9,F07,M,00:38:08.66,0.197,
1,9,F08,M,00:38:09.55,0.162,
1,9,F09,M,00:38:10.44,0.174,
1,9,F10,M,00:38:11.33,0.718,
1,9,F11,M,00:38:12.22,0.809,
1,9,F12,M,00:38:13.11,0.674,
1,9,G01,M,00:38:16.44,0.241,
1,9,G02,M,00:38:17.33,0.222,
1,9,G03,M,00:38:18.22,0.222,
1,9,G04,M,00:38:19.11,0.092,
1,9,G05,M,00:38:20.00,0.093,
1,9,G06,M,00:38:20.89,0.094,
1,9,G07,M,00:38:21.78,0.110,
1,9,G08,M,00:38:22.66,0.094,
1,9,G09,M,00:38:23.55,0.159,
1,10,A01,M,00:41:32.71,0.075,
1,10,A02,M,00:41:33.61,0.076,
1,10,A03,M,00:41:34.49,0.080,
1,10,A04,M,00:41:35.38,0.090,
1,10,A05,M,00:41:36.27,0.136,
1,10,A06,M,00:41:37.16,0.201,
1,10,A07,M,00:41:38.05,0.167,
1,10,A08,M,00:41:38.94,0.168,
1,10,A09,M,00:41:39.83,0.163,
1,10,A10,M,00:41:40.72,0.177,
1,10,A11,M,00:41:41.61,0.185,
1,10,A12,M,00:41:42.49,0.180,
1,10,B01,M,00:41:45.83,0.177,
1,10,B02,M,00:41:46.72,0.194,
1,10,B03,M,00:41:47.61,0.179,
1,10,B04,M,00:41:48.49,0.173,
1,10,B05,M,00:41:49.38,0.189,
1,10,B06,M,00:41:50.27,0.173,
1,10,B07,M,00:41:51.16,0.163,
1,10,B08,M,00:41:52.05,0.193,
1,10,B09,M,00:41:52.94,0.090,
1,10,B10,M,00:41:53.83,0.236,
1,10,B11,M,00:41:54.72,0.210,
1,10,B12,M,00:41:55.61,0.211,
1,10,C01,M,00:41:58.94,0.233,
1,10,C02,M,00:41:59.83,0.228,
1,10,C03,M,00:42:00.72,0.230,
1,10,C04,M,00:42:01.61,0.420,
1,10,C05,M,00:42:02.49,0.401,
1,10,C06,M,00:42:03.38,0.429,
1,10,C07,M,00:42:04.27,0.169,
1,10,C08,M,00:42:05.16,0.158,
1,10,C09,M,00:42:06.05,0.177,
1,10,C10,M,00:42:06.94,0.232,
1,10,C11,M,00:42:07.83,0.236,
1,10,C12,M,00:42:08.72,0.238,
1,10,D01,M,00:42:12.05,0.299,
1,10,D02,M,00:42:12.94,0.322,
1,10,D03,M,00:42:13.83,0.296,
1,10,D04,M,00:42:14.72,0.214,
1,10,D05,M,00:42:15.60,0.182,
1,10,D06,M,00:42:16.49,0.192,
1,10,D07,M,00:42:17.38,0.150,
1,10,D08,M,00:42:18.27,0.168,
1,10,D09,M,00:42:19.16,0.158,
1,10,D10,M,00:42:20.05,0.191,
1,10,D11,M,00:42:20.94,0.202,
1,10,D12,M,00:42:21.83,0.187,
1,10,E01,M,00:42:25.16,0.381,
1,10,E02,M,00:42:26.05,0.344,
1,10,E03,M,00:42:26.94,0.343,
1,10,E04,M,00:42:27.83,0.133,
1,10,E05,M,00:42:28.72,0.153,
1,10,E06,M,00:42:29.60,0.147,
1,10,E07,M,00:42:30.49,0.227,
1,10,E08,M,00:42:31.38,0.213,
1,10,E09,M,00:42:32.27,0.218,
1,10,E10,M,00:42:33.16,0.259,
1,10,E11,M,00:42:34.05,0.255,
1,10,E12,M,00:42:34.94,0.245,
1,10,F01,M,00:42:38.27,0.188,
1,10,F02,M,00:42:39.16,0.167,
1,10,F03,M,00:42:40.05,0.168,
1,10,F04,M,00:42:40.94,0.454,
1,10,F05,M,00:42:41.83,0.453,
1,10,F06,M,00:42:42.72,0.422,
1,10,F07,M,00:42:43.60,0.201,
1,10,F08,M,00:42:44.49,0.163,
1,10,F09,M,00:42:45.38,0.175,
1,10,F10,M,00:42:46.27,0.719,
1,10,F11,M,00:42:47.16,0.772,
1,10,F12,M,00:42:48.05,0.677,
1,10,G01,M,00:42:51.38,0.244,
1,10,G02,M,00:42:52.27,0.225,
1,10,G03,M,00:42:53.16,0.224,
1,10,G04,M,00:42:54.05,0.094,
1,10,G05,M,00:42:54.94,0.095,
1,10,G06,M,00:42:55.83,0.095,
1,10,G07,M,00:42:56.72,0.110,
1,10,G08,M,00:42:57.60,0.094,
1,10,G09,M,00:42:58.49,0.155,
,,,,,,
,,,,,,
