Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A)
1,1,A01,M,00:00:19.18,1.353
1,1,A02,M,00:00:20.07,1.336
1,1,A03,M,00:00:20.96,1.243
1,1,A04,M,00:00:21.85,1.128
1,1,A05,M,00:00:22.74,1.078
1,1,A06,M,00:00:23.63,0.947
1,1,A07,M,00:00:24.52,0.812
1,1,A08,M,00:00:25.41,0.734
1,1,A09,M,00:00:26.30,0.936
1,1,A10,M,00:00:27.19,1.017
1,1,A11,M,00:00:28.08,1.024
1,1,A12,M,00:00:28.96,1.174
1,1,B01,M,00:00:32.30,1.148
1,1,B02,M,00:00:33.19,1.110
1,1,B03,M,00:00:34.07,1.118
1,1,B04,M,00:00:34.96,1.138
1,1,B05,M,00:00:35.85,1.154
1,1,B06,M,00:00:36.74,1.131
1,1,B07,M,00:00:37.63,1.030
1,1,B08,M,00:00:38.52,1.074
1,1,B09,M,00:00:39.41,0.782
1,1,B10,M,00:00:40.30,0.869
1,1,B11,M,00:00:41.19,0.861
1,1,B12,M,00:00:42.08,1.081
1,1,C01,M,00:00:45.41,1.040
1,1,C02,M,00:00:46.30,1.008
1,1,C03,M,00:00:47.19,1.128
1,1,C04,M,00:00:48.07,1.174
1,1,C05,M,00:00:48.96,1.187
1,1,C06,M,00:00:49.85,1.216
1,1,C07,M,00:00:50.74,1.243
1,1,C08,M,00:00:51.63,1.259
1,1,C09,M,00:00:52.52,1.095
1,1,C10,M,00:00:53.41,1.091
1,1,C11,M,00:00:54.30,1.062
1,1,C12,M,00:00:55.19,1.150
1,1,D01,M,00:00:58.52,1.129
1,1,D02,M,00:00:59.41,1.113
1,1,D03,M,00:01:00.30,0.995
1,1,D04,M,00:01:01.18,1.049
1,1,D05,M,00:01:02.07,0.904
1,1,D06,M,00:01:02.96,0.975
1,1,D07,M,00:01:03.85,1.148
1,1,D08,M,00:01:04.74,1.057
1,1,D09,M,00:01:05.63,1.003
1,1,D10,M,00:01:06.52,0.909
1,1,D11,M,00:01:07.41,0.844
1,1,D12,M,00:01:08.30,1.134
1,1,E01,M,00:01:11.63,1.120
1,1,E02,M,00:01:12.52,1.150
1,1,E03,M,00:01:13.41,1.306
1,1,E04,M,00:01:14.30,1.207
1,1,E05,M,00:01:15.18,1.239
1,1,E06,M,00:01:16.07,0.920
1,1,E07,M,00:01:16.96,0.984
1,1,E08,M,00:01:17.85,0.943
1,1,E09,M,00:01:18.74,1.060
1,1,E10,M,00:01:19.63,1.112
1,1,E11,M,00:01:20.52,1.110
1,1,E12,M,00:01:21.41,1.107
1,1,F01,M,00:01:24.74,1.110
1,1,F02,M,00:01:25.63,1.121
1,1,F03,M,00:01:26.52,1.172
1,1,F04,M,00:01:27.41,1.112
1,1,F05,M,00:01:28.30,1.088
1,1,F06,M,00:01:29.18,1.210
1,1,F07,M,00:01:30.07,1.249
1,1,F08,M,00:01:30.96,1.167
1,1,F09,M,00:01:31.85,1.013
1,1,F10,M,00:01:32.74,1.069
1,1,F11,M,00:01:33.63,0.989
1,1,F12,M,00:01:34.52,1.270
1,1,G01,M,00:01:37.85,1.200
1,1,G02,M,00:01:38.74,1.296
1,1,G03,M,00:01:39.63,1.078
1,1,G04,M,00:01:40.52,1.125
1,1,G05,M,00:01:41.41,1.126
1,1,G06,M,00:01:42.30,0.520
1,1,G07,M,00:01:43.18,0.484
1,1,G08,M,00:01:44.07,0.460
