Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),ID,bck
1,1,A01,M,00:00:20.82,0.324,D18,N
1,1,A02,M,00:00:21.72,0.299,D18,N
1,1,A03,M,00:00:22.61,0.206,D18,Y
1,1,A04,M,00:00:23.49,0.173,D18,Y
1,1,A05,M,00:00:24.38,0.313,D46,N
1,1,A06,M,00:00:25.27,0.319,D46,N
1,1,A07,M,00:00:26.16,0.184,D46,Y
1,1,A08,M,00:00:27.05,0.176,D46,Y
1,1,A09,M,00:00:27.94,0.294,T39,N
1,1,A10,M,00:00:28.83,0.242,T39,N
1,1,A11,M,00:00:29.72,0.193,T39,Y
1,1,A12,M,00:00:30.61,0.188,T39,Y
1,1,B01,M,00:00:33.94,0.335,T53,N
1,1,B02,M,00:00:34.83,0.141,T53,Y
1,1,B03,M,00:00:35.72,0.157,T53,Y
1,1,B04,M,00:00:36.61,0.046,,
1,2,A01,M,00:04:44.93,0.362,D18,N
1,2,A02,M,00:04:45.82,0.332,D18,N
1,2,A03,M,00:04:46.71,0.206,D18,Y
1,2,A04,M,00:04:47.60,0.178,D18,Y
1,2,A05,M,00:04:48.49,0.347,D46,N
1,2,A06,M,00:04:49.38,0.365,D46,N
1,2,A07,M,00:04:50.27,0.180,D46,Y
1,2,A08,M,00:04:51.16,0.176,D46,Y
1,2,A09,M,00:04:52.05,0.320,T39,N
1,2,A10,M,00:04:52.94,0.264,T39,N
1,2,A11,M,00:04:53.82,0.193,T39,Y
1,2,A12,M,00:04:54.71,0.189,T39,Y
1,2,B01,M,00:04:58.05,0.370,T53,N
1,2,B02,M,00:04:58.93,0.144,T53,Y
1,2,B03,M,00:04:59.82,0.160,T53,Y
1,2,B04,M,00:05:00.71,0.045,,
1,3,A01,M,00:09:08.98,0.402,D18,N
1,3,A02,M,00:09:09.88,0.365,D18,N
1,3,A03,M,00:09:10.76,0.206,D18,Y
1,3,A04,M,00:09:11.65,0.177,D18,Y
1,3,A05,M,00:09:12.54,0.384,D46,N
1,3,A06,M,00:09:13.43,0.401,D46,N
1,3,A07,M,00:09:14.32,0.180,D46,Y
1,3,A08,M,00:09:15.21,0.174,D46,Y
1,3,A09,M,00:09:16.10,0.357,T39,N
1,3,A10,M,00:09:16.99,0.292,T39,N
1,3,A11,M,00:09:17.88,0.196,T39,Y
1,3,A12,M,00:09:18.76,0.192,T39,Y
1,3,B01,M,00:09:22.10,0.399,T53,N
1,3,B02,M,00:09:22.99,0.147,T53,Y
1,3,B03,M,00:09:23.87,0.164,T53,Y
1,3,B04,M,00:09:24.76,0.045,,
1,4,A01,M,00:13:33.08,0.442,D18,N
1,4,A02,M,00:13:33.98,0.399,D18,N
1,4,A03,M,00:13:34.87,0.205,D18,Y
1,4,A04,M,00:13:35.76,0.177,D18,Y
1,4,A05,M,00:13:36.65,0.422,D46,N
1,4,A06,M,00:13:37.54,0.433,D46,N
1,4,A07,M,00:13:38.43,0.180,D46,Y
1,4,A08,M,00:13:39.32,0.172,D46,Y
1,4,A09,M,00:13:40.20,0.395,T39,N
1,4,A10,M,00:13:41.09,0.322,T39,N
1,4,A11,M,00:13:41.98,0.198,T39,Y
1,4,A12,M,00:13:42.87,0.194,T39,Y
1,4,B01,M,00:13:46.21,0.423,T53,N
1,4,B02,M,00:13:47.09,0.150,T53,Y
1,4,B03,M,00:13:47.98,0.167,T53,Y
1,4,B04,M,00:13:48.87,0.044,,
1,5,A01,M,00:17:57.13,0.483,D18,N
1,5,A02,M,00:17:58.03,0.432,D18,N
1,5,A03,M,00:17:58.92,0.205,D18,Y
1,5,A04,M,00:17:59.81,0.177,D18,Y
1,5,A05,M,00:18:00.70,0.460,D46,N
1,5,A06,M,00:18:01.59,0.465,D46,N
1,5,A07,M,00:18:02.48,0.180,D46,Y
1,5,A08,M,00:18:03.37,0.170,D46,Y
1,5,A09,M,00:18:04.26,0.434,T39,N
1,5,A10,M,00:18:05.14,0.350,T39,N
1,5,A11,M,00:18:06.03,0.199,T39,Y
1,5,A12,M,00:18:06.92,0.194,T39,Y
1,5,B01,M,00:18:10.26,0.456,T53,N
1,5,B02,M,00:18:11.14,0.151,T53,Y
1,5,B03,M,00:18:12.03,0.167,T53,Y
1,5,B04,M,00:18:12.92,0.045,,
1,6,A01,M,00:22:21.24,0.523,D18,N
1,6,A02,M,00:22:22.14,0.463,D18,N
1,6,A03,M,00:22:23.03,0.204,D18,Y
1,6,A04,M,00:22:23.92,0.175,D18,Y
1,6,A05,M,00:22:24.81,0.499,D46,N
1,6,A06,M,00:22:25.70,0.496,D46,N
1,6,A07,M,00:22:26.58,0.178,D46,Y
1,6,A08,M,00:22:27.47,0.169,D46,Y
1,6,A09,M,00:22:28.36,0.470,T39,N
1,6,A10,M,00:22:29.25,0.376,T39,N
1,6,A11,M,00:22:30.14,0.199,T39,Y
1,6,A12,M,00:22:31.03,0.194,T39,Y
1,6,B01,M,00:22:34.36,0.475,T53,N
1,6,B02,M,00:22:35.25,0.151,T53,Y
1,6,B03,M,00:22:36.14,0.168,T53,Y
1,6,B04,M,00:22:37.03,0.045,,
1,7,A01,M,00:26:45.35,0.563,D18,N
1,7,A02,M,00:26:46.25,0.494,D18,N
1,7,A03,M,00:26:47.14,0.202,D18,Y
1,7,A04,M,00:26:48.02,0.174,D18,Y
1,7,A05,M,00:26:48.91,0.535,D46,N
1,7,A06,M,00:26:49.80,0.527,D46,N
1,7,A07,M,00:26:50.69,0.176,D46,Y
1,7,A08,M,00:26:51.58,0.168,D46,Y
1,7,A09,M,00:26:52.47,0.506,T39,N
1,7,A10,M,00:26:53.36,0.402,T39,N
1,7,A11,M,00:26:54.25,0.198,T39,Y
1,7,A12,M,00:26:55.14,0.193,T39,Y
1,7,B01,M,00:26:58.47,0.497,T53,N
1,7,B02,M,00:26:59.36,0.150,T53,Y
1,7,B03,M,00:27:00.25,0.167,T53,Y
1,7,B04,M,00:27:01.14,0.045,,
1,8,A01,M,00:31:09.46,0.601,D18,N
1,8,A02,M,00:31:10.35,0.524,D18,N
1,8,A03,M,00:31:11.24,0.200,D18,Y
1,8,A04,M,00:31:12.13,0.173,D18,Y
1,8,A05,M,00:31:13.02,0.571,D46,N
1,8,A06,M,00:31:13.91,0.556,D46,N
1,8,A07,M,00:31:14.80,0.174,D46,Y
1,8,A08,M,00:31:15.69,0.166,D46,Y
1,8,A09,M,00:31:16.58,0.541,T39,N
1,8,A10,M,00:31:17.46,0.426,T39,N
1,8,A11,M,00:31:18.35,0.196,T39,Y
1,8,A12,M,00:31:19.24,0.191,T39,Y
1,8,B01,M,00:31:22.58,0.518,T53,N
1,8,B02,M,00:31:23.46,0.149,T53,Y
1,8,B03,M,00:31:24.35,0.166,T53,Y
1,8,B04,M,00:31:25.24,0.045,,
1,9,A01,M,00:35:33.51,0.638,D18,N
1,9,A02,M,00:35:34.40,0.552,D18,N
1,9,A03,M,00:35:35.29,0.197,D18,Y
1,9,A04,M,00:35:36.18,0.171,D18,Y
1,9,A05,M,00:35:37.07,0.606,D46,N
1,9,A06,M,00:35:37.96,0.583,D46,N
1,9,A07,M,00:35:38.85,0.172,D46,Y
1,9,A08,M,00:35:39.74,0.164,D46,Y
1,9,A09,M,00:35:40.63,0.571,T39,N
1,9,A10,M,00:35:41.52,0.448,T39,N
1,9,A11,M,00:35:42.41,0.194,T39,Y
1,9,A12,M,00:35:43.29,0.188,T39,Y
1,9,B01,M,00:35:46.63,0.549,T53,N
1,9,B02,M,00:35:47.52,0.148,T53,Y
1,9,B03,M,00:35:48.40,0.164,T53,Y
1,9,B04,M,00:35:49.29,0.045,,
1,10,A01,M,00:39:57.45,0.674,D18,N
1,10,A02,M,00:39:58.35,0.579,D18,N
1,10,A03,M,00:39:59.23,0.194,D18,Y
1,10,A04,M,00:40:00.12,0.169,D18,Y
1,10,A05,M,00:40:01.01,0.641,D46,N
1,10,A06,M,00:40:01.90,0.605,D46,N
1,10,A07,M,00:40:02.79,0.170,D46,Y
1,10,A08,M,00:40:03.68,0.162,D46,Y
1,10,A09,M,00:40:04.57,0.608,T39,N
1,10,A10,M,00:40:05.46,0.470,T39,N
1,10,A11,M,00:40:06.35,0.191,T39,Y
1,10,A12,M,00:40:07.23,0.186,T39,Y
1,10,B01,M,00:40:10.57,0.566,T53,N
1,10,B02,M,00:40:11.46,0.146,T53,Y
1,10,B03,M,00:40:12.34,0.163,T53,Y
1,10,B04,M,00:40:13.23,0.045,,
