Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A)
1,1,A01,M,00:00:18.86,1.222
1,1,A02,M,00:00:19.76,1.041
1,1,A03,M,00:00:20.65,1.232
1,1,A04,M,00:00:21.54,1.152
1,1,A05,M,00:00:22.43,1.186
1,1,A06,M,00:00:23.32,1.170
1,1,A07,M,00:00:24.21,1.002
1,1,A08,M,00:00:25.10,1.074
1,1,A09,M,00:00:25.99,1.059
1,1,A10,M,00:00:26.87,0.907
1,1,A11,M,00:00:27.76,0.915
1,1,A12,M,00:00:28.65,0.922
1,1,B01,M,00:00:31.99,0.878
1,1,B02,M,00:00:32.87,0.851
1,1,B03,M,00:00:33.76,0.834
1,1,B04,M,00:00:34.65,0.759
1,1,B05,M,00:00:35.54,0.770
1,1,B06,M,00:00:36.43,0.754
1,1,B07,M,00:00:37.32,0.696
1,1,B08,M,00:00:38.21,0.704
1,1,B09,M,00:00:39.10,0.703
1,1,B10,M,00:00:39.99,0.618
1,1,B11,M,00:00:40.87,0.632
1,1,B12,M,00:00:41.76,0.644
1,1,C01,M,00:00:45.10,0.910
1,1,C02,M,00:00:45.99,1.007
1,1,C03,M,00:00:46.87,0.936
1,1,C04,M,00:00:47.76,1.043
1,1,C05,M,00:00:48.65,1.067
1,1,C06,M,00:00:49.54,1.113
1,1,C07,M,00:00:50.43,1.060
1,1,C08,M,00:00:51.32,0.893
1,1,C09,M,00:00:52.21,1.032
1,1,C10,M,00:00:53.10,1.069
1,1,C11,M,00:00:53.99,0.912
1,1,C12,M,00:00:54.87,1.038
1,1,D01,M,00:00:58.21,1.230
1,1,D02,M,00:00:59.10,1.121
1,1,D03,M,00:00:59.99,1.102
1,1,D04,M,00:01:00.87,0.900
1,1,D05,M,00:01:01.76,0.859
1,1,D06,M,00:01:02.65,1.026
1,1,D07,M,00:01:03.54,1.075
1,1,D08,M,00:01:04.43,1.113
1,1,D09,M,00:01:05.32,1.018
1,1,D10,M,00:01:06.21,0.807
1,1,D11,M,00:01:07.10,0.921
1,1,D12,M,00:01:07.99,0.980
1,1,E01,M,00:01:11.32,1.049
1,1,E02,M,00:01:12.21,1.076
1,1,E03,M,00:01:13.10,1.091
1,1,E04,M,00:01:13.99,0.943
1,1,E05,M,00:01:14.87,0.772
1,1,E06,M,00:01:15.76,0.946
1,1,E07,M,00:01:16.65,1.068
1,1,E08,M,00:01:17.54,1.070
1,1,E09,M,00:01:18.43,1.089
1,1,E10,M,00:01:19.32,1.049
1,1,E11,M,00:01:20.21,1.074
1,1,E12,M,00:01:21.10,1.016
