"Gene.secondaryIdentifier","Gene.symbol","Gene.primaryIdentifier","Gene.organism.name","Gene.goAnnotation.ontologyTerm.identifier","Gene.goAnnotation.ontologyTerm.name","Gene.goAnnotation.ontologyTerm.parents.identifier","Gene.goAnnotation.ontologyTerm.parents.name"
"","LOC105317162","105317162","Crassostrea gigas","GO:0006730","one-carbon metabolic process","GO:0006730","one-carbon metabolic process"
"","LOC105317162","105317162","Crassostrea gigas","GO:0006730","one-carbon metabolic process","GO:0008152","metabolic process"
"","LOC105317162","105317162","Crassostrea gigas","GO:0006730","one-carbon metabolic process","GO:0009987","cellular process"
"","LOC105317162","105317162","Crassostrea gigas","GO:0006730","one-carbon metabolic process","GO:0044237","cellular metabolic process"
"","LOC105317162","105317162","Crassostrea gigas","GO:0006730","one-carbon metabolic process","GO:0044281","small molecule metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0006464","cellular protein modification process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0006807","nitrogen compound metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0008152","metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0009987","cellular process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0016567","protein ubiquitination"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0019538","protein metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0032446","protein modification by small protein conjugation"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0036211","protein modification process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0043170","macromolecule metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0043412","macromolecule modification"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044237","cellular metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044238","primary metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044260","cellular macromolecule metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044267","cellular protein metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0070647","protein modification by small protein conjugation or removal"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0071704","organic substance metabolic process"
"","LOC105321541","105321541","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:1901564","organonitrogen compound metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0006082","organic acid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0006520","cellular amino acid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0006560","proline metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0006561","proline biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0006807","nitrogen compound metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0008152","metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0008652","cellular amino acid biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0009058","biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0009064","glutamine family amino acid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0009084","glutamine family amino acid biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0009987","cellular process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0016053","organic acid biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0018130","heterocycle biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0019752","carboxylic acid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0043436","oxoacid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0044237","cellular metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0044238","primary metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0044249","cellular biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0044281","small molecule metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0044283","small molecule biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0046394","carboxylic acid biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0046483","heterocycle metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0055129","L-proline biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:0071704","organic substance metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901360","organic cyclic compound metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901362","organic cyclic compound biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901564","organonitrogen compound metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901566","organonitrogen compound biosynthetic process"
