"Gene.secondaryIdentifier","Gene.symbol","Gene.primaryIdentifier","Gene.organism.name","Gene.goAnnotation.ontologyTerm.identifier","Gene.goAnnotation.ontologyTerm.name","Gene.goAnnotation.ontologyTerm.parents.identifier","Gene.goAnnotation.ontologyTerm.parents.name"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006518","peptide metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006575","cellular modified amino acid metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006749","glutathione metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006751","glutathione catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006790","sulfur compound metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0006807","nitrogen compound metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0008152","metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0009056","catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0009987","cellular process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0034641","cellular nitrogen compound metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0042219","cellular modified amino acid catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0043171","peptide catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0043603","cellular amide metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0044237","cellular metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0044248","cellular catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0044273","sulfur compound catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:0071704","organic substance metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:1901564","organonitrogen compound metabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:1901565","organonitrogen compound catabolic process"
"","LOC105327001","105327001","Crassostrea gigas","GO:0006751","glutathione catabolic process","GO:1901575","organic substance catabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0006508","proteolysis"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0006807","nitrogen compound metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0008152","metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0019538","protein metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0043170","macromolecule metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0044238","primary metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:0071704","organic substance metabolic process"
"","LOC105330701","105330701","Crassostrea gigas","GO:0008234","cysteine-type peptidase activity","GO:1901564","organonitrogen compound metabolic process"
