"","x"
"1","D01_30"
"2","D02_30"
"3","D03_30"
"4","D04_30"
"5","D05_30"
"6","D07_30"
"7","D08_30"
"8","D09_30"
"9","D10_30"
"10","D11_30"
"11","D12_30"
"12","D13_30"
"13","D14_30"
"14","D15_30"
"15","D16_30"
"16","D17_30"
"17","D18_30"
"18","D19_30"
"19","D20_30"
"20","D21_30"
"21","D22_30"
"22","D23_30"
"23","D24_30"
"24","D25_30"
"25","D26_30"
"26","D27_30"
"27","D28_30"
"28","D29_30"
"29","D30_30"
"30","D31_30"
"31","D32_30"
"32","D33_30"
"33","D34_30"
"34","D35_30"
"35","D36_30"
"36","D37_30"
"37","D38_30"
"38","D39_30"
"39","D42_30"
"40","D72_30"
"41","T01_30"
"42","T02_30"
"43","T03_30"
"44","T04_30"
"45","T05_30"
"46","T06_30"
"47","T07_30"
"48","T08_30"
"49","T09_30"
"50","T10_30"
"51","T11_30"
"52","T12_30"
"53","T13_30"
"54","T14_30"
"55","T15_30"
"56","T16_30"
"57","T17_30"
"58","T18_30"
"59","T19_30"
"60","T20_30"
"61","T21_30"
"62","T22_30"
"63","T23_30"
"64","T24_30"
"65","T25_30"
"66","T26_30"
"67","T27_30"
"68","T28_30"
"69","T29_30"
"70","T30_30"
"71","T31_30"
"72","T32_30"
"73","T34_30"
"74","T35_30"
"75","T36_30"
"76","T37_30"
"77","T38_30"
"78","T40_30"
"79","T45_30"
"80","T59_30"
