gene	padj	log2FoldChange	description
LOC117689028	8.1104083236584e-05	-3.47100731791979	uncharacterized protein LOC117689028 isoform X3
LOC105338481	1.35040502309102e-05	-2.89737625994415	uncharacterized protein LOC105338481
LOC105338225	0.000401422158329385	-2.74037381761776	uncharacterized protein LOC105338225
LOC117692007	4.88332774697727e-05	-2.70971103701852	uncharacterized protein LOC117692007
LOC117681275	0.000117525543177654	-2.53853254665533	uncharacterized protein LOC117681275
LOC105333611	1.0038531022288e-05	-2.44788789179913	uncharacterized protein LOC105333611
LOC117690881	0.00351706938343956	-2.07371381787197	uncharacterized protein LOC117690881
LOC117690334	0.00519354104846043	-1.98224848751505	uncharacterized protein LOC117690334
LOC117687128	0.0052597481867554	-1.97663826253462	uncharacterized protein LOC117687128 isoform X1
LOC117692009	0.00195079621246173	-1.79987226497328	uncharacterized protein LOC117692009
LOC117692303	0.0235546769582489	-1.68593756183227	uncharacterized protein LOC117692303 isoform X1
LOC105322914	0.000630706408091364	-1.60889160957013	uncharacterized protein LOC105322914
LOC105343111	0.00742195027560802	-1.59599026770707	uncharacterized protein LOC105343111
LOC105328223	1.13870191017146e-05	-1.55248579106621	uncharacterized protein DDB_G0271670
LOC105346834	0.000883863837742269	-1.51074344820149	uncharacterized protein LOC105346834
LOC109617704	0.0130560268738284	-1.49907826890523	uncharacterized protein LOC109617704
LOC109618985	0.000403894847755532	-1.45305033753073	uncharacterized protein LOC109618985 isoform X2
LOC105326230	0.00473465402728423	-1.35274849740966	uncharacterized protein LOC105326230
LOC105322814	0.00158094693940995	-1.2826908847314	uncharacterized protein LOC105322814 isoform X2
LOC105347288	0.000819723718798917	-1.26274417468608	uncharacterized protein LOC105347288
LOC105320171	0.00126078116552632	-1.24891034877899	uncharacterized protein LOC105320171
LOC105322990	0.0132846716589878	-1.24769160097809	uncharacterized protein LOC105322990 isoform X2
LOC105319088	0.020306067769919	-1.21938998674366	uncharacterized protein LOC105319088 isoform X1
LOC105343695	0.019805730828722	-1.1517849212888	uncharacterized protein LOC105343695 isoform X1
LOC117683053	0.0371538347592572	-1.1423088007782	uncharacterized protein LOC117683053
LOC105340558	0.00457290392846778	-1.13846575611293	uncharacterized protein LOC105340558 isoform X1
LOC105320283	0.000499552144817804	-1.13360622511934	uncharacterized protein LOC105320283
LOC105340785	0.011291684193495	-1.1002356389665	uncharacterized protein LOC105340785
LOC117684044	0.00706219838659164	-1.08964451189571	uncharacterized protein LOC117684044
LOC105324110	0.00551372183442324	-1.08845249439234	uncharacterized protein LOC105324110 isoform X2
LOC105317925	0.0320401632283658	-1.06413401349544	uncharacterized protein LOC105317925
LOC105321778	2.59726873875029e-05	-1.0633390667946	uncharacterized protein LOC105321778 isoform X1
