gene	padj	log2FoldChange	description
LOC105321376	0.00659352758117258	6.05583391571701	uncharacterized protein LOC105321376
LOC117690809	0.0000000258425248420071	5.90190793303919	uncharacterized protein LOC117690809 isoform X1
LOC117687720	0.0000271716874758634	5.05229076604874	uncharacterized protein LOC117687720
LOC117688097	0.0000000162370479991897	5.00986252649511	uncharacterized protein LOC117688097
LOC117681665	0.000000000449678638257839	4.53976266222055	uncharacterized protein LOC117681665
LOC105343624	0.00000218731879683009	3.84726055842059	uncharacterized protein LOC105343624 isoform X1
LOC117690682	0.0000000460103730173197	3.58113245868287	uncharacterized protein LOC117690682
LOC105325816	0.000380825433648072	3.34415762441838	uncharacterized protein LOC105325816
LOC109620475	0.000000213532365068432	3.07286798719525	uncharacterized protein LOC109620475
LOC117692007	0.000128933183077212	2.91512900773697	uncharacterized protein LOC117692007
LOC105341672	0.000842564152387999	2.87329716587769	uncharacterized protein LOC105341672 isoform X2
LOC105329159	0.00000740572842596575	2.57984477317946	uncharacterized protein LOC105329159
LOC117680753	0.0000148883848680229	2.57164724371215	uncharacterized protein LOC117680753
LOC117692578	0.000000369101666229366	2.57121826346873	uncharacterized protein LOC117692578 isoform X2
LOC105342641	0.000199357017002437	2.52155318087628	uncharacterized protein LOC105342641
LOC105325985	0.00136839200573846	2.33628291785958	uncharacterized protein LOC105325985
LOC105334533	0.00386909220404545	2.29463272667139	uncharacterized protein LOC105334533 isoform X2
LOC117687051	0.000498801040378888	2.28579185783585	uncharacterized protein LOC117687051 isoform X2
LOC105337688	0.0320934054414468	2.22189905247269	uncharacterized protein LOC105337688 isoform X1
LOC105348672	0.00208302180386067	2.17417326744181	uncharacterized protein LOC105348672
LOC117689244	0.0000944470062609248	2.09164063425814	uncharacterized protein LOC117689244 isoform X1
LOC117691520	0.00238623952614015	2.07709368617667	uncharacterized protein LOC117691520 isoform X2
LOC117686035	0.00000122042606829779	1.98727635316401	uncharacterized protein LOC117686035 isoform X3
LOC105330552	0.00994693571310914	1.93602169194503	uncharacterized protein LOC105330552 isoform X1
LOC105319806	0.00289920596808235	1.93343609203723	uncharacterized protein LOC105319806
LOC117690801	0.00243469466575637	1.8989237586569	uncharacterized protein LOC117690801 isoform X1
LOC105332608	0.000466768074701733	1.82927800543747	uncharacterized protein LOC105332608 isoform X3
LOC105328254	0.00475806899790206	1.82530379670342	uncharacterized protein LOC105328254 isoform X1
LOC117687678	0.0250327711330321	1.81126442119011	uncharacterized protein LOC117687678 isoform X1
LOC117684713	0.0000260530151700334	1.7804462672276	uncharacterized protein LOC117684713
LOC117692009	0.00626731009434925	1.75025040012893	uncharacterized protein LOC117692009
LOC105343515	0.00355306138371585	1.73537205431367	uncharacterized protein LOC105343515 isoform X1
LOC117683196	0.00471979258187193	1.72226171010461	uncharacterized protein LOC117683196
LOC105318683	0.00232358442376668	1.71819263413545	uncharacterized protein LOC105318683
LOC105325506	0.0250327711330321	1.6576534453701	uncharacterized protein LOC105325506
LOC105317831	0.0034955503506536	1.64214320119604	uncharacterized protein LOC105317831
LOC105319278	0.0443535018089894	1.64032027423037	uncharacterized protein LOC105319278
LOC105326485	0.00122377386252366	1.61801854909571	uncharacterized protein LOC105326485
LOC109620237	0.0183427290968035	1.60628902430054	uncharacterized protein LOC109620237
LOC105347075	0.0338896203922716	1.57219347973686	uncharacterized protein LOC105347075
LOC105341972	0.0000461443903364066	1.56718347621371	uncharacterized protein LOC105341972 isoform X1
LOC105333219	0.015096867056967	1.55838618627984	uncharacterized protein LOC105333219
LOC105338132	0.0361826379403368	1.54435297747777	uncharacterized protein LOC105338132 isoform X2
LOC105342487	0.021801166125677	1.52970788583288	uncharacterized protein LOC105342487 isoform X2
LOC105320243	0.000000103765085843644	1.52548737744909	uncharacterized protein LOC105320243 isoform X2
LOC117690939	0.0477242487687594	1.52531948225254	uncharacterized protein LOC117690939
LOC105335220	0.0250157841428986	-1.51235154392319	uncharacterized protein LOC105335220
LOC117685930	0.0217710926820482	-1.56104665413851	uncharacterized protein LOC117685930
LOC105322857	0.00671113116461709	-1.56604884875592	uncharacterized protein LOC105322857
LOC117691429	0.000000369101666229366	-1.56755281655859	uncharacterized protein LOC117691429
LOC105330180	0.0133200700867486	-1.56759674087951	uncharacterized protein LOC105330180
LOC117690137	0.0318959160558713	-1.56840326455535	uncharacterized protein LOC117690137
LOC105322460	0.00842070424494436	-1.57220128114988	uncharacterized protein LOC105322460 isoform X1
LOC117690532	0.0123274335141889	-1.66760126897236	uncharacterized protein LOC117690532 isoform X2
LOC105336143	0.0116489741654879	-1.72697580795991	uncharacterized protein LOC105336143
LOC117693002	0.00463941630002212	-1.73247076728744	uncharacterized protein LOC117693002
LOC117686063	0.0119306564432193	-1.81140380789045	uncharacterized protein LOC117686063
LOC117688671	0.000150737252107652	-1.81510092984786	uncharacterized protein LOC117688671 isoform X2
LOC105338084	0.00646064064214441	-1.83684375098352	uncharacterized protein LOC105338084
LOC117684392	0.000641627561477542	-1.87019088705715	uncharacterized protein LOC117684392
LOC105332641	0.00774940436042221	-2.18422708864317	uncharacterized protein LOC105332641
LOC117683997	0.000125843749222108	-2.27846596230807	uncharacterized protein LOC117683997
LOC105330059	0.000101906950171443	-2.51742140864525	uncharacterized protein LOC105330059 isoform X1
LOC117691871	0.0119745174047996	-2.66627154711472	uncharacterized protein LOC117691871 isoform X2
LOC105335243	0.0000000827466026454621	-5.47417310371057	uncharacterized protein LOC105335243
