known,unknown,percent_unknown
control_ploidy,35,52,0.597701149425287
heat_ploidy,182,161,0.469387755102041
desiccation_ploidy,60,78,0.565217391304348
diploid_heat,174,142,0.449367088607595
diploid_desiccation,45,27,0.375
triploid_heat,67,47,0.412280701754386
triploid_desiccation,44,22,0.333333333333333
diploid_MS_unique,306,112,0.267942583732057
triploid_MS_unique,337,155,0.315040650406504
diploid_SS_unique,2546,1104,0.302465753424658
triploid_SS_unique,487,205,0.296242774566474
