gene	padj	log2FoldChange	description
LOC117685120	0.0129338746961685	-2.12481758161897	uncharacterized protein LOC117685120
LOC109618415	0.00392550912922696	-2.12239723678108	uncharacterized protein LOC109618415
LOC117682037	1.4151248577975e-05	-2.09364767458779	uncharacterized protein LOC117682037
LOC117688208	0.0104051565377546	-2.0387276325466	uncharacterized protein LOC117688208
LOC105331917	0.0115487060387133	-1.99635308604136	uncharacterized protein LOC105331917
LOC105328884	1.04948011740699e-06	-1.74402261485283	uncharacterized protein LOC105328884
LOC117686567	0.0353013052968932	-1.61326655105609	uncharacterized protein LOC117686567
LOC117690337	0.0256215505110055	-1.4799629959025	uncharacterized protein LOC117690337 isoform X1
LOC105347288	0.000445627311756629	-1.46198399911537	uncharacterized protein LOC105347288
LOC105322857	0.0090325866510583	-1.44376773652756	uncharacterized protein LOC105322857
LOC117681606	0.00802605462683117	-1.38567986947098	uncharacterized protein LOC117681606
LOC117686351	0.0200430214176518	-1.31312343113423	uncharacterized protein LOC117686351
LOC105323222	0.0442196258090998	-1.30387456957951	uncharacterized protein LOC105323222
LOC105337833	0.0279905830042417	-1.28049131287289	uncharacterized protein LOC105337833
LOC105328530	0.0417245850059484	-1.15778680028947	uncharacterized protein LOC105328530
LOC105326964	0.00261513564297769	-1.1230796559528	uncharacterized protein LOC105326964 isoform X2
LOC105348359	0.0019776184246828	-1.12261817777124	uncharacterized protein LOC105348359
LOC105346612	0.00329832199473251	-1.08702979843108	uncharacterized protein LOC105346612 isoform X1
LOC105327324	0.0121939614220118	-1.06009739758955	uncharacterized protein LOC105327324
LOC105338830	0.0018954210735361	-1.0128119481441	uncharacterized protein LOC105338830
LOC105331098	0.00932290895766952	-1.01238296802198	uncharacterized protein LOC105331098
LOC105344993	8.76873890125514e-05	-1.01231394491435	uncharacterized protein LOC105344993
LOC105336806	0.009105431524768	-1.01139468444135	uncharacterized protein LOC105336806
LOC105335753	0.00251685454047666	-1.00961427459353	uncharacterized protein LOC105335753
LOC105335071	0.0416851391105271	-0.98966649747371	uncharacterized protein LOC105335071
LOC105331766	0.0475754797995477	-0.975865962041098	uncharacterized protein LOC105331766
LOC105330331	0.0348996793097473	-0.970936456409738	uncharacterized protein LOC105330331
LOC105327687	0.0344433444390763	-0.926069619180422	uncharacterized protein LOC105327687
LOC105323716	0.0248232121098777	-0.91220672821649	uncharacterized protein LOC105323716 isoform X2
LOC105325754	0.0279905830042417	-0.910422263702017	uncharacterized protein LOC105325754
LOC105336243	0.0420288904027821	-0.856513808959055	uncharacterized protein LOC105336243 isoform X2
LOC105317094	0.034416965670482	-0.849724944718594	uncharacterized protein LOC105317094
LOC117682635	0.0452606323566811	-0.846630720658324	uncharacterized protein LOC117682635
LOC105317667	0.00673728996932399	-0.84536426697072	uncharacterized protein LOC105317667 isoform X1
LOC105322331	0.00581672023495491	-0.809093341540351	uncharacterized protein LOC105322331 isoform X2
LOC105343805	0.0202164265553266	-0.784750534337915	uncharacterized protein LOC105343805
LOC105334969	0.0403513273733931	-0.751150726168148	uncharacterized protein LOC105334969 isoform X1
LOC105339977	0.00795233395114658	-0.726963031593526	uncharacterized protein LOC105339977
LOC117682353	0.00467343122127582	-0.705001057643857	uncharacterized protein LOC117682353
LOC109621176	0.0407354337708137	-0.699191137977394	uncharacterized protein LOC109621176 isoform X1
LOC105333508	0.0115741212190969	-0.693294994418137	uncharacterized protein LOC105333508
LOC117689262	0.012622679761449	-0.684393824195648	uncharacterized protein LOC117689262
LOC105339094	0.0334295914384329	-0.673288750868534	uncharacterized protein C7orf57
LOC105333854	0.0148879336723319	-0.656524239058778	uncharacterized protein LOC105333854
LOC105330263	0.00286622019071099	-0.654020135258816	uncharacterized protein LOC105330263
LOC117680436	0.0286785198572305	-0.633888577179526	uncharacterized protein LOC117680436 isoform X1
LOC105322992	0.0150790493970242	-0.598034938341232	uncharacterized protein LOC105322992 isoform X1
LOC105348019	0.000902219281869314	-0.576605405646198	uncharacterized protein LOC105348019 isoform X1
LOC105347151	0.000820792542273902	-0.544695379482743	uncharacterized protein C2orf81 homolog
LOC105338401	0.044114352518823	-0.52471335725186	uncharacterized protein LOC105338401 isoform X1
LOC117691794	0.044114352518823	-0.521385209631869	uncharacterized protein LOC117691794
LOC105347787	0.0295063224408871	-0.467021234306092	uncharacterized protein LOC105347787
LOC105326466	0.0373568526299313	-0.42760133290688	uncharacterized protein LOC105326466 isoform X1
LOC105348979	0.0425887408370965	-0.421858487860644	uncharacterized protein LOC105348979 isoform X1
LOC105319378	0.0475754797995477	-0.346918086387727	uncharacterized protein LOC105319378 isoform X8
LOC117690689	0.00325605400786596	-0.14656259054294	uncharacterized protein LOC117690689 isoform X1
LOC105330645	0.0403513273733931	-0.110871784400499	uncharacterized protein LOC105330645 isoform X2
LOC117681305	0.0353872487798067	0.0338488964061346	uncharacterized protein LOC117681305 isoform X2
LOC105347102	0.0425010868314136	0.35325786680788	uncharacterized protein LOC105347102
LOC105348422	0.0168512081526193	0.360115023422182	uncharacterized protein LOC105348422 isoform X1
LOC105323166	3.74420705685737e-07	0.402302651245426	uncharacterized protein LOC105323166 isoform X1
LOC105349102	0.0230937983122682	0.403271747306866	uncharacterized protein LOC105349102
LOC105323596	0.0225395103467265	0.469329937998673	uncharacterized protein LOC105323596
LOC105331717	0.0143986303081808	0.496856707046806	uncharacterized protein LOC105331717
LOC105326163	0.0384959428804726	0.513289087103708	uncharacterized protein LOC105326163
LOC105347437	0.0279905830042417	0.530330838015399	uncharacterized protein LOC105347437 isoform X2
LOC117682250	0.0469313428535958	0.56012461982601	uncharacterized protein LOC117682250
LOC105341773	0.0334295914384329	0.587962621142996	uncharacterized protein LOC105341773
LOC105337001	0.0254877453751328	0.591592960210353	uncharacterized protein LOC105337001
LOC117691584	0.0158113590538562	0.602798949394375	uncharacterized protein LOC117691584
LOC105341751	0.000774757695867274	0.614344527022663	uncharacterized protein LOC105341751 isoform X1
LOC105322065	0.0432628066495738	0.626782194385304	uncharacterized protein LOC105322065 isoform X3
LOC105327994	0.00764830994746706	0.66753831781849	uncharacterized protein LOC105327994
LOC117691466	0.000445627311756629	0.670717428411896	uncharacterized protein LOC117691466
LOC105322358	0.0131182663711743	0.696101980263405	uncharacterized protein LOC105322358 isoform X1
LOC105347773	0.045527894567966	0.704306502102669	uncharacterized protein LOC105347773
LOC105333740	0.0344433444390763	0.755847308562968	uncharacterized protein LOC105333740
LOC105326007	0.000638636696780899	0.775744151856974	uncharacterized protein LOC105326007
LOC117690913	0.038979425151166	0.792997970862013	uncharacterized protein LOC117690913 isoform X1
LOC117681860	3.04948590820295e-05	0.837557268110243	uncharacterized protein LOC117681860
LOC117683174	0.0468266935728676	0.864518086539118	uncharacterized protein LOC117683174 isoform X2
LOC105349074	0.00055150616974197	0.890455516704589	uncharacterized protein LOC105349074
LOC105333176	2.74153367886805e-05	0.914117521243169	uncharacterized protein LOC105333176
LOC105345329	0.00142009804217351	0.915343306647209	uncharacterized protein LOC105345329
LOC109617651	0.0307670895160073	0.953644308209978	uncharacterized protein LOC109617651
LOC105328294	0.0240206941307716	1.00670100174201	uncharacterized protein LOC105328294
LOC105343414	0.00572261105134968	1.01335294350124	uncharacterized protein LOC105343414
LOC105324161	0.046423884627849	1.02166886236	uncharacterized protein LOC105324161 isoform X2
LOC117692760	0.0123146896491359	1.02853609270766	uncharacterized protein LOC117692760
