comparison,total,positive,negative,percent_negative,percent_positive
control_ploidy,87,62,25,28.7,71.3
heat_ploidy,344,290,54,15.7,84.3
desiccation_ploidy,138,81,57,41.3,58.7
diploid_heat,317,90,227,71.6,28.4
diploid_desiccation,74,46,28,37.8,62.2
triploid_heat,116,53,63,54.3,45.7
triploid_desiccation,67,36,31,46.3,53.7
diploid_MS_unique,418,254,164,39.2,60.8
triploid_MS_unique,492,206,286,58.1,41.9
diploid_SS_unique,3650,1433,2217,60.7,39.3
triploid_SS_unique,692,264,428,61.8,38.2
