gene	padj	log2FoldChange	description
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796
LOC105333611	3.73532145963831e-07	-2.66275343661423	uncharacterized protein LOC105333611
LOC105338481	6.85120863448561e-06	-2.50846864766427	uncharacterized protein LOC105338481
LOC117681275	0.00194391523524279	-2.417886968179	uncharacterized protein LOC117681275
LOC117686729	0.00369018346296275	-2.01537632723771	uncharacterized protein LOC117686729
LOC117684302	0.00126386570969809	-1.97621212191105	uncharacterized protein LOC117684302
LOC105329030	0.0013059186329346	-1.81413774810154	uncharacterized protein LOC105329030
LOC117683053	0.00437346112804146	-1.79855950667245	uncharacterized protein LOC117683053
LOC117690801	0.00429828929904575	-1.77156524257558	uncharacterized protein LOC117690801 isoform X1
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704
LOC105341927	0.00029901714956936	-1.64928457736582	uncharacterized protein LOC105341927 isoform X1
LOC105322914	0.00728436349210894	-1.45104589071288	uncharacterized protein LOC105322914
LOC105345896	0.0242459126926018	-1.39704869458748	uncharacterized protein LOC105345896
LOC117681326	0.000185796062767916	-1.2668645149911	uncharacterized protein LOC117681326
LOC117690074	0.0230868541300079	-1.20787306340551	uncharacterized protein LOC117690074 isoform X1
LOC105326965	0.00926076963264971	-1.19509952058518	uncharacterized protein LOC105326965
LOC105328223	0.000600445948258315	-1.18800361895016	uncharacterized protein DDB_G0271670
LOC105336849	0.0250448144256602	-1.16919094251412	uncharacterized protein LOC105336849 isoform X1
LOC105335840	0.0492541693097018	-1.15325287334405	uncharacterized protein LOC105335840 isoform X3
LOC105334781	1.70181011030385e-05	-1.10574638596006	uncharacterized protein LOC105334781
LOC105340898	0.000697658355139012	-1.08088250060059	uncharacterized protein LOC105340898 isoform X1
LOC105340509	0.00011677464164879	-1.05676848762468	uncharacterized protein LOC105340509
LOC105323180	0.00216166313875123	-1.04884459832101	uncharacterized protein LOC105323180
LOC105343515	0.0369898480476166	-1.03713760790391	uncharacterized protein LOC105343515 isoform X1
LOC105326445	0.00528857425882663	-0.938856714398266	uncharacterized protein LOC105326445
LOC109618985	0.00635870565661856	-0.92110086772724	uncharacterized protein LOC109618985 isoform X2
LOC105321564	1.08731270049864e-07	-0.915394520400078	uncharacterized protein LOC105321564 isoform X1
LOC109618707	0.0237401998031959	-0.910886187091416	uncharacterized protein LOC109618707
LOC105326685	7.20767079626837e-07	-0.893061168827526	uncharacterized protein LOC105326685
LOC105341340	0.000866191954013137	-0.879366528546749	uncharacterized protein LOC105341340
LOC105334262	0.0409063395366918	-0.867073184311663	uncharacterized protein LOC105334262
LOC105346834	0.04998224543837	-0.861790793768771	uncharacterized protein LOC105346834
LOC105339577	0.00571686969720249	-0.861253076728074	uncharacterized protein LOC105339577 isoform X2
