gene	padj	log2FoldChange	description
LOC117690809	0.000000000123151144782591	5.74428959158152	uncharacterized protein LOC117690809 isoform X1
LOC105321376	0.0000383436710627343	4.51961255931691	uncharacterized protein LOC105321376
LOC109620475	0.000000000336894758115975	3.92057135168113	uncharacterized protein LOC109620475
LOC117688340	0.00000102897781082319	3.77169731765639	uncharacterized protein LOC117688340
LOC117681374	0.000000371648517017869	3.56470094754909	uncharacterized protein LOC117681374 isoform X1
LOC105328647	0.0000438025941366734	3.4488299551441	uncharacterized protein LOC105328647
LOC105323935	0.00110466748846979	3.42275313415803	uncharacterized protein LOC105323935
LOC117681619	0.00351080797841586	3.4154904864338	uncharacterized protein LOC117681619
LOC105317566	0.000000000388039091034534	3.26894809333428	uncharacterized protein LOC105317566
LOC105334176	0.00000196167870759386	3.13843233138206	uncharacterized protein LOC105334176 isoform X1
LOC105318899	0.0000000485063571875652	3.10293947183969	uncharacterized protein LOC105318899 isoform X1
LOC105339666	0.0000302482585141273	3.06056944353966	uncharacterized protein LOC105339666
LOC105328254	0.00000000296282443159134	3.04154586340491	uncharacterized protein LOC105328254 isoform X1
LOC117680579	0.000100249836742106	2.99617436543939	uncharacterized protein LOC117680579
LOC109619024	0.0000239137628128088	2.8998286258241	uncharacterized protein LOC109619024
LOC105339865	0.0000438025941366734	2.84381780553513	uncharacterized protein LOC105339865 isoform X13
LOC109618740	0.000405656580566377	2.84327612913868	uncharacterized protein LOC109618740 isoform X1
LOC109617426	0.0000259782576649594	2.63879637276533	uncharacterized protein LOC109617426 isoform X1
LOC117687678	0.00000582941771259184	2.59838999546824	uncharacterized protein LOC117687678 isoform X1
LOC105343434	0.000343554289444741	2.55722679880585	uncharacterized protein LOC105343434
LOC117689339	0.00020203376691926	2.51106309605038	uncharacterized protein LOC117689339
LOC117690779	0.00000102897781082319	2.50550412382967	uncharacterized protein LOC117690779 isoform X2
LOC109620224	0.00125182490623635	2.49596515617937	uncharacterized protein LOC109620224
LOC105330817	0.0000723313220806944	2.4520294685511	uncharacterized protein LOC105330817
LOC117686204	0.000143014945795512	2.44512413506838	uncharacterized protein LOC117686204 isoform X1
LOC105332241	0.00000102897781082319	2.43501382717088	uncharacterized protein LOC105332241 isoform X1
LOC117687174	0.000964607800167195	2.40613287359813	uncharacterized protein LOC117687174
LOC105345683	0.00442098994021063	2.40434249135524	uncharacterized protein LOC105345683 isoform X1
LOC105331847	0.0000202932810484143	2.38775779141599	uncharacterized protein LOC105331847
LOC109617461	0.0000483077772324162	2.36250229172602	uncharacterized protein LOC109617461
LOC105346504	0.000352537960018899	2.34326648268602	uncharacterized protein LOC105346504 isoform X1
LOC117688245	0.00108443501732438	2.32601675445009	uncharacterized protein LOC117688245
LOC105333699	0.00000179482007652628	2.28449759872581	uncharacterized protein LOC105333699
LOC117682309	0.00609342867879407	2.25359589565213	uncharacterized protein LOC117682309
LOC105339394	0.00343838284831162	2.22441962596941	uncharacterized protein LOC105339394
LOC109617959	0.0000591614747760631	2.21825274816092	uncharacterized protein LOC109617959
LOC105320218	0.00337118016879483	2.20629957623455	uncharacterized protein LOC105320218
LOC105336290	0.00753754699859832	2.19233476532973	uncharacterized protein LOC105336290
LOC117686973	0.00632602904321341	2.18725566759513	uncharacterized protein LOC117686973
LOC105346510	0.00334374032328773	2.1798892560464	uncharacterized protein LOC105346510
LOC117689469	0.000336018721482863	2.17289792829438	uncharacterized protein LOC117689469
LOC117683436	0.000552129547590126	2.1597712797976	uncharacterized protein YqhO-like
LOC105345655	0.000107708228478055	2.15780247337061	uncharacterized protein LOC105345655 isoform X2
LOC117686035	0.00000402769238808588	2.07324048453958	uncharacterized protein LOC117686035 isoform X3
LOC117683096	0.00160243579236759	2.07295967025436	uncharacterized protein LOC117683096
LOC109619834	0.00270529794299768	2.03341568327274	uncharacterized protein LOC109619834
LOC105344148	0.0000300364541551818	2.0066650578191	uncharacterized protein LOC105344148
LOC105327497	0.000501269063790081	1.99193637545052	uncharacterized protein LOC105327497
LOC105330569	0.00388012029872587	1.97966445775884	uncharacterized protein LOC105330569 isoform X2
LOC105341658	0.00622996385702796	1.96243554410076	uncharacterized protein LOC105341658
LOC105324920	0.00291805049304401	1.96085257218791	uncharacterized protein LOC105324920
LOC117683825	0.000124350949200601	1.95585594659501	uncharacterized protein LOC117683825
LOC117687755	0.000809929161965586	1.95300121833714	uncharacterized protein LOC117687755
LOC105331120	0.00475149129176909	1.9477661009185	uncharacterized protein LOC105331120
LOC117688166	0.0000821766569533794	1.94546016793163	uncharacterized protein LOC117688166
LOC109620120	0.0000316897782758977	1.93890181709747	uncharacterized protein LOC109620120 isoform X1
LOC117691242	0.000107788100020574	1.92434389704502	uncharacterized protein LOC117691242
LOC117691527	0.0000591614747760631	1.92378785409416	uncharacterized protein LOC117691527 isoform X1
LOC105346258	0.0000569947846602512	1.91752966739445	uncharacterized protein LOC105346258
LOC117688721	0.00115016830956269	1.91700442948285	uncharacterized protein LOC117688721
LOC105328057	0.00165409915083353	1.91700125656219	uncharacterized protein LOC105328057
LOC105326286	0.000120667218341459	1.91597940873824	uncharacterized protein LOC105326286
LOC105338091	0.000214813779065034	1.90996653444218	uncharacterized protein LOC105338091
LOC105346499	0.00404234414995852	1.89486781387176	uncharacterized protein LOC105346499 isoform X2
LOC105322241	0.000141301083392002	1.88466052360338	uncharacterized protein LOC105322241
LOC105341294	0.00583555587625605	1.88024499393423	uncharacterized protein LOC105341294
LOC117682529	0.000021081396193501	1.87378209983529	uncharacterized protein LOC117682529 isoform X1
LOC105318544	0.00123460595343463	1.86098159874166	uncharacterized protein LOC105318544
LOC105322725	0.0011450596838283	1.85341748940994	uncharacterized protein DDB_G0290685
LOC105329556	0.0000181068911262112	1.85259717045603	uncharacterized protein LOC105329556
LOC105334285	0.000663661118829897	1.84889477276453	uncharacterized protein LOC105334285
LOC105331626	0.000232004477363931	1.84178770307073	uncharacterized protein LOC105331626
LOC105342487	0.00279578190257279	1.83414831166837	uncharacterized protein LOC105342487 isoform X2
LOC117687732	0.000358081225836304	1.82956566797141	uncharacterized protein LOC117687732
LOC105344467	0.00047035751395119	1.82946426510076	uncharacterized protein LOC105344467 isoform X3
LOC105334837	0.000616522531942589	1.80355851346185	uncharacterized protein LOC105334837
LOC105343931	0.0055472558399921	1.80085273493213	uncharacterized protein LOC105343931
LOC105343789	0.000000292399046580122	1.77228816358498	uncharacterized protein LOC105343789
LOC105343996	0.00211468221036642	1.76759153952162	uncharacterized protein LOC105343996
LOC117682810	0.0000000264701001378823	1.75128281210734	uncharacterized protein LOC117682810 isoform X1
LOC117692046	0.00314991688451589	1.75034366697377	uncharacterized protein LOC117692046
LOC109620046	0.0162105753066708	1.74840450727	uncharacterized protein LOC109620046
LOC105325156	0.00571185441534324	1.74573151568253	uncharacterized protein LOC105325156
LOC117690443	0.000573521928045117	1.73700834611745	uncharacterized protein LOC117690443
LOC105346326	0.00357316442175521	1.73691996241241	uncharacterized protein LOC105346326
LOC105336968	0.0167688197844098	1.73601675139188	uncharacterized protein LOC105336968
LOC117686053	0.00100968009279164	1.71231038490788	uncharacterized protein LOC117686053
LOC105327363	0.00181478078864707	1.70171357476067	uncharacterized protein LOC105327363 isoform X1
LOC105318674	0.0071604296090582	1.69909693683825	uncharacterized protein LOC105318674
LOC109620998	0.00102723378139755	1.68459180131512	uncharacterized protein LOC109620998
LOC117687814	0.00689685314719229	1.67694653407999	uncharacterized protein LOC117687814
LOC117689120	0.000213696746046894	1.67275772801499	uncharacterized protein LOC117689120
LOC105342433	0.00109499035324803	1.66479050011596	uncharacterized protein LOC105342433
LOC105323062	0.00931963441311842	1.66031885487888	uncharacterized protein LOC105323062
LOC117689813	0.0143867247361413	1.65899247542771	uncharacterized protein LOC117689813
LOC105345176	0.0176446105344949	1.65765476551185	uncharacterized protein LOC105345176 isoform X2
LOC105345161	0.00179792398430767	1.63746715749736	uncharacterized protein LOC105345161
LOC117686289	0.00508953230179962	1.63354856287929	uncharacterized protein LOC117686289
LOC105328160	0.00290577936124401	1.62300562227447	uncharacterized protein LOC105328160
LOC117680568	0.00365953283980473	1.62203104455704	uncharacterized protein LOC117680568
LOC105322676	0.00187607012078868	1.61683532444522	uncharacterized protein LOC105322676
LOC117682565	0.00305439843332752	1.61585962192336	uncharacterized protein LOC117682565
LOC117681669	0.00314121942549537	1.60228325250385	uncharacterized protein LOC117681669 isoform X2
LOC105322213	0.0000591614747760631	1.60084495744591	uncharacterized protein LOC105322213
LOC117691378	0.0019536732690848	1.5995136053351	uncharacterized protein LOC117691378
LOC117682492	0.00823047654400012	1.59500510151155	uncharacterized protein LOC117682492
LOC105323052	0.00249090595262517	1.59348914524456	uncharacterized protein LOC105323052
LOC105348818	0.00221597071828971	1.59213440852827	uncharacterized protein LOC105348818 isoform X2
LOC105343908	0.00327402943442979	1.58356383171601	uncharacterized protein LOC105343908
LOC117684417	0.0000347784622478098	1.57779889910263	uncharacterized protein LOC117684417
LOC105347024	0.0109279422238813	1.56191718636574	uncharacterized protein LOC105347024
LOC105325074	0.0144259441445431	1.56041679967324	uncharacterized protein LOC105325074
LOC117681664	0.00365953283980473	1.55165984127694	uncharacterized protein LOC117681664
LOC109620928	0.00312843127326788	1.54616463365152	uncharacterized protein LOC109620928
LOC105341672	0.0295391416563842	1.54566014799029	uncharacterized protein LOC105341672 isoform X2
LOC105321698	0.000218027615320299	1.54251228016442	uncharacterized protein LOC105321698 isoform X1
LOC105329159	0.0112731595692823	1.53511892332802	uncharacterized protein LOC105329159
LOC105337736	0.00130383063710192	1.53491666206903	uncharacterized protein LOC105337736
LOC117682542	0.0168769866699849	1.53421566643738	uncharacterized protein LOC117682542 isoform X1
LOC105334978	0.0127624499220861	1.5321244192877	uncharacterized protein LOC105334978
LOC105334299	0.00242723958637808	1.52637041662961	uncharacterized protein LOC105334299
LOC105346315	0.00570696458151245	1.52593506617272	uncharacterized protein LOC105346315
LOC105322768	0.00106015655491518	1.52374913817163	uncharacterized protein LOC105322768 isoform X2
LOC117690470	0.00225278955716908	1.51827955560641	uncharacterized protein LOC117690470
LOC105320732	0.00119253166570207	1.51698563808729	uncharacterized protein LOC105320732 isoform X1
