time,month,day,hour,trt,combo,temp,sal,pH,talk,CO3,HCO3,pCO2,Oca,Oar,response
118,6,28,7,T4,T4_6_28,29.45,30.58333333,8.069253291,2105.322917,172.5906501,1682.706426,486.9600023,2.877320286,2.877320286,1.501627731
119,6,28,8,T1,T1_6_28,17.28333333,26.3,7.987947082,1926.4295,91.10212962,1701.775105,511.4411244,1.446324381,1.446324381,-1.441017171
119,6,28,8,T2,T2_6_28,30.08333333,29.2,7.958557992,2047.548,134.9668553,1717.771955,648.0335206,2.275279366,2.275279366,0.361324149
119,6,28,8,T3,T3_6_28,17.35,28.6,8.008902563,2022.489,104.829988,1763.534678,501.6829485,1.655805719,1.655805719,-0.009478988
119,6,28,8,T4,T4_6_28,29.6,30.55,8.073150989,2103.93075,174.1925862,1677.406389,482.0641283,2.907212512,2.907212512,1.466776095
120,6,28,9,T1,T1_6_28,17.25,26.3,7.987832424,1926.4295,90.99647052,1702.026161,511.4928153,1.444434567,1.444434567,-1.441017171
120,6,28,9,T2,T2_6_28,30,29.21666667,7.948245694,2048.244083,132.1352777,1725.398979,665.8625031,2.226125028,2.226125028,0.376826533
120,6,28,9,T3,T3_6_28,17.18333333,28.53333333,8.011520176,2019.704667,104.6010159,1761.275636,497.0228396,1.651394442,1.651394442,-0.039505467
120,6,28,9,T4,T4_6_28,29.51666667,30.6,8.069579157,2106.019,173.04919,1682.286856,486.8937353,2.885789411,2.885789411,1.534975216
121,6,28,10,T1,T1_6_28,17.31666667,26.26666667,7.993004231,1925.037333,92.01156559,1698.160466,504.7607663,1.461081179,1.461081179,-1.485562206
121,6,28,10,T2,T2_6_28,29.96666667,29.11666667,7.954519286,2044.067583,133.1216544,1718.808878,653.5126667,2.243356609,2.243356609,0.316977725
121,6,28,10,T3,T3_6_28,17.28333333,28.73333333,8.013898204,2028.057667,106.2743099,1765.493889,495.9206275,1.677580521,1.677580521,0.068247978
121,6,28,10,T4,T4_6_28,29.35,30.61666667,8.068903438,2106.715083,172.2810684,1684.835127,487.2742866,2.8697261,2.8697261,1.560264119
122,6,28,11,T1,T1_6_28,17.28333333,26.11666667,7.992626518,1918.772583,91.25859356,1693.77617,503.97079,1.449324262,1.449324262,-1.669804836
122,6,28,11,T2,T2_6_28,30.23333333,29.2,7.954197784,2047.548,134.3170841,1719.395801,656.5350876,2.266589419,2.266589419,0.361324149
122,6,28,11,T3,T3_6_28,17.23333333,28.68333333,8.011963405,2025.969417,105.4897042,1765.335425,497.8208024,1.665082805,1.665082805,0.029757437
122,6,28,11,T4,T4_6_28,29.38333333,30.6,8.0706725,2106.019,172.8869237,1682.655874,484.9603942,2.880709403,2.880709403,1.534975216
123,6,28,12,T1,T1_6_28,17.36666667,26.06666667,7.986158195,1916.684333,90.08452314,1694.612406,512.3992468,1.431326832,1.431326832,-1.767761162
123,6,28,12,T2,T2_6_28,30.33333333,29.08333333,7.955995383,2042.675417,134.5093953,1714.085768,652.8253662,2.272671825,2.272671825,0.281729072
123,6,28,12,T3,T3_6_28,17.36666667,28.58333333,8.012266476,2021.792917,105.5163114,1761.152729,497.2897415,1.666840956,1.666840956,-0.016588742
123,6,28,12,T4,T4_6_28,29.58333333,30.55,8.071413633,2103.93075,173.5708806,1678.93417,484.3342507,2.896504519,2.896504519,1.466776095
124,6,28,13,T1,T1_6_28,17.46666667,26,7.9880514,1913.9,90.43309671,1691.01235,509.8913392,1.43767225,1.43767225,-1.911951985
124,6,28,13,T2,T2_6_28,30.23333333,28.81666667,7.948225277,2031.538083,130.8363749,1711.979797,663.2035623,2.212018391,2.212018391,0.11240259
124,6,28,13,T3,T3_6_28,17.4,28.6,8.010749414,2022.489,105.3707541,1762.215427,499.5427144,1.664687205,1.664687205,-0.009478988
124,6,28,13,T4,T4_6_28,29.51666667,30.53333333,8.074419811,2103.234667,174.1764276,1676.732564,479.9703599,2.905729249,2.905729249,1.443251702
125,6,28,14,T1,T1_6_28,17.6,26.08333333,7.981989254,1917.380417,89.98727803,1695.605695,519.1496047,1.431193049,1.431193049,-1.74077692
125,6,28,14,T2,T2_6_28,30.23333333,28.73333333,7.953014151,2028.057667,131.6362678,1706.548436,653.8758197,2.226477386,2.226477386,0.068247978
125,6,28,14,T3,T3_6_28,17.61666667,28.51666667,8.018047486,2019.008583,107.203341,1754.295185,490.454945,1.695479633,1.695479633,-0.045039744
125,6,28,14,T4,T4_6_28,29.55,30.33333333,8.08574733,2094.881667,176.6434647,1662.334063,463.8230202,2.950620914,2.950620914,1.20950058
126,6,28,15,T1,T1_6_28,17.75,26.01666667,7.992388021,1914.596083,92.04315371,1687.817474,505.6214502,1.465053488,1.465053488,-1.867981096
126,6,28,15,T2,T2_6_28,30.33333333,28.98333333,7.950741485,2038.498917,132.6291986,1714.537458,660.9899408,2.242004447,2.242004447,0.215456062
126,6,28,15,T3,T3_6_28,17.65,28.5,8.009805352,2018.3125,105.4730494,1757.881979,501.1106621,1.668434009,1.668434009,-0.055321476
126,6,28,15,T4,T4_6_28,29.43333333,30.31666667,8.095205401,2094.185583,179.1435387,1655.452725,451.3052781,2.990350522,2.990350522,1.190567213
127,6,28,16,T1,T1_6_28,17.8,26.06666667,7.985982479,1916.684333,91.17769978,1692.036619,514.6428079,1.451456988,1.451456988,-1.767761162
127,6,28,16,T2,T2_6_28,30.36666667,29.11666667,7.954555337,2044.067583,134.4103524,1715.722916,655.9289252,2.271140617,2.271140617,0.316977725
127,6,28,16,T3,T3_6_28,17.88333333,28.66666667,8.010946487,2025.273333,107.1375092,1760.778508,501.9425861,1.695573276,1.695573276,0.021065661
127,6,28,16,T4,T4_6_28,29.73333333,30.28333333,8.089746606,2092.793417,178.3390129,1656.114626,459.036524,2.983174002,2.983174002,1.157008451
128,6,28,17,T1,T1_6_28,17.96666667,26.15,7.99170779,1920.16475,93.0198823,1691.008733,508.5488078,1.481651348,1.481651348,-1.631755076
128,6,28,17,T2,T2_6_28,30.51666667,29.16666667,7.965322867,2046.155833,137.9670985,1709.102455,638.5628561,2.332997202,2.332997202,0.342834873
128,6,28,17,T3,T3_6_28,18,28.71666667,8.016460065,2027.361583,108.8882194,1758.574829,495.5968091,1.723847906,1.723847906,0.051102684
128,6,28,17,T4,T4_6_28,30.2,30.41666667,8.105417859,2098.362083,186.292122,1642.152271,441.9031063,3.123387092,3.123387092,1.29849397
129,6,28,18,T1,T1_6_28,18,26.2,7.995246256,1922.253,93.97778083,1690.736296,504.4768672,1.496962943,1.496962943,-1.559375367
129,6,28,18,T2,T2_6_28,30.56666667,29.1,7.965366739,2043.3715,137.7892185,1706.773408,638.1222746,2.331560345,2.331560345,0.300408545
