time,month,day,hour,trt,combo,temp,sal,pH,talk,CO3,HCO3,pCO2,Oca,Oar,response
831,7,28,0,T1,T1_7_28,17.5,26.81666667,8.159607808,1948.008083,131.5872002,1623.593157,328.9962095,2.08878054,2.08878054,-1.033734063
831,7,28,0,T2,T2_7_28,28.9,29.46666667,7.992539528,2058.685333,141.5311227,1712.506797,587.7523008,2.364608791,2.364608791,0.490260492
831,7,28,0,T3,T3_7_28,16.8,29.2,7.882969471,2047.548,81.78216452,1845.276514,695.4419573,1.286865584,1.286865584,0.361324149
831,7,28,0,T4,T4_7_28,28.5,30.08333333,7.927336817,2084.440417,126.4727761,1775.080483,703.4725519,2.101387271,2.101387271,0.936220513
832,7,28,1,T1,T1_7_28,17.23333333,26.8,8.158651243,1947.312,130.3182188,1625.935201,329.1032544,2.066405617,2.066405617,-1.050959239
832,7,28,1,T2,T2_7_28,28.98333333,29.33333333,7.979232024,2053.116667,137.5374657,1716.784187,608.3803293,2.300587877,2.300587877,0.424764439
832,7,28,1,T3,T3_7_28,17.1,29.05,7.885457626,2041.28325,82.42753935,1837.512768,691.6739378,1.299059541,1.299059541,0.26260228
832,7,28,1,T4,T4_7_28,28.43333333,30.18333333,7.918960066,2088.616917,124.6859497,1783.618505,720.006617,2.06981548,2.06981548,1.044577058
833,7,28,2,T1,T1_7_28,17.36666667,26.86666667,8.152564967,1950.096333,129.6061319,1630.496194,335.1182995,2.055948705,2.055948705,-0.996272736
833,7,28,2,T2,T2_7_28,28.96666667,29.23333333,7.97391604,2048.940167,135.5634367,1717.465667,616.0571995,2.268410349,2.268410349,0.383902896
833,7,28,2,T3,T3_7_28,17.46666667,29.18333333,7.870355502,2046.851917,81.23059346,1846.118812,723.3471592,1.281525966,1.281525966,0.350664134
833,7,28,2,T4,T4_7_28,28.63333333,30.18333333,7.919806855,2088.616917,125.4960671,1781.674138,719.5936056,2.08581725,2.08581725,1.044577058
834,7,28,3,T1,T1_7_28,17.45,26.86666667,8.157856832,1950.096333,131.2330067,1626.519308,330.6310029,2.082496099,2.082496099,-0.996272736
834,7,28,3,T2,T2_7_28,29.18333333,29.08333333,7.979458104,2042.675417,136.9428576,1707.8817,606.7741232,2.296321663,2.296321663,0.286115166
834,7,28,3,T3,T3_7_28,17.46666667,29.38333333,7.867372037,2055.204917,81.3994715,1854.032363,731.4717275,1.283394087,1.283394087,0.446186983
834,7,28,3,T4,T4_7_28,28.53333333,30.26666667,7.924582189,2092.097333,126.8048189,1781.910436,711.0067198,2.105456559,2.105456559,1.132669808
835,7,28,4,T1,T1_7_28,17.8,27.06666667,8.156104468,1958.449333,133.1166135,1630.289842,333.9620256,2.114603976,2.114603976,-0.846885719
835,7,28,4,T2,T2_7_28,29.15,29.11666667,7.981067412,2044.067583,137.4303131,1708.065145,604.3252767,2.303633469,2.303633469,0.316977725
835,7,28,4,T3,T3_7_28,17.31666667,29.38333333,7.896825469,2055.204917,86.21673609,1842.091549,678.8285722,1.358549032,1.358549032,0.446186983
835,7,28,4,T4,T4_7_28,28.73333333,30.28333333,7.920470703,2092.793417,126.4601813,1783.495277,720.2715142,2.102122374,2.102122374,1.157008451
836,7,28,5,T1,T1_7_28,18.03333333,27,8.161806134,1955.665,135.0500983,1622.848301,329.1611808,2.147807734,2.147807734,-0.890664391
836,7,28,5,T2,T2_7_28,28.85,28.95,7.987730394,2037.10675,137.3311913,1701.308918,590.5214261,2.299342108,2.299342108,0.194750551
836,7,28,5,T3,T3_7_28,17.48333333,29.35,7.860707432,2053.81275,80.24554967,1855.498747,743.7816011,1.265406978,1.265406978,0.429379515
836,7,28,5,T4,T4_7_28,28.68333333,30.48333333,7.920731992,2101.146417,127.3202814,1789.707351,721.5879714,2.113526711,2.113526711,1.373014307
837,7,28,6,T1,T1_7_28,18.23333333,27.08333333,8.157664456,1959.145417,135.1566396,1626.107748,333.7269905,2.150968539,2.150968539,-0.83376794
837,7,28,6,T2,T2_7_28,28.91666667,29,7.989799445,2039.195,138.3818728,1700.823195,588.1893588,2.317395788,2.317395788,0.229490897
837,7,28,6,T3,T3_7_28,17.65,29.4,7.869738577,2055.901,82.29614605,1852.558995,728.5270321,1.298393471,1.298393471,0.454637922
837,7,28,6,T4,T4_7_28,28.51666667,30.48333333,7.923356461,2101.146417,127.4625234,1789.320762,715.4432388,2.113755008,2.113755008,1.373014307
838,7,28,7,T1,T1_7_28,18.4,26.9,8.164585063,1951.4885,136.5352378,1615.176805,327.1256876,2.17542474,2.17542474,-0.966441054
838,7,28,7,T2,T2_7_28,29.06666667,29.16666667,7.997505957,2046.155833,141.8149144,1699.360425,578.1513197,2.375278806,2.375278806,0.342834873
