num,year,month,day,hour,minute,trt,combo,temp,sal,pH
1,2021,6,13,0,0,acclimation,7_28_0,16.5,29.2,7.94
2,2021,6,13,0,10,acclimation,7_28_0,16.5,29.2,7.96
3,2021,6,13,0,20,acclimation,7_28_0,16.9,29.2,7.95
4,2021,6,13,0,30,acclimation,7_28_0,16.9,29.2,7.95
5,2021,6,13,0,40,acclimation,7_28_0,17,29.2,7.96
6,2021,6,13,0,50,acclimation,7_28_0,17,29.2,7.95
7,2021,6,13,1,0,acclimation,7_28_1,16.9,29.2,7.96
8,2021,6,13,1,10,acclimation,7_28_1,17,29.1,7.96
9,2021,6,13,1,20,acclimation,7_28_1,17.1,29,7.94
10,2021,6,13,1,30,acclimation,7_28_1,17,29,7.95
11,2021,6,13,1,40,acclimation,7_28_1,17.1,29,7.94
12,2021,6,13,1,50,acclimation,7_28_1,17.5,29,7.97
13,2021,6,13,2,0,acclimation,7_28_2,17.5,29,7.92
14,2021,6,13,2,10,acclimation,7_28_2,17.1,29.1,7.96
15,2021,6,13,2,20,acclimation,7_28_2,17.3,29.2,7.91
16,2021,6,13,2,30,acclimation,7_28_2,17.4,29.2,7.95
17,2021,6,13,2,40,acclimation,7_28_2,17.5,29.3,7.92
18,2021,6,13,2,50,acclimation,7_28_2,18,29.3,7.96
19,2021,6,13,3,0,acclimation,7_28_3,17.7,29.4,7.9
20,2021,6,13,3,10,acclimation,7_28_3,17.6,29.3,7.96
21,2021,6,13,3,20,acclimation,7_28_3,17.5,29.3,7.92
22,2021,6,13,3,30,acclimation,7_28_3,17.5,29.4,7.96
23,2021,6,13,3,40,acclimation,7_28_3,17.3,29.5,7.91
24,2021,6,13,3,50,acclimation,7_28_3,17.2,29.4,7.95
25,2021,6,13,4,0,acclimation,7_28_4,17.5,29.4,7.91
26,2021,6,13,4,10,acclimation,7_28_4,17.4,29.4,7.99
27,2021,6,13,4,20,acclimation,7_28_4,17.4,29.4,7.95
28,2021,6,13,4,30,acclimation,7_28_4,17.1,29.4,8
29,2021,6,13,4,40,acclimation,7_28_4,17.1,29.4,7.94
30,2021,6,13,4,50,acclimation,7_28_4,17.4,29.3,7.99
31,2021,6,13,5,0,acclimation,7_28_5,17.5,29.2,7.91
32,2021,6,13,5,10,acclimation,7_28_5,17.5,29.3,7.89
33,2021,6,13,5,20,acclimation,7_28_5,17.3,29.4,7.95
34,2021,6,13,5,30,acclimation,7_28_5,17.5,29.4,7.92
35,2021,6,13,5,40,acclimation,7_28_5,17.7,29.4,7.97
36,2021,6,13,5,50,acclimation,7_28_5,17.4,29.4,7.92
37,2021,6,13,6,0,acclimation,7_28_6,17.9,29.4,7.96
38,2021,6,13,6,10,acclimation,7_28_6,18,29.3,7.93
39,2021,6,13,6,20,acclimation,7_28_6,17.5,29.3,7.9
40,2021,6,13,6,30,acclimation,7_28_6,17.4,29.4,7.95
41,2021,6,13,6,40,acclimation,7_28_6,17.7,29.5,7.91
42,2021,6,13,6,50,acclimation,7_28_6,17.4,29.5,7.96
43,2021,6,13,7,0,acclimation,7_28_7,17.3,29.4,7.91
44,2021,6,13,7,10,acclimation,7_28_7,17.4,29.4,7.95
45,2021,6,13,7,20,acclimation,7_28_7,17.4,29.4,7.92
46,2021,6,13,7,30,acclimation,7_28_7,17.2,29.4,7.94
47,2021,6,13,7,40,acclimation,7_28_7,17.4,29.3,7.91
48,2021,6,13,7,50,acclimation,7_28_7,17.6,29.3,7.95
49,2021,6,13,8,0,acclimation,7_28_8,17.4,29.3,7.9
50,2021,6,13,8,10,acclimation,7_28_8,16.9,29.2,7.94
51,2021,6,13,8,20,acclimation,7_28_8,17.5,29.3,7.9
52,2021,6,13,8,30,acclimation,7_28_8,17.4,29.2,7.91
53,2021,6,13,8,40,acclimation,7_28_8,17.4,29.3,7.92
54,2021,6,13,8,50,acclimation,7_28_8,17.5,29.3,7.93
55,2021,6,13,9,0,acclimation,7_28_9,17.8,29.3,7.89
56,2021,6,13,9,10,acclimation,7_28_9,17.8,29.2,7.9
57,2021,6,13,9,20,acclimation,7_28_9,17.7,29.2,7.9
58,2021,6,13,9,30,acclimation,7_28_9,17.6,29.2,7.9
59,2021,6,13,9,40,acclimation,7_28_9,17.6,29.1,7.91
60,2021,6,13,9,50,acclimation,7_28_9,18,29,7.9
61,2021,6,13,10,0,acclimation,7_28_10,17.8,29.1,7.9
62,2021,6,13,10,10,acclimation,7_28_10,17.8,29.1,7.9
63,2021,6,13,10,20,acclimation,7_28_10,17.8,29.1,7.88
64,2021,6,13,10,30,acclimation,7_28_10,17.9,29.1,7.89
65,2021,6,13,10,40,acclimation,7_28_10,17.8,29.1,7.89
66,2021,6,13,10,50,acclimation,7_28_10,18.1,29,7.88
67,2021,6,13,11,0,acclimation,7_28_11,18.1,28.9,7.89
68,2021,6,13,11,10,acclimation,7_28_11,18.3,28.9,7.9
69,2021,6,13,11,20,acclimation,7_28_11,18.2,28.8,7.89
70,2021,6,13,11,30,acclimation,7_28_11,18.3,28.8,7.89
71,2021,6,13,11,40,acclimation,7_28_11,18.5,28.9,7.88
