"combo" "num" "year" "month" "day" "hour" "minute" "T1_temp" "T2_temp" "T3_temp" "T4_temp" "T1_sal" "T2_sal" "T3_sal" "T4_sal" "T1_pH" "T2_pH" "T3_pH" "T4_pH" "T1_talk" "T2_talk" "T3_talk" "T4_talk" "T1_pCO2" "T2_pCO2" "T3_pCO2" "T4_pCO2" "T1_CO3" "T2_CO3" "T3_CO3" "T4_CO3" "T1_HCO3" "T2_HCO3" "T3_HCO3" "T4_HCO3" "T1_Oar" "T2_Oar" "T3_Oar" "T4_Oar" "T1_Oca" "T2_Oca" "T3_Oca" "T4_Oca" "T1_pCO2_error" "T2_pCO2_error" "T3_pCO2_error" "T4_pCO2_error" "T1_CO3_error" "T2_CO3_error" "T3_CO3_error" "T4_CO3_error" "T1_HCO3_error" "T2_HCO3_error" "T3_HCO3_error" "T4_HCO3_error" "T1_Oar_error" "T2_Oar_error" "T3_Oar_error" "T4_Oar_error" "T1_Oca_error" "T2_Oca_error" "T3_Oca_error" "T4_Oca_error"
"6_23_10" 3.5 2021 6 23 10 25 20.7 20.9333333333333 20.8833333333333 21.0166666666667 29.0166666666667 28.95 28.7666666666667 29.0166666666667 8.03371229701688 7.95779824645069 7.99391441205125 8.08824835081252 2039.89108333333 2037.10675 2029.44983333333 2039.89108333333 487.107666687453 595.004756714906 539.74017463307 422.36081875258 122.66924032054 105.894180313716 112.827774498765 137.505583694902 1737.93077850627 1776.53283950408 1751.82208509121 1701.4936693664 1.96312783218877 1.69689395452955 1.80871028611774 2.20382399604025 3.06078752497738 2.64471256015174 2.82115111633191 3.43323176118533 13.1092375421244 15.7404308709454 14.390022630886 11.539113551222 2.48478690513811 2.1921771711417 2.31411399365246 2.73099020159912 10.5792576529125 10.3558087177676 10.4385869375104 10.7896909244564 0.0397658164329587 0.0351290045630505 0.0370975533703091 0.0437707854547923 0.0619985437892744 0.0547490771574049 0.0578615429524145 0.068186382106982
"6_23_11" 9.5 2021 6 23 11 25 20.45 20.7333333333333 20.55 20.75 29.05 29.0333333333333 28.7166666666667 28.95 8.02949846501883 7.95887102319292 7.99755749108025 8.08543739099764 2041.28325 2040.58716666667 2027.36158333333 2037.10675 491.750176701301 592.956805200127 532.645150924448 424.258842188157 121.019600280814 105.896949663186 112.410454978588 135.473290044229 1743.30181665492 1779.9373421169 1750.67184098232 1703.64086863218 1.93427921578344 1.69487155355876 1.79952294946703 2.16905503250887 3.01739412675424 2.64216420942482 2.80974492432927 3.38219256690602 13.2106068091244 15.6830706771645 14.1972407681437 11.5698906387101 2.45675641449121 2.1925025167717 2.30654205641848 2.69744094374031 10.5581979286685 10.3584796651357 10.4320532961217 10.7578362287913 0.0392675071813262 0.0350914331612059 0.0369249066348892 0.043189296240019 0.0612538461133049 0.0547030119541188 0.0576522273139974 0.0673427708402252
"6_23_12" 15.5 2021 6 23 12 25 20.6 20.7666666666667 20.6166666666667 21 29.0333333333333 29.2 28.8 28.8333333333333 8.04170270483478 7.9543260791581 7.99297167740417 8.08281984549779 2040.58716666667 2047.548 2030.842 2032.23416666667 476.636536136721 601.676397816856 540.10663041345 427.388809865388 124.36263733104 105.733215799288 111.967868934215 135.042677036746 1734.42162511542 1787.28658829663 1755.24730317072 1699.93573142571 1.98923026011378 1.69154482320255 1.79250010377964 2.16552418699692 3.10206619218643 2.63522347642806 2.79747477397967 3.37590189025591 12.8490853177501 15.9033126622534 14.3855211471544 11.6546695584444 2.51348849125726 2.19011982358695 2.29908477313451 2.68983715355315 10.6035717081677 10.3611986968944 10.4289148047967 10.746409335724 0.0402049200918467 0.0350386497081927 0.0368068008846305 0.0431346236379223 0.0626949756011885 0.0545844223216987 0.0574410316911571 0.067241839542892
"6_23_13" 21.5 2021 6 23 13 25 21.8166666666667 21.75 21.5666666666667 21.8 29.0333333333333 29.4166666666667 28.6833333333333 28.75 8.03967518808361 7.96353043349063 8.01134239196176 8.08903696754083 2040.58716666667 2056.59708333333 2025.96941666667 2028.75375 484.236396955629 594.752278605728 518.097954251936 422.561788555286 127.876094751961 111.542226663019 118.534846310633 139.055382981512 1726.15050015652 1782.28325602678 1734.51108748605 1686.85317624009 2.05721565345504 1.79138579119373 1.9070013050939 2.23915469066889 3.19791322197836 2.78147356763387 2.97001502512343 3.48432983439278 13.0993628418711 15.8033006221263 13.8975650077755 11.5725462603253 2.57286246136012 2.29415727035024 2.41279327090601 2.75448101079576 10.6509157144216 10.4408152075016 10.5101303455983 10.7998284709088 0.041391891217096 0.0368450943052355 0.0388178994526649 0.0443551077295307 0.0643411731811828 0.0572075829339617 0.0604543041661717 0.0690186086978421
"6_23_14" 27.5 2021 6 23 14 25 22.15 22.25 22.05 22.1 28.9333333333333 29.55 28.4833333333333 28.7 8.0390874965422 7.96573939851063 8.01277816068015 8.09008002702669 2036.41066666667 2062.16575 2017.61641666667 2026.6655 485.687355415977 595.253747253815 516.799327922371 422.095493273818 128.335280143349 114.112617551196 119.432678685838 140.127403341326 1720.96471479981 1781.64904284458 1724.12778133243 1682.23373660829 2.06870282841435 1.83612911397627 1.92728931253249 2.26009623641845 3.21403320737515 2.84589964108287 2.99995562248966 3.51478908460664 13.1485621585394 15.8515426955801 13.8839128485312 11.5739318645144 2.58006048114822 2.33996550710211 2.42744445333486 2.77146704262232 10.653177506956 10.4781084004822 10.5145183202851 10.8127641469325 0.0415901608310217 0.0376519089003497 0.0391724987406506 0.0447015137540801 0.0646144469396353 0.058356677825325 0.060972837863313 0.0695154221987486
"6_23_15" 33.5 2021 6 23 15 25 21.7666666666667 21.9333333333333 21.8166666666667 21.8166666666667 28.9833333333333 29.6 28.5833333333333 28.4666666666667 8.03604688413073 7.96294185749692 8.01542203461685 8.08685174940577 2038.49891666667 2064.254 2021.79291666667 2016.92033333333 488.343388533124 598.438477962547 513.074868279451 423.408227404891 126.561189360658 112.768155569278 119.817683399894 136.999751843336 1727.29311583059 1786.94906691 1727.26978065074 1680.14832611284 2.03590671323076 1.81137200724514 1.93056997567973 2.20831579405823 3.16577677770559 2.80945658492586 3.00586838648338 3.43976697040958 13.1949538497657 15.9119353025797 13.7842754049408 11.5827882829374 2.55057743678318 2.31644605519613 2.43429449857495 2.71954697619548 10.6305957977973 10.4623064138496 10.5236902210153 10.7579786775548 0.0410302507058532 0.0372092712751637 0.0392235491848701 0.0438376006237557 0.0637989274960426 0.0577102738186513 0.061068617208719 0.0682812200582039
"6_23_16" 39.5 2021 6 23 16 25 21.6666666666667 21.8 21.5833333333333 21.8833333333333 29.05 29.65 28.7166666666667 28.4 8.04413138494847 7.96085865446972 8.01980471993855 8.09196683545685 2041.28325 2066.34225 2027.36158333333 2014.136 478.030107764845 601.327782330722 507.082450325354 417.459674383144 128.573514800981 112.117504661695 120.753219446474 138.223145692648 1725.08107142816 1790.59411901457 1730.44384039392 1674.39046924199 2.06678985483745 1.79943145174334 1.94260957200786 2.22925833223303 3.21390760602237 2.79146807676275 3.02499554479238 3.4726488607759 12.9400646496046 15.9763842849319 13.6311076900815 11.4367659703579 2.58455537078426 2.30522543574423 2.45080459005893 2.73886136840859 10.6615987925974 10.4552911525472 10.5412590412441 10.7724912793562 0.0415469115623719 0.0369984014677793 0.0394277843858887 0.0441731953968519 0.0646044665973201 0.057394158755214 0.0613944309858585 0.0688090514878534
"6_23_17" 45.5 2021 6 23 17 25 22.95 22.95 23.1666666666667 23 28.9333333333333 29.7 28.7 28.2 8.04386988065853 7.95214660234552 8.03256436126102 8.11085102984727 2036.41066666667 2068.4305 2026.6655 2005.783 482.761863373687 622.254357032316 496.701712653391 398.987927136693 132.256477454892 113.816797762199 128.943357042359 146.249028955917 1711.55733989838 1788.81743754277 1710.06887419126 1646.68768714814 2.1410637288063 1.83702731300359 2.09176648749022 2.37446831155234 3.31888755031287 2.84014385384314 3.24304628101549 3.69000233154431 13.1205076313734 16.5572246332232 13.4641714934316 11.0277598493511 2.64477363614935 2.33527846147092 2.58853504281011 2.86468481278749 10.7081669563401 10.4781354978119 10.652164858727 10.8780466259063 0.0428152459017277 0.0376919714874919 0.041991531825402 0.0465100356950725 0.0663671774035305 0.0582726295120815 0.0651023191186548 0.0722769654918125
"6_23_18" 51.5 2021 6 23 18 25 23.7166666666667 24.6333333333333 24.8333333333333 24.6333333333333 28.7166666666667 29.8 28.85 28.2833333333333 8.04638556663787 7.96071638183086 8.04775767833041 8.11903691171778 2027.36158333333 2072.607 2032.93025 2009.26341666667 481.129415730336 618.809359027815 484.798816091782 395.641893670142 134.329911414734 121.346280049031 139.218051850255 155.086905062741 1697.67760403087 1774.92523405896 1691.51949609997 1628.90452549738 2.18453765487099 1.97445969741849 2.27662815860804 2.53887944324665 3.38208276111847 3.03744042308422 3.51178840618362 3.92676740985129 13.1128336289595 16.5849126089703 13.271539924187 11.0284683252662 2.67816875630003 2.46678860350846 2.75852179975736 3.002300462656 10.7278344999467 10.582087344002 10.802929351624 11.009697946064 0.0435546326372901 0.0401386039267045 0.0451110808481628 0.0491509003124866 0.0674287783941881 0.0617459864233927 0.0695834055736548 0.0760169671017011
"6_23_19" 57.5 2021 6 23 19 25 23.4666666666667 24.45 24.1833333333333 24.5 28.5666666666667 29.7 28.7833333333333 28.3166666666667 8.04508601877041 7.96142839193194 8.05503586795849 8.10525267393055 2021.09683333333 2068.4305 2030.14591666667 2010.65558333333 480.728296455779 615.648379410874 472.425072380055 410.735152348412 132.371456591459 120.482421994043 138.552861778171 150.849132649309 1696.18604827919 1772.83620026839 1690.19930526444 1640.67051361715 2.15103935027482 1.95932207410507 2.258324918306 2.46735142956447 3.33434835924884 3.01673773710846 3.49084924520895 3.81714204054648 13.0826516198455 16.491160034764 12.9275179865916 11.39840639564 2.64512206921705 2.4514792676645 2.74718847966972 2.93764007802362 10.6942085507347 10.5669331966434 10.7910935289287 10.9491262717536 0.042984216455281 0.039867484853843 0.044778424503554 0.0480504254207437 0.0666282223034302 0.0613815316442865 0.0692149659787612 0.0743344130148469
