gene,log2FoldChange,description
LOC117680554,11.5548331190962,uncharacterized protein LOC117680554
LOC105321376,3.68673406944458,uncharacterized protein LOC105321376
LOC105323935,3.28464922382756,uncharacterized protein LOC105323935
LOC117690809,3.17885253054357,uncharacterized protein LOC117690809 isoform X1
LOC117681619,2.83213491275684,uncharacterized protein LOC117681619
LOC117691037,2.55182526085037,uncharacterized protein LOC117691037
LOC117692019,2.45428332992464,uncharacterized protein LOC117692019
LOC109619024,2.33595014406344,uncharacterized protein LOC109619024
LOC105346227,2.28907321032453,uncharacterized protein LOC105346227
LOC117689339,2.27662271742542,uncharacterized protein LOC117689339
LOC105334187,2.24768174353967,uncharacterized protein LOC105334187
LOC117688340,2.18243771521722,uncharacterized protein LOC117688340
LOC105338592,2.17317471587645,uncharacterized protein LOC105338592
LOC105331847,2.15261095269691,uncharacterized protein LOC105331847
LOC117692922,2.14073875930102,uncharacterized protein LOC117692922 isoform X1
LOC105318674,2.13711527675108,uncharacterized protein LOC105318674
LOC105346510,2.1227450803466,uncharacterized protein LOC105346510
LOC117686204,2.11697725999029,uncharacterized protein LOC117686204 isoform X1
LOC117687174,2.08483799895557,uncharacterized protein LOC117687174
LOC109620224,2.04502177039521,uncharacterized protein LOC109620224
LOC105342641,2.03403049362355,uncharacterized protein LOC105342641
LOC117692040,2.00774945208622,uncharacterized protein LOC117692040
LOC117686131,1.99651055929127,uncharacterized protein LOC117686131
LOC105328647,1.99404945917946,uncharacterized protein LOC105328647
LOC105328254,1.97013287934665,uncharacterized protein LOC105328254 isoform X1
LOC117685250,1.93674954713905,uncharacterized protein LOC117685250
LOC117685944,1.9172484513213,uncharacterized protein LOC117685944
LOC105334430,1.91152488757756,uncharacterized protein LOC105334430
LOC109619834,1.85951228338981,uncharacterized protein LOC109619834
LOC105318297,1.8582870897648,uncharacterized protein LOC105318297 isoform X2
LOC117688946,1.85050118128409,uncharacterized protein LOC117688946
LOC105346504,1.835571427599,uncharacterized protein LOC105346504 isoform X1
LOC117692998,1.83474750725901,uncharacterized protein LOC117692998
LOC117682810,1.82430813321866,uncharacterized protein LOC117682810 isoform X1
LOC117687784,1.80216993905778,uncharacterized protein LOC117687784
LOC117682542,1.79581678287728,uncharacterized protein LOC117682542 isoform X1
LOC105339865,1.79289522195566,uncharacterized protein LOC105339865 isoform X13
LOC105327497,1.77615467632486,uncharacterized protein LOC105327497
LOC105337641,1.76475341860754,uncharacterized protein LOC105337641
LOC105339089,1.76297786604851,uncharacterized protein LOC105339089
LOC105327945,1.76077092178928,uncharacterized protein LOC105327945
LOC105339394,1.75334927999451,uncharacterized protein LOC105339394
LOC117691885,1.75018228662277,uncharacterized protein LOC117691885
LOC117682309,1.69645843310387,uncharacterized protein LOC117682309
LOC105337032,1.67822968376367,uncharacterized protein LOC105337032
LOC117689469,1.67047002770175,uncharacterized protein LOC117689469
LOC105320246,1.6645243463311,uncharacterized protein LOC105320246
LOC105343434,1.66046199102806,uncharacterized protein LOC105343434
LOC117684653,1.66042098067855,uncharacterized protein LOC117684653
LOC117693006,1.6487750670313,uncharacterized protein LOC117693006
LOC117687091,1.62484464794453,uncharacterized protein LOC117687091
LOC105323052,1.60877563589159,uncharacterized protein LOC105323052
LOC105342884,1.60327151194978,uncharacterized protein LOC105342884 isoform X4
LOC105342351,1.58679279736754,uncharacterized protein LOC105342351
LOC105331626,1.57802214102817,uncharacterized protein LOC105331626
LOC105329988,1.56964216830715,uncharacterized protein LOC105329988
LOC105334176,1.5646169180601,uncharacterized protein LOC105334176 isoform X1
LOC109618740,1.55599961677162,uncharacterized protein LOC109618740 isoform X1
LOC117689120,1.55541682906197,uncharacterized protein LOC117689120
LOC105321060,1.54623974973517,uncharacterized protein LOC105321060
LOC105344467,1.53652702678713,uncharacterized protein LOC105344467 isoform X3
LOC109617461,1.53173934439429,uncharacterized protein LOC109617461
LOC105346258,1.52282142081896,uncharacterized protein LOC105346258
LOC105319430,1.50348826682289,uncharacterized protein LOC105319430
LOC105322191,-1.56763638541075,uncharacterized protein LOC105322191
LOC105320221,-1.64375904524182,uncharacterized protein LOC105320221
LOC117691059,-1.67917489730863,uncharacterized protein LOC117691059
LOC117685375,-1.68787565890203,uncharacterized protein LOC117685375 isoform X2
LOC117690570,-1.72168460054054,uncharacterized protein LOC117690570 isoform X2
LOC105335071,-1.74468865122184,uncharacterized protein LOC105335071
LOC105332942,-1.76013866262321,uncharacterized protein LOC105332942
LOC117692303,-1.77399244978863,uncharacterized protein LOC117692303 isoform X1
LOC109617052,-1.78610765214823,uncharacterized protein LOC109617052
LOC105342886,-1.87990396177018,uncharacterized protein LOC105342886 isoform X1
LOC117687307,-1.8910939433309,uncharacterized protein LOC117687307
LOC117691785,-1.95865284364806,uncharacterized protein LOC117691785
LOC117682897,-1.97798365300785,uncharacterized protein LOC117682897
LOC117681640,-2.15669568223993,uncharacterized protein LOC117681640
LOC105345421,-2.16400077389469,uncharacterized protein LOC105345421
LOC105320768,-2.16400077389469,uncharacterized protein LOC105320768
LOC117681641,-2.19038333772633,uncharacterized protein LOC117681641
LOC117681642,-2.21081628671481,uncharacterized protein LOC117681642
LOC117690889,-2.21540830864729,uncharacterized protein LOC117690889 isoform X2
LOC105329133,-2.3495838796051,uncharacterized protein LOC105329133
LOC117687810,-2.53460233730168,uncharacterized protein LOC117687810
LOC105322771,-2.63261111990784,uncharacterized protein DDB_G0290301 isoform X1
LOC117686971,-2.71256497609239,uncharacterized protein LOC117686971
LOC117691374,-2.77569538792793,uncharacterized protein LOC117691374
LOC117690991,-2.77622219830507,uncharacterized protein LOC117690991
LOC117687807,-4.25742009783004,uncharacterized protein LOC117687807
