gene,log2FoldChange,description
LOC117686180,3.2872101860636,uncharacterized protein LOC117686180
LOC117687720,2.91296383456284,uncharacterized protein LOC117687720
LOC117682674,2.87366305577054,uncharacterized protein LOC117682674
LOC117685768,2.80739398993492,uncharacterized protein LOC117685768 isoform X2
LOC109620541,2.75044054489101,uncharacterized protein LOC109620541
LOC105344934,2.64354302533289,uncharacterized protein LOC105344934
LOC117685572,2.58585247201302,uncharacterized protein LOC117685572
LOC105342641,2.29249231782932,uncharacterized protein LOC105342641
LOC105330893,2.230198804998,uncharacterized protein LOC105330893 isoform X2
LOC117683725,2.03424378702253,uncharacterized protein LOC117683725
LOC105329485,1.99258049564241,uncharacterized protein LOC105329485
LOC105317071,1.85932338052386,uncharacterized protein LOC105317071
LOC109619320,1.85444951535843,uncharacterized protein LOC109619320
LOC105328647,1.84220676732321,uncharacterized protein LOC105328647
LOC105334345,1.82420544707644,uncharacterized protein LOC105334345
LOC109620710,1.80203786610602,uncharacterized protein LOC109620710
LOC117690809,1.73886056649192,uncharacterized protein LOC117690809 isoform X1
LOC117688097,1.68803510479663,uncharacterized protein LOC117688097
LOC105339865,1.67950702927231,uncharacterized protein LOC105339865 isoform X13
LOC105343844,1.67184541096813,uncharacterized protein LOC105343844 isoform X1
LOC117687228,1.63683992713291,uncharacterized protein LOC117687228
LOC105335962,1.62971580965591,uncharacterized protein LOC105335962
LOC109621176,1.52561020922284,uncharacterized protein LOC109621176 isoform X1
LOC117685982,-1.5170807961997,uncharacterized protein LOC117685982 isoform X2
LOC105338226,-1.6474424950161,uncharacterized protein LOC105338226
LOC105335220,-1.68491890529425,uncharacterized protein LOC105335220
LOC117680359,-1.74849137919169,uncharacterized protein LOC117680359
LOC109620788,-1.7802941081137,uncharacterized protein LOC109620788
LOC105339384,-1.81783464556558,uncharacterized protein LOC105339384
LOC117690687,-1.8593547619422,uncharacterized protein LOC117690687 isoform X1
LOC105346817,-1.86021095479182,uncharacterized protein LOC105346817
LOC117688271,-1.88495719966591,uncharacterized protein LOC117688271
LOC117687509,-1.92403163586145,uncharacterized protein LOC117687509
LOC105342886,-1.99673776334049,uncharacterized protein LOC105342886 isoform X1
LOC105340122,-2.09830886385319,uncharacterized protein LOC105340122 isoform X1
LOC117684651,-2.34370911499018,uncharacterized protein LOC117684651
LOC105341293,-2.54337621710724,uncharacterized protein LOC105341293
LOC117691374,-2.75854433669017,uncharacterized protein LOC117691374
LOC105338188,-2.79066741405982,uncharacterized protein LOC105338188
LOC117684652,-3.10594122285745,uncharacterized protein LOC117684652
LOC117682713,-3.23104782944052,uncharacterized protein LOC117682713
