gene,log2FoldChange,description
LOC105339624,4.03110446878149,uncharacterized protein LOC105339624
LOC117692755,3.40986494431742,uncharacterized protein LOC117692755
LOC105347073,3.34814083984377,uncharacterized protein LOC105347073
LOC105322807,3.23604583916829,uncharacterized protein LOC105322807
LOC105333327,2.85364238764454,uncharacterized protein LOC105333327
LOC105321541,2.76991449035917,uncharacterized protein LOC105321541
LOC105330352,2.73770031538159,uncharacterized protein LOC105330352
LOC105330030,2.56827028085971,uncharacterized protein LOC105330030
LOC105327678,2.46307469756828,uncharacterized protein LOC105327678
LOC105333443,2.4396439493965,uncharacterized protein LOC105333443
LOC105342525,2.36563434377286,uncharacterized protein LOC105342525
LOC105329133,2.31502153293982,uncharacterized protein LOC105329133
LOC105347604,2.29001102713215,uncharacterized protein LOC105347604
LOC117687807,2.20738344845524,uncharacterized protein LOC117687807
LOC105323139,2.2005000169064,uncharacterized protein LOC105323139
LOC105344998,2.145638044372,uncharacterized protein LOC105344998 isoform X2
LOC105332206,2.13496773050657,uncharacterized protein LOC105332206
LOC117693159,2.07995095863895,uncharacterized protein LOC117693159 isoform X2
LOC117693157,2.07732617984756,uncharacterized protein LOC117693157
LOC105318474,2.06258687140461,uncharacterized protein LOC105318474
LOC105327994,2.02825512168817,uncharacterized protein LOC105327994
LOC105328578,2.0034361321658,uncharacterized protein LOC105328578
LOC105347606,1.99700868899038,uncharacterized protein LOC105347606
LOC105323849,1.99353279141439,uncharacterized protein LOC105323849
LOC105332044,1.97730653810033,uncharacterized protein LOC105332044 isoform X1
LOC117681741,1.91994373534657,uncharacterized protein LOC117681741
LOC117687051,1.90315884525056,uncharacterized protein LOC117687051 isoform X2
LOC105341671,1.86788829510532,uncharacterized protein LOC105341671 isoform X2
LOC105322229,1.855249727037,uncharacterized protein LOC105322229
LOC105328140,1.78948650109404,uncharacterized protein LOC105328140
LOC109620197,1.75558976138851,uncharacterized protein LOC109620197
LOC117690142,1.67647659854605,uncharacterized protein LOC117690142
LOC117681641,1.66251423589572,uncharacterized protein LOC117681641
LOC105340010,1.65897093898588,uncharacterized protein LOC105340010
LOC105327716,1.64210780171943,uncharacterized protein LOC105327716
LOC105317695,1.62256977619376,uncharacterized protein LOC105317695
LOC105343624,1.62019666760768,uncharacterized protein LOC105343624 isoform X1
LOC117681642,1.61697122727727,uncharacterized protein LOC117681642
LOC105325150,1.61264928265476,uncharacterized protein LOC105325150
LOC105346430,1.60327258481469,uncharacterized protein LOC105346430
LOC105345421,1.60205530459384,uncharacterized protein LOC105345421
LOC105320768,1.59644120856397,uncharacterized protein LOC105320768
LOC117681640,1.59175804120269,uncharacterized protein LOC117681640
LOC105322558,1.57488377655893,uncharacterized protein LOC105322558
LOC117692984,1.57242542080847,uncharacterized protein LOC117692984
LOC117683174,1.55140945391085,uncharacterized protein LOC117683174 isoform X2
LOC105334618,-1.53431634323228,uncharacterized protein LOC105334618
LOC109619795,-1.53446668804098,uncharacterized protein LOC109619795
LOC117688946,-1.54095673435456,uncharacterized protein LOC117688946
LOC105322925,-1.54292532745004,uncharacterized protein LOC105322925
LOC117686348,-1.55262143018943,uncharacterized protein LOC117686348
LOC105347694,-1.55554949582478,uncharacterized protein LOC105347694 isoform X1
LOC105328884,-1.61037973874662,uncharacterized protein LOC105328884
LOC117689494,-1.61319708343674,uncharacterized protein LOC117689494
LOC105329555,-1.6241185568085,uncharacterized protein LOC105329555 isoform X2
LOC105344865,-1.64107516256789,uncharacterized protein PB18E9.04c isoform X2
LOC105331917,-1.64798427440917,uncharacterized protein LOC105331917
LOC117687839,-1.65093041491118,uncharacterized protein LOC117687839
LOC109619024,-1.66838166276096,uncharacterized protein LOC109619024
LOC117685944,-1.67745323684281,uncharacterized protein LOC117685944
LOC109617959,-1.69482815231383,uncharacterized protein LOC109617959
LOC117690074,-1.69686746410246,uncharacterized protein LOC117690074 isoform X1
LOC117690710,-1.70125603463975,uncharacterized protein LOC117690710
LOC105335467,-1.70231025265178,uncharacterized protein LOC105335467
LOC105334533,-1.70989923997126,uncharacterized protein LOC105334533 isoform X2
LOC109620821,-1.74023734696325,uncharacterized protein LOC109620821
LOC117692040,-1.80051613836262,uncharacterized protein LOC117692040
LOC117692998,-1.81516770811624,uncharacterized protein LOC117692998
LOC105331499,-1.88040117890273,uncharacterized protein LOC105331499
LOC117684651,-1.88686184231877,uncharacterized protein LOC117684651
LOC117689258,-1.90218428830788,uncharacterized protein LOC117689258
LOC105334430,-1.91247046074984,uncharacterized protein LOC105334430
LOC105325933,-2.02215791743765,uncharacterized protein LOC105325933
LOC117681070,-2.05461692982853,uncharacterized protein LOC117681070
LOC117681619,-2.05780307523778,uncharacterized protein LOC117681619
LOC105336968,-2.15339431821208,uncharacterized protein LOC105336968
LOC117683038,-2.3279503469344,uncharacterized protein LOC117683038
LOC109619834,-2.37962505890994,uncharacterized protein LOC109619834
LOC117684652,-2.46289952941815,uncharacterized protein LOC117684652
