"","Label","meanA","OD","GSH","Protein (ug/mL) ","Protein (mg/ul)","CS activity (nmol/(mg*min))","ploidy","trt"
"1","D54",0.148,0.0173333333333333,1.374,292.166666666667,0.000292166666666667,2.09013120365089,"D","D-control"
"2","D55",0.155333333333333,0.023,1.918,727.488888888889,0.000727488888888889,1.17176283715673,"D","D-control"
"3","D56",0.147333333333333,0.00133333333333333,-0.162000000000001,NA,NA,NA,"D","D-control"
"4","D58",0.147,0.021,1.726,755.522222222222,0.000755522222222222,1.01533891201083,"D","D-control"
"5","D59",0.209,0.022,1.822,853.477777777778,0.000853477777777778,0.948797729550988,"D","D-control"
"6","M41",0.172,0.0113333333333333,0.797999999999997,909.222222222223,0.000909222222222223,0.390076988879383,"D","D-heat"
"7","M42",0.371,0.0916666666666667,8.51,1028.76666666667,0.00102876666666667,3.6764626467507,"D","D-heat"
"8","M43",0.493333333333333,0.051,4.606,835.111111111111,0.000835111111111111,2.45130388504524,"D","D-heat"
"9","M45",0.333,0.0743333333333333,6.846,795.155555555556,0.000795155555555556,3.8265049466212,"D","D-control"
"10","M46",0.185333333333333,0.0173333333333333,1.374,662.4,0.0006624,0.921900161030596,"D","D-control"
"11","M47",0.159333333333333,0.015,1.15,905.677777777778,0.000905677777777778,0.564341009188944,"D","D-heat"
"12","M48",0.171666666666667,0.0303333333333333,2.622,732.966666666667,0.000732966666666667,1.58988585201692,"D","D-control"
"13","M49",0.165666666666667,0.0193333333333333,1.566,475.833333333333,0.000475833333333333,1.46269702276708,"D","D-control"
"14","M89",0.168,0.0126666666666667,0.925999999999999,915.666666666667,0.000915666666666667,0.449460016988229,"D","D-control"
"15","M90",0.211,0.0243333333333333,2.046,1214.36666666667,0.00121436666666667,0.74881282424309,"D","D-control"
"16","N41",0.248666666666667,0.00699999999999998,0.381999999999998,503.222222222222,0.000503222222222222,0.337381320379773,"D","D-heat"
"17","N42",0.192666666666667,0.0376666666666667,3.326,1034.24444444444,0.00103424444444444,1.42927741131475,"D","D-heat"
"18","N43",0.127333333333333,0.0196666666666667,1.598,NA,NA,NA,"D","D-heat"
"19","N44",0.207,0.0123333333333333,0.894,814.488888888889,0.000814488888888889,0.487831496234858,"D","D-heat"
"20","N45",0.129,0.0153333333333333,1.182,372.077777777778,0.000372077777777778,1.41189118165258,"D","D-heat"
"21","N46",0.169,0.0106666666666667,0.733999999999999,606.011111111111,0.000606011111111111,0.538310628701343,"D","D-heat"
"22","N47",0.186666666666667,0.0273333333333333,2.334,704.288888888889,0.000704288888888889,1.47288044678636,"D","D-heat"
"23","N48",0.287333333333333,0.082,7.582,271.866666666667,0.000271866666666667,12.3949648520517,"D","D-desiccation"
"24","N49",0.133333333333333,0.0213333333333333,1.758,NA,NA,NA,"D","D-desiccation"
"25","N50",0.360666666666667,0.0976666666666667,9.08600000000001,458.111111111111,0.000458111111111111,8.81494057724959,"D","D-desiccation"
"26","N51",0.249666666666667,0.066,6.046,348.716666666667,0.000348716666666667,7.70571460434291,"D","D-desiccation"
"27","N52",0.328,0.106666666666667,9.95,566.055555555556,0.000566055555555556,7.81234664834626,"D","D-desiccation"
"28","N53",0.389666666666667,0.133,12.478,869.266666666666,0.000869266666666666,6.37983485441113,"D","D-desiccation"
"29","N54",0.34,0.102,9.502,883.766666666667,0.000883766666666667,4.77853631551817,"D","D-desiccation"
"30","N55",0.329,0.0786666666666667,7.262,837.688888888888,0.000837688888888888,3.85292869269949,"D","D-desiccation"
"31","N56",0.318,0.105,9.79,NA,NA,NA,"D","D-desiccation"
"32","N57",0.269666666666667,0.0658333333333334,6.03,472.933333333333,0.000472933333333333,5.66676064279673,"D","D-desiccation"
"33","N58",0.304,0.096,8.926,455.855555555555,0.000455855555555555,8.70256172764278,"D","D-desiccation"
"34","N59",0.164666666666667,0.0316666666666667,2.75,522.233333333334,0.000522233333333334,2.34037573668645,"D","D-desiccation"
"35","R42",0.308333333333333,-0.00266666666666671,-0.546000000000004,496.777777777778,0.000496777777777778,-0.488481324088574,"T","T-heat"
"36","R46",0.154333333333333,0.0116666666666667,0.830000000000002,473.9,0.0004739,0.778410822723971,"T","T-heat"
"37","R47",0.358,-0.002,-0.482,1246.58888888889,0.00124658888888889,-0.171846728405515,"T","T-heat"
"38","R48",0.183333333333333,0.0126666666666667,0.925999999999999,656.6,0.0006566,0.626797982874741,"T","T-heat"
"39","R50",0.232,0.00333333333333333,0.0299999999999994,885.7,0.0008857,0.0150540062474123,"T","T-heat"
"40","R51",0.426,0.081,7.486,NA,NA,NA,"T","T-desiccation"
"41","R52",0.259666666666667,0.091,8.446,563.8,0.0005638,6.65799534902054,"T","T-desiccation"
"42","R53",0.38,0.158,14.878,NA,NA,NA,"T","T-desiccation"
"43","R54",0.302666666666667,0.096,8.926,NA,NA,NA,"T","T-desiccation"
"44","R56",0.298666666666667,0.061,5.566,413,0.000413,5.98977670164111,"T","T-desiccation"
"45","R57",0.55,0.121666666666667,11.39,736.511111111111,0.000736511111111111,6.8732462360076,"T","T-desiccation"
"46","R58",0.222666666666667,0.0366666666666667,3.23,798.377777777778,0.000798377777777778,1.79809057254989,"T","T-desiccation"
"47","R59",0.262,0.102666666666667,9.566,NA,NA,NA,"T","T-desiccation"
"48","R60",0.147666666666667,0.0223333333333333,1.854,NA,NA,NA,"T","T-desiccation"
"49","R62",0.212,0.0246666666666667,2.078,NA,NA,NA,"T","T-desiccation"
"50","R78",0.288666666666667,0.0303333333333334,2.622,1028.44444444444,0.00102844444444444,1.13310285220398,"T","T-heat"
"51","T55",0.190666666666667,0.027,2.302,530.933333333333,0.000530933333333333,1.92700485518165,"T","T-control"
"52","T56",0.142666666666667,0.016,1.246,282.177777777778,0.000282177777777778,1.96251378169791,"T","T-control"
"53","T57",0.234333333333333,0.0206666666666667,1.694,542.855555555555,0.000542855555555555,1.38690464007205,"T","T-control"
"54","T58",0.453666666666667,-0.0106666666666667,-1.314,1161.52222222222,0.00116152222222222,-0.502788486373245,"T","T-control"
"55","T59",0.435666666666667,-0.019,-2.114,1246.58888888889,0.00124658888888889,-0.753701211305517,"T","T-control"
"56","T61",0.755333333333333,-0.0326666666666666,-3.426,1265.92222222222,0.00126592222222222,-1.20281217908771,"T","T-control"
"57","T62",0.220333333333333,0.01,0.670000000000001,998.477777777777,0.000998477777777777,0.298231752779231,"T","T-control"
"58","X41",0.264666666666667,0.0333333333333333,2.91,651.122222222223,0.000651122222222223,1.98631422671968,"T","T-heat"
"59","X42",0.214666666666667,0.00433333333333333,0.126,635.977777777778,0.000635977777777778,0.0880533911038118,"T","T-heat"
"60","X43",0.242666666666667,0.0103333333333333,0.702,828.344444444445,0.000828344444444445,0.376654907378841,"T","T-heat"
"61","X44",0.180666666666667,0.0126666666666667,0.925999999999999,884.733333333334,0.000884733333333334,0.46517469168362,"T","T-heat"
"62","X45",0.204333333333333,0.0213333333333333,1.758,561.866666666667,0.000561866666666667,1.390602752729,"T","T-control"
"63","X46",0.360666666666667,0.131,12.286,431.366666666667,0.000431366666666667,12.65847564588,"T","T-control"
"64","X47",0.383333333333333,0.0106666666666667,0.734000000000004,1235.63333333333,0.00123563333333333,0.264012157508072,"T","T-control"
"65","X48",0.306666666666667,0.00233333333333335,-0.065999999999998,932.1,0.0009321,-0.0314701569931686,"T","T-control"
