Round,Label,meanA,OD,GSH,protein_a,protein_b,CS_activity,ploidy,trt_list,date
1,D54,0.148,0.01733333,1.374,549.166667,0.00054917,1.11198786,D,D-control,3/22/2022
1,D55,0.15533333,0.023,1.918,1074.55556,0.00107456,0.793299555,D,D-control,3/22/2022
1,D58,0.147,0.021,1.726,1108.38889,0.00110839,0.692095634,D,D-control,3/22/2022
1,D59,0.209,0.022,1.822,1226.61111,0.00122661,0.660174827,D,D-control,3/22/2022
1,M41,0.172,0.01133333,0.798,1293.88889,0.00129389,0.27410906,D,D-heat,3/22/2022
1,M42,0.371,0.09166667,8.51,1438.16667,0.00143817,2.629891451,D,D-heat,3/22/2022
1,M43,0.49333333,0.051,4.606,1204.44444,0.00120444,1.699630996,D,D-heat,3/22/2022
1,M45,0.333,0.07433333,6.846,1156.22222,0.00115622,2.631558716,D,D-control,3/22/2022
1,M46,0.18533333,0.01733333,1.374,996,0.000996,0.613119143,D,D-control,3/22/2022
1,M47,0.15933333,0.015,1.15,1289.61111,0.00128961,0.396329643,D,D-heat,3/22/2022
1,M48,0.17166667,0.03033333,2.622,1081.16667,0.00108117,1.077848004,D,D-control,3/22/2022
1,M49,0.16566667,0.01933333,1.566,770.833333,0.00077083,0.902918919,D,D-control,3/22/2022
1,M89,0.168,0.01266667,0.926,1301.66667,0.00130167,0.316175843,D,D-control,3/22/2022
1,M90,0.211,0.02433333,2.046,1662.16667,0.00166217,0.547077108,D,D-control,3/22/2022
1,N41,0.24866667,0.007,0.382,803.888889,0.00080389,0.211195577,D,D-heat,3/22/2022
1,N42,0.19266667,0.03766667,3.326,1444.77778,0.00144478,1.023148504,D,D-heat,3/22/2022
1,N43,0.12733333,0.01966667,1.598,324,0.000324,2.192043896,D,D-heat,3/22/2022
1,N44,0.207,0.01233333,0.894,1179.55556,0.00117956,0.336850038,D,D-heat,3/22/2022
1,N45,0.129,0.01533333,1.182,645.611111,0.00064561,0.813699337,D,D-heat,3/22/2022
1,N46,0.169,0.01066667,0.734,927.944444,0.00092794,0.351553613,D,D-heat,3/22/2022
1,N47,0.18666667,0.02733333,2.334,1046.55556,0.00104656,0.991188024,D,D-heat,3/22/2022
1,N48,0.28733333,0.082,7.582,524.666667,0.00052467,6.422702245,D,D-desiccation,3/22/2022
1,N49,0.13333333,0.02133333,1.758,197.222222,0.00019722,3.961690141,D,D-desiccation,3/22/2022
1,N50,0.36066667,0.09766667,9.086,749.444444,0.00074944,5.38828762,D,D-desiccation,3/22/2022
1,N51,0.24966667,0.066,6.046,617.416667,0.00061742,4.35218428,D,D-desiccation,3/22/2022
1,N52,0.328,0.10666667,9.95,879.722222,0.00087972,5.02683928,D,D-desiccation,3/22/2022
1,N53,0.38966667,0.133,12.478,1245.66667,0.00124567,4.452056016,D,D-desiccation,3/22/2022
1,N54,0.34,0.102,9.502,1263.16667,0.00126317,3.343273079,D,D-desiccation,3/22/2022
1,N55,0.329,0.07866667,7.262,1207.55556,0.00120756,2.672800883,D,D-desiccation,3/22/2022
1,N56,0.318,0.105,9.79,338,0.000338,12.8731098,D,D-desiccation,3/22/2022
1,N57,0.26966667,0.06583333,6.03,767.333333,0.00076733,3.492615117,D,D-desiccation,3/22/2022
1,N58,0.304,0.096,8.926,746.722222,0.00074672,5.312699948,D,D-desiccation,3/22/2022
1,N59,0.16466667,0.03166667,2.75,826.833333,0.00082683,1.4781966,D,D-desiccation,3/22/2022
1,R46,0.15433333,0.01166667,0.83,768.5,0.0007685,0.480011567,T,T-heat,3/22/2022
1,R48,0.18333333,0.01266667,0.926,989,0.000989,0.416133019,T,T-heat,3/22/2022
1,R50,0.232,0.00333333,0.03,1265.5,0.0012655,0.01053602,T,T-heat,3/22/2022
1,R51,0.426,0.081,7.486,20.2777778,2.03E-05,164.0767123,T,T-desiccation,3/22/2022
1,R52,0.25966667,0.091,8.446,877,0.000877,4.280248321,T,T-desiccation,3/22/2022
1,R53,0.38,0.158,14.878,245.833333,0.00024583,26.8980791,T,T-desiccation,3/22/2022
1,R54,0.30266667,0.096,8.926,259.833333,0.00025983,15.26790678,T,T-desiccation,3/22/2022
1,R56,0.29866667,0.061,5.566,695,0.000695,3.559392486,T,T-desiccation,3/22/2022
1,R57,0.55,0.12166667,11.39,1085.44444,0.00108544,4.663732214,T,T-desiccation,3/22/2022
1,R58,0.22266667,0.03666667,3.23,1160.11111,0.00116011,1.237429365,T,T-desiccation,3/22/2022
1,R60,0.14766667,0.02233333,1.854,86.7777778,8.68E-05,9.495518566,T,T-desiccation,3/22/2022
1,R62,0.212,0.02466667,2.078,427.055556,0.00042706,2.162612202,T,T-desiccation,3/22/2022
1,R78,0.28866667,0.03033333,2.622,1437.77778,0.00143778,0.810510046,T,T-heat,3/22/2022
1,T55,0.19066667,0.027,2.302,837.333333,0.00083733,1.221868365,T,T-control,3/22/2022
1,T56,0.14266667,0.016,1.246,537.111111,0.00053711,1.031030203,T,T-control,3/22/2022
1,T57,0.23433333,0.02066667,1.694,851.722222,0.00085172,0.883960603,T,T-control,3/22/2022
1,T62,0.22033333,0.01,0.67,1401.61111,0.00140161,0.212453922,T,T-control,3/22/2022
1,X41,0.26466667,0.03333333,2.91,982.388889,0.00098239,1.31651869,T,T-heat,3/22/2022
1,X42,0.21466667,0.00433333,0.126,964.111111,0.00096411,0.058084591,T,T-heat,3/22/2022
1,X43,0.24266667,0.01033333,0.702,1196.27778,0.00119628,0.260808991,T,T-heat,3/22/2022
1,X44,0.18066667,0.01266667,0.926,1264.33333,0.00126433,0.325511908,T,T-heat,3/22/2022
1,X45,0.20433333,0.02133333,1.758,874.666667,0.00087467,0.893292683,T,T-control,3/22/2022
1,X46,0.36066667,0.131,12.286,717.166667,0.00071717,7.613912774,T,T-control,3/22/2022
1,X47,0.38333333,0.01066667,0.734,1687.83333,0.00168783,0.193278694,T,T-control,3/22/2022
2,R59,0.07866667,0.123,3.943,1116.94444,0.00111694,7.06033325,T,T-desiccation,7/11/2022
2,R61,0.09633333,0.11133333,3.46466667,1432.5,0.0014325,4.837230948,T,T-desiccation,7/11/2022
